cell_id,Cincloramphus macrurus,Cincloramphus macrurus interscapularis/mayri,Cincloramphus macrurus [macrurus Group]
82728ffffffffff,80.0,0.0,1.0
8272a7fffffffff,13.0,0.0,0.0
8272d7fffffffff,3.0,0.0,0.0
8272dffffffffff,243.0,0.0,7.0
829c87fffffffff,7.0,0.0,1.0
829c8ffffffffff,5.0,0.0,0.0
829c97fffffffff,46.0,8.0,0.0
829c9ffffffffff,7.0,0.0,0.0
829ca7fffffffff,2.0,0.0,0.0
829caffffffffff,4.0,0.0,0.0
829cd7fffffffff,144.0,0.0,7.0
