cell_id,Fregata ariel,Fregata ariel ariel/iredalei,Fregata ariel trinitatis
822807fffffffff,2.0,0.0,0.0
822e17fffffffff,2.0,0.0,0.0
822f5ffffffffff,1.0,0.0,0.0
82309ffffffffff,4.0,0.0,0.0
8230e7fffffffff,2.0,0.0,0.0
823187fffffffff,2.0,0.0,0.0
824107fffffffff,3.0,0.0,0.0
82411ffffffffff,7.0,0.0,0.0
82416ffffffffff,2.0,0.0,0.0
8241a7fffffffff,7.0,0.0,0.0
8242dffffffffff,2.0,0.0,0.0
82460ffffffffff,1.0,0.0,0.0
824637fffffffff,1.0,0.0,0.0
824657fffffffff,2.0,0.0,0.0
82490ffffffffff,2.0,0.0,0.0
824b57fffffffff,2.0,0.0,0.0
824baffffffffff,2.0,0.0,0.0
824f4ffffffffff,3.0,0.0,0.0
826007fffffffff,6.0,0.0,0.0
82601ffffffffff,6.0,0.0,0.0
826027fffffffff,9.0,0.0,0.0
82608ffffffffff,7.0,0.0,0.0
8260b7fffffffff,2.0,0.0,0.0
82611ffffffffff,5.0,0.0,0.0
8261affffffffff,1.0,0.0,0.0
82640ffffffffff,2.0,0.0,0.0
826427fffffffff,11.0,8.0,0.0
8264a7fffffffff,2.0,0.0,0.0
826527fffffffff,6.0,0.0,0.0
82658ffffffffff,9.0,0.0,0.0
82680ffffffffff,11.0,0.0,0.0
826877fffffffff,5.0,0.0,0.0
827067fffffffff,2.0,0.0,0.0
8272affffffffff,3.0,0.0,0.0
8272cffffffffff,2.0,0.0,0.0
82739ffffffffff,2.0,0.0,0.0
827687fffffffff,1.0,0.0,0.0
82769ffffffffff,3.0,0.0,0.0
827737fffffffff,2.0,0.0,0.0
827797fffffffff,1.0,0.0,0.0
82779ffffffffff,2.0,0.0,0.0
827b2ffffffffff,2.0,0.0,0.0
827b5ffffffffff,3.0,1.0,0.0
82845ffffffffff,18.0,0.0,0.0
828c17fffffffff,2.0,0.0,0.0
829417fffffffff,3.0,0.0,0.0
829457fffffffff,4.0,0.0,0.0
829487fffffffff,10.0,0.0,0.0
8294affffffffff,5.0,0.0,0.0
829567fffffffff,2.0,0.0,0.0
82956ffffffffff,1.0,1.0,0.0
829a17fffffffff,5.0,0.0,0.0
829b0ffffffffff,2.0,0.0,0.0
829b1ffffffffff,2.0,0.0,0.0
829b47fffffffff,4.0,0.0,0.0
829b8ffffffffff,4.0,0.0,0.0
829c5ffffffffff,2.0,0.0,0.0
829c9ffffffffff,2.0,0.0,0.0
829caffffffffff,1.0,0.0,0.0
829cb7fffffffff,2.0,0.0,0.0
829d0ffffffffff,1.0,0.0,0.0
829e27fffffffff,5.0,0.0,0.0
829e37fffffffff,1.0,0.0,0.0
829edffffffffff,6.0,0.0,0.0
82a117fffffffff,2.0,0.0,0.0
82a1a7fffffffff,2.0,0.0,0.0
82a307fffffffff,1.0,0.0,0.0
82a30ffffffffff,1.0,0.0,0.0
82a397fffffffff,1.0,0.0,0.0
82a727fffffffff,5.0,0.0,0.0
82a79ffffffffff,4.0,0.0,0.0
82bb57fffffffff,2.0,0.0,0.0
82bc8ffffffffff,3.0,0.0,0.0
82bcf7fffffffff,8.0,0.0,0.0
82be0ffffffffff,4.0,0.0,0.0
82be8ffffffffff,10.0,0.0,0.0
82beaffffffffff,2.0,0.0,0.0
