cell_id,Scotocerca inquieta,Scotocerca inquieta saharae/theresae,Scotocerca inquieta [inquieta Group]
8420165ffffffff,2.0,0.0,0.0
842016dffffffff,4.0,0.0,0.0
8420b3bffffffff,2.0,0.0,0.0
8420f53ffffffff,3.0,0.0,0.0
8421823ffffffff,1.0,0.0,0.0
8421837ffffffff,1.0,0.0,0.0
8421897ffffffff,2.0,0.0,0.0
84218b3ffffffff,7.0,0.0,0.0
84218d9ffffffff,2.0,0.0,0.0
84218e5ffffffff,1.0,0.0,0.0
8421981ffffffff,11.0,0.0,0.0
8421983ffffffff,1.0,0.0,0.0
8421995ffffffff,2.0,0.0,2.0
842199dffffffff,2.0,0.0,0.0
84219c1ffffffff,5.0,0.0,0.0
84219c9ffffffff,5.0,0.0,0.0
84219cbffffffff,1.0,0.0,1.0
84219d3ffffffff,4.0,0.0,0.0
84219e5ffffffff,1.0,0.0,0.0
8421b59ffffffff,2.0,0.0,0.0
842c823ffffffff,4.0,0.0,0.0
842c835ffffffff,2.0,0.0,0.0
842c893ffffffff,2.0,0.0,0.0
842c899ffffffff,1.0,0.0,0.0
842c89bffffffff,1.0,0.0,0.0
842c8e1ffffffff,3.0,0.0,0.0
842c8edffffffff,2.0,0.0,0.0
842c9ebffffffff,1.0,0.0,0.0
842caadffffffff,2.0,0.0,0.0
842cc15ffffffff,2.0,0.0,0.0
842cc21ffffffff,2.0,0.0,0.0
842cc23ffffffff,2.0,0.0,0.0
842cc2dffffffff,10.0,0.0,0.0
842cc33ffffffff,10.0,0.0,0.0
842cc35ffffffff,27.0,0.0,0.0
842cc37ffffffff,6.0,0.0,0.0
842ccb7ffffffff,2.0,0.0,0.0
842cce3ffffffff,4.0,0.0,0.0
842cce9ffffffff,3.0,0.0,0.0
842cd43ffffffff,3.0,0.0,0.0
842cd49ffffffff,2.0,0.0,0.0
842cd4bffffffff,32.0,0.0,0.0
842cd59ffffffff,14.0,0.0,0.0
842cd5bffffffff,7.0,0.0,0.0
842cd6bffffffff,2.0,0.0,0.0
842cd8bffffffff,2.0,0.0,0.0
842cd93ffffffff,5.0,0.0,0.0
842cdcbffffffff,7.0,0.0,0.0
842cdd5ffffffff,38.0,0.0,0.0
842cdd7ffffffff,5.0,0.0,0.0
842cf03ffffffff,3.0,0.0,0.0
842cf07ffffffff,3.0,0.0,0.0
842cf31ffffffff,3.0,0.0,0.0
842cf35ffffffff,2.0,0.0,0.0
842cf37ffffffff,9.0,0.0,0.0
842cf39ffffffff,2.0,0.0,0.0
842cf3dffffffff,5.0,0.0,0.0
842cf47ffffffff,2.0,0.0,0.0
842d86dffffffff,1.0,0.0,0.0
842db05ffffffff,26.0,0.0,18.0
842db07ffffffff,19.0,0.0,4.0
842db21ffffffff,92.0,0.0,21.0
842db25ffffffff,54.0,0.0,1.0
842db29ffffffff,89.0,0.0,30.0
842db2bffffffff,126.0,0.0,19.0
842db2dffffffff,32.0,0.0,6.0
842db37ffffffff,3.0,0.0,0.0
842db65ffffffff,13.0,0.0,3.0
842db67ffffffff,6.0,0.0,0.0
8438161ffffffff,10.0,0.0,0.0
8438169ffffffff,6.0,0.0,0.0
843816dffffffff,43.0,0.0,0.0
8438323ffffffff,1.0,0.0,0.0
8438415ffffffff,2.0,0.0,0.0
8438421ffffffff,1.0,0.0,0.0
8438429ffffffff,1.0,0.0,0.0
843842bffffffff,1.0,0.0,0.0
8438435ffffffff,11.0,0.0,0.0
84384a1ffffffff,9.0,0.0,0.0
84384e5ffffffff,2.0,0.0,0.0
84385cbffffffff,1.0,0.0,0.0
84385dbffffffff,1.0,0.0,0.0
8438763ffffffff,1.0,0.0,0.0
8439881ffffffff,1.0,0.0,0.0
8439883ffffffff,3.0,0.0,0.0
8439887ffffffff,3.0,0.0,0.0
8439891ffffffff,5.0,1.0,0.0
8439893ffffffff,2.0,0.0,0.0
8439895ffffffff,116.0,5.0,0.0
8439897ffffffff,12.0,3.0,0.0
843989bffffffff,1.0,1.0,0.0
84398adffffffff,1.0,0.0,0.0
84398b9ffffffff,3.0,0.0,0.0
84398e5ffffffff,4.0,0.0,0.0
8439925ffffffff,5.0,0.0,0.0
843992bffffffff,2.0,0.0,0.0
8439931ffffffff,2.0,0.0,0.0
8439939ffffffff,12.0,0.0,0.0
843993bffffffff,24.0,1.0,0.0
843e5b9ffffffff,1.0,0.0,0.0
843e625ffffffff,2.0,0.0,0.0
843e62bffffffff,2.0,0.0,0.0
843e687ffffffff,6.0,0.0,0.0
843e689ffffffff,319.0,0.0,52.0
843e68bffffffff,10.0,0.0,2.0
843e68dffffffff,33.0,0.0,1.0
843e6a9ffffffff,4.0,0.0,0.0
843e6adffffffff,37.0,0.0,0.0
843e6b1ffffffff,1.0,0.0,0.0
843e6c1ffffffff,20.0,0.0,9.0
843e6c3ffffffff,563.0,0.0,92.0
843e6c7ffffffff,180.0,0.0,22.0
843e6c9ffffffff,393.0,0.0,101.0
843e6cbffffffff,320.0,0.0,69.0
843e6ddffffffff,28.0,0.0,0.0
843ee93ffffffff,6.0,0.0,0.0
843fa5dffffffff,1.0,0.0,0.0
8442203ffffffff,2.0,0.0,0.0
844220bffffffff,6.0,0.0,0.0
8442251ffffffff,17.0,0.0,0.0
8442253ffffffff,2.0,0.0,0.0
844230dffffffff,2.0,0.0,0.0
8443047ffffffff,4.0,0.0,0.0
8443055ffffffff,3.0,0.0,0.0
84430adffffffff,5.0,0.0,0.0
84430e7ffffffff,2.0,0.0,0.0
84430ebffffffff,1.0,0.0,0.0
8443145ffffffff,2.0,0.0,0.0
8443163ffffffff,1.0,0.0,0.0
84431e9ffffffff,22.0,0.0,0.0
8443233ffffffff,3.0,0.0,0.0
8443267ffffffff,7.0,0.0,0.0
8443269ffffffff,2.0,0.0,0.0
84432c5ffffffff,2.0,0.0,0.0
8443313ffffffff,1.0,0.0,0.0
8443319ffffffff,9.0,0.0,0.0
8443363ffffffff,2.0,0.0,0.0
8443549ffffffff,3.0,0.0,0.0
8443601ffffffff,2.0,0.0,0.0
8443603ffffffff,7.0,0.0,0.0
8443609ffffffff,6.0,0.0,0.0
844360bffffffff,8.0,0.0,0.0
844361dffffffff,6.0,0.0,0.0
8443621ffffffff,2.0,0.0,0.0
8443629ffffffff,4.0,0.0,0.0
844363dffffffff,4.0,0.0,0.0
8443647ffffffff,2.0,0.0,0.0
8443655ffffffff,2.0,0.0,0.0
8443811ffffffff,2.0,0.0,0.0
8443813ffffffff,27.0,0.0,0.0
844381bffffffff,2.0,0.0,0.0
84438c3ffffffff,1.0,0.0,0.0
84438c5ffffffff,1.0,0.0,0.0
84438cdffffffff,18.0,0.0,0.0
8443a89ffffffff,5.0,0.0,1.0
8443a8dffffffff,4.0,0.0,1.0
8443a91ffffffff,2.0,0.0,0.0
8443a93ffffffff,1.0,0.0,0.0
8443a9bffffffff,3.0,0.0,0.0
8443ac3ffffffff,15.0,0.0,4.0
8443ac7ffffffff,80.0,0.0,10.0
8443acbffffffff,1.0,0.0,1.0
8443addffffffff,2.0,0.0,0.0
8443ae1ffffffff,2.0,0.0,0.0
8443aebffffffff,4.0,0.0,0.0
8443aedffffffff,1.0,0.0,0.0
8452021ffffffff,6.0,0.0,0.0
845202dffffffff,9.0,0.0,0.0
8452065ffffffff,27.0,0.0,0.0
8452153ffffffff,2.0,0.0,0.0
845215bffffffff,1.0,0.0,0.0
84521b3ffffffff,1.0,0.0,0.0
84521c5ffffffff,2.0,0.0,0.0
8452301ffffffff,2.0,0.0,0.0
8452303ffffffff,6.0,0.0,0.0
845233bffffffff,1.0,0.0,0.0
8452345ffffffff,8.0,0.0,0.0
845313bffffffff,4.0,0.0,0.0
84531a5ffffffff,3.0,0.0,0.0
84531b3ffffffff,1.0,0.0,0.0
8453323ffffffff,1.0,0.0,0.0
845332bffffffff,2.0,0.0,0.0
8453369ffffffff,1.0,0.0,0.0
845336dffffffff,2.0,0.0,0.0
8453543ffffffff,1.0,0.0,0.0
8453549ffffffff,1.0,0.0,0.0
845354bffffffff,1.0,0.0,0.0
845510dffffffff,2.0,2.0,0.0
845512bffffffff,2.0,2.0,0.0
845530dffffffff,1.0,0.0,0.0
8455327ffffffff,2.0,0.0,0.0
845534bffffffff,6.0,1.0,0.0
8463321ffffffff,2.0,0.0,0.0
846332dffffffff,6.0,0.0,0.0
