cell_id,Motacilla tschutschensis,Motacilla tschutschensis tschutschensis/plexa,Motacilla tschutschensis taivana,Motacilla tschutschensis macronyx
8204cffffffffff,27.0,0.0,0.0,0.0
8204effffffffff,5.0,0.0,0.0,0.0
82058ffffffffff,2.0,2.0,0.0,0.0
8209a7fffffffff,6.0,0.0,0.0,0.0
820c17fffffffff,2130.0,0.0,0.0,0.0
820c1ffffffffff,26.0,0.0,0.0,0.0
820c27fffffffff,1.0,0.0,0.0,0.0
820c37fffffffff,266.0,0.0,0.0,0.0
820c8ffffffffff,2.0,0.0,0.0,0.0
820ca7fffffffff,614.0,0.0,0.0,0.0
820caffffffffff,2.0,0.0,0.0,0.0
820ce7fffffffff,7.0,0.0,0.0,0.0
820cf7fffffffff,4.0,0.0,0.0,0.0
820d07fffffffff,27.0,0.0,0.0,0.0
820d0ffffffffff,170.0,0.0,0.0,0.0
820d1ffffffffff,6.0,0.0,0.0,0.0
820d57fffffffff,5.0,0.0,0.0,0.0
820d77fffffffff,36.0,0.0,0.0,0.0
820d8ffffffffff,1.0,0.0,0.0,0.0
821487fffffffff,2.0,0.0,0.0,0.0
8214affffffffff,30.0,0.0,9.0,0.0
8214b7fffffffff,2.0,0.0,2.0,0.0
8214cffffffffff,5.0,0.0,1.0,0.0
821597fffffffff,88.0,2.0,1.0,12.0
82159ffffffffff,3.0,0.0,0.0,0.0
8215b7fffffffff,34.0,0.0,0.0,0.0
821617fffffffff,11.0,0.0,0.0,0.0
821627fffffffff,4.0,0.0,0.0,0.0
821637fffffffff,2.0,0.0,0.0,0.0
821657fffffffff,54.0,0.0,0.0,0.0
82165ffffffffff,9.0,0.0,0.0,0.0
821717fffffffff,3.0,0.0,1.0,0.0
82171ffffffffff,50.0,0.0,0.0,0.0
821747fffffffff,16.0,0.0,0.0,0.0
821757fffffffff,23.0,15.0,0.0,0.0
82176ffffffffff,8.0,4.0,0.0,0.0
82178ffffffffff,33.0,0.0,0.0,0.0
82204ffffffffff,3.0,0.0,0.0,0.0
8220effffffffff,2.0,0.0,0.0,0.0
82214ffffffffff,6.0,0.0,0.0,0.0
8222dffffffffff,82.0,0.0,0.0,0.0
8222effffffffff,11.0,0.0,0.0,0.0
822407fffffffff,4.0,0.0,0.0,0.0
82240ffffffffff,14.0,0.0,0.0,0.0
82241ffffffffff,2.0,0.0,0.0,0.0
822427fffffffff,1.0,0.0,0.0,0.0
82242ffffffffff,65.0,3.0,0.0,19.0
822437fffffffff,1.0,0.0,0.0,0.0
822447fffffffff,5.0,0.0,0.0,0.0
82244ffffffffff,40.0,6.0,1.0,4.0
822457fffffffff,49.0,4.0,0.0,10.0
822467fffffffff,52.0,1.0,0.0,0.0
82246ffffffffff,18.0,2.0,0.0,2.0
822477fffffffff,12.0,2.0,0.0,0.0
82248ffffffffff,5.0,0.0,0.0,0.0
8224affffffffff,1.0,0.0,0.0,0.0
8224d7fffffffff,12.0,0.0,0.0,0.0
822517fffffffff,3.0,0.0,0.0,0.0
82255ffffffffff,8.0,0.0,0.0,2.0
82256ffffffffff,1.0,0.0,0.0,0.0
822577fffffffff,2.0,0.0,0.0,0.0
8225b7fffffffff,5.0,0.0,0.0,0.0
822e1ffffffffff,1.0,0.0,0.0,0.0
822e8ffffffffff,21.0,0.0,15.0,0.0
822e9ffffffffff,5.0,0.0,3.0,0.0
822eaffffffffff,2.0,0.0,1.0,0.0
822ec7fffffffff,6.0,0.0,2.0,0.0
822ecffffffffff,6.0,0.0,0.0,0.0
822ed7fffffffff,3.0,0.0,2.0,1.0
822edffffffffff,2.0,0.0,0.0,2.0
822ef7fffffffff,13.0,0.0,1.0,0.0
823007fffffffff,1.0,0.0,0.0,0.0
823017fffffffff,2.0,0.0,0.0,0.0
82301ffffffffff,68.0,0.0,2.0,3.0
823027fffffffff,4.0,0.0,0.0,0.0
823037fffffffff,70.0,2.0,2.0,8.0
823087fffffffff,86.0,0.0,5.0,0.0
823097fffffffff,2.0,0.0,0.0,0.0
82309ffffffffff,888.0,17.0,106.0,21.0
8230a7fffffffff,4.0,0.0,0.0,0.0
8230c7fffffffff,6.0,0.0,0.0,0.0
8230d7fffffffff,4.0,0.0,0.0,0.0
8230dffffffffff,1.0,0.0,0.0,0.0
8230e7fffffffff,114.0,3.0,5.0,13.0
8230f7fffffffff,8.0,0.0,0.0,2.0
823117fffffffff,2.0,0.0,0.0,0.0
823127fffffffff,2.0,0.0,0.0,2.0
823137fffffffff,4.0,0.0,0.0,0.0
82316ffffffffff,32.0,0.0,2.0,9.0
823187fffffffff,235.0,0.0,17.0,28.0
82318ffffffffff,452.0,11.0,28.0,37.0
8231a7fffffffff,4.0,0.0,0.0,0.0
8231affffffffff,185.0,2.0,6.0,16.0
823c0ffffffffff,6.0,0.0,0.0,0.0
823c1ffffffffff,91.0,0.0,0.0,0.0
823c57fffffffff,3.0,0.0,0.0,0.0
823c5ffffffffff,410.0,2.0,0.0,0.0
823c8ffffffffff,125.0,0.0,0.0,0.0
823caffffffffff,50.0,0.0,0.0,0.0
823cc7fffffffff,29.0,0.0,0.0,0.0
823ccffffffffff,8.0,0.0,2.0,0.0
823cd7fffffffff,21.0,0.0,0.0,0.0
823cdffffffffff,36.0,8.0,0.0,0.0
823ce7fffffffff,119.0,0.0,0.0,0.0
823ceffffffffff,390.0,0.0,0.0,0.0
823cf7fffffffff,962.0,0.0,0.0,0.0
824027fffffffff,4.0,0.0,0.0,0.0
82402ffffffffff,12.0,1.0,0.0,4.0
824047fffffffff,13.0,0.0,1.0,3.0
82404ffffffffff,71.0,4.0,2.0,8.0
82405ffffffffff,2.0,0.0,0.0,0.0
824067fffffffff,3.0,0.0,0.0,0.0
82406ffffffffff,12.0,0.0,0.0,0.0
824077fffffffff,1.0,0.0,0.0,0.0
82408ffffffffff,5.0,0.0,0.0,0.0
824097fffffffff,3.0,0.0,0.0,0.0
8240a7fffffffff,5.0,0.0,0.0,2.0
8240b7fffffffff,3.0,0.0,0.0,0.0
8240c7fffffffff,8.0,0.0,0.0,2.0
8240e7fffffffff,13.0,0.0,0.0,0.0
824107fffffffff,10.0,3.0,0.0,2.0
82410ffffffffff,7.0,0.0,0.0,0.0
824117fffffffff,13.0,0.0,0.0,0.0
82411ffffffffff,1867.0,102.0,313.0,109.0
824137fffffffff,149.0,13.0,9.0,0.0
824147fffffffff,7.0,0.0,0.0,0.0
82414ffffffffff,39.0,0.0,0.0,3.0
824157fffffffff,22.0,0.0,0.0,4.0
82415ffffffffff,3.0,0.0,0.0,2.0
824167fffffffff,6.0,2.0,0.0,0.0
82416ffffffffff,37.0,0.0,1.0,7.0
824177fffffffff,32.0,0.0,0.0,6.0
824187fffffffff,4.0,0.0,1.0,0.0
824197fffffffff,102.0,10.0,22.0,13.0
82419ffffffffff,13.0,0.0,2.0,0.0
8241a7fffffffff,864.0,70.0,43.0,12.0
8241b7fffffffff,2154.0,144.0,184.0,126.0
824a27fffffffff,33.0,0.0,7.0,0.0
824b1ffffffffff,3.0,0.0,0.0,0.0
824b37fffffffff,55.0,0.0,1.0,0.0
824b57fffffffff,2.0,0.0,0.0,0.0
824b77fffffffff,14.0,0.0,2.0,0.0
824b87fffffffff,1673.0,44.0,116.0,12.0
824b97fffffffff,59.0,4.0,3.0,0.0
824b9ffffffffff,250.0,9.0,16.0,0.0
824ba7fffffffff,20294.0,544.0,3172.0,32.0
824baffffffffff,68.0,0.0,0.0,0.0
824bb7fffffffff,9639.0,273.0,1274.0,4.0
826037fffffffff,12.0,0.0,0.0,0.0
82640ffffffffff,665.0,0.0,0.0,0.0
826417fffffffff,9.0,0.0,0.0,0.0
826427fffffffff,8.0,0.0,0.0,0.0
82642ffffffffff,14.0,0.0,0.0,0.0
826437fffffffff,79.0,6.0,1.0,1.0
826487fffffffff,235.0,17.0,0.0,30.0
82648ffffffffff,17.0,0.0,0.0,0.0
826497fffffffff,108.0,14.0,0.0,3.0
82649ffffffffff,23.0,3.0,2.0,3.0
8264a7fffffffff,849.0,45.0,2.0,76.0
8264affffffffff,5.0,0.0,0.0,0.0
8264b7fffffffff,264.0,7.0,0.0,28.0
8264e7fffffffff,87.0,0.0,0.0,0.0
826507fffffffff,51.0,0.0,0.0,1.0
82650ffffffffff,4.0,0.0,0.0,0.0
82651ffffffffff,165.0,2.0,0.0,0.0
826527fffffffff,287.0,0.0,0.0,0.0
826537fffffffff,1.0,0.0,0.0,0.0
826557fffffffff,14.0,0.0,7.0,0.0
826577fffffffff,2.0,0.0,0.0,0.0
826587fffffffff,415.0,0.0,5.0,32.0
82658ffffffffff,1834.0,188.0,13.0,114.0
826597fffffffff,10.0,0.0,0.0,2.0
82659ffffffffff,262.0,17.0,0.0,32.0
8265b7fffffffff,23.0,0.0,0.0,1.0
826807fffffffff,39.0,2.0,3.0,0.0
82680ffffffffff,3.0,0.0,3.0,0.0
826817fffffffff,174.0,19.0,7.0,0.0
82681ffffffffff,14.0,0.0,1.0,0.0
82682ffffffffff,88.0,0.0,11.0,0.0
826847fffffffff,68.0,1.0,6.0,0.0
82684ffffffffff,33.0,0.0,16.0,0.0
826857fffffffff,1.0,0.0,0.0,0.0
82685ffffffffff,64.0,1.0,3.0,0.0
826867fffffffff,6.0,0.0,4.0,0.0
826877fffffffff,3.0,0.0,0.0,0.0
8268a7fffffffff,34.0,18.0,4.0,2.0
8268c7fffffffff,9.0,0.0,0.0,0.0
8268cffffffffff,92.0,2.0,0.0,0.0
8268d7fffffffff,17.0,0.0,0.0,0.0
8268dffffffffff,2.0,0.0,0.0,0.0
826947fffffffff,261.0,0.0,5.0,0.0
82694ffffffffff,76.0,0.0,0.0,0.0
82695ffffffffff,19.0,0.0,0.0,0.0
82696ffffffffff,51.0,0.0,3.0,0.0
8272a7fffffffff,3.0,0.0,0.0,0.0
82731ffffffffff,41.0,0.0,0.0,0.0
827397fffffffff,13.0,0.0,0.0,0.0
82739ffffffffff,24.0,8.0,0.0,0.0
828c17fffffffff,18.0,0.0,2.0,0.0
828c27fffffffff,6.0,0.0,0.0,0.0
828c47fffffffff,10.0,4.0,0.0,0.0
828c6ffffffffff,1.0,0.0,0.0,0.0
828c97fffffffff,4.0,0.0,0.0,0.0
828cd7fffffffff,3.0,0.0,0.0,0.0
828d8ffffffffff,1.0,0.0,0.0,0.0
828db7fffffffff,3.0,0.0,0.0,0.0
829417fffffffff,124.0,30.0,0.0,0.0
829427fffffffff,20.0,1.0,2.0,0.0
82942ffffffffff,4.0,1.0,0.0,0.0
829457fffffffff,63.0,2.0,0.0,0.0
82945ffffffffff,7.0,0.0,0.0,0.0
829467fffffffff,20.0,8.0,0.0,0.0
829487fffffffff,234.0,16.0,2.0,0.0
829497fffffffff,23.0,0.0,0.0,0.0
8294affffffffff,13.0,0.0,0.0,0.0
8294e7fffffffff,8.0,0.0,0.0,0.0
8294effffffffff,39.0,0.0,0.0,0.0
829507fffffffff,5.0,0.0,1.0,0.0
82950ffffffffff,2.0,0.0,0.0,0.0
82951ffffffffff,5.0,0.0,0.0,0.0
829547fffffffff,48.0,6.0,4.0,0.0
829557fffffffff,4.0,0.0,0.0,0.0
82955ffffffffff,8.0,1.0,1.0,0.0
82956ffffffffff,26.0,0.0,0.0,0.0
8295a7fffffffff,32.0,0.0,0.0,0.0
829c27fffffffff,52.0,0.0,0.0,0.0
829c5ffffffffff,2.0,0.0,0.0,0.0
829c9ffffffffff,1.0,0.0,0.0,0.0
82a79ffffffffff,1.0,0.0,0.0,0.0
