cell_id,Sphecotheres vieilloti,Sphecotheres vieilloti [flaviventris Group],Sphecotheres vieilloti salvadorii,Sphecotheres vieilloti vieilloti
829457fffffffff,6.0,0.0,0.0,0.0
82945ffffffffff,1.0,0.0,0.0,0.0
82948ffffffffff,4.0,0.0,0.0,0.0
829c07fffffffff,4.0,4.0,0.0,0.0
829c27fffffffff,12.0,11.0,0.0,0.0
829caffffffffff,3.0,0.0,0.0,0.0
829d07fffffffff,2.0,0.0,0.0,2.0
829d0ffffffffff,5.0,5.0,0.0,0.0
829d27fffffffff,3.0,0.0,0.0,1.0
82be0ffffffffff,11.0,0.0,0.0,2.0
82be67fffffffff,2.0,0.0,0.0,0.0
82be77fffffffff,16.0,0.0,0.0,0.0
82be8ffffffffff,24.0,0.0,0.0,0.0
82beaffffffffff,5.0,0.0,0.0,0.0
82bef7fffffffff,1.0,0.0,0.0,0.0
