cell_id,Cisticola brunnescens,Cisticola brunnescens lynesi/mbangensis,Cisticola brunnescens [brunnescens Group]
8452831ffffffff,2.0,0.0,0.0
845291dffffffff,1.0,0.0,0.0
84529b5ffffffff,34.0,0.0,6.0
84529b9ffffffff,1.0,0.0,0.0
84529bbffffffff,3.0,0.0,0.0
84529bdffffffff,2.0,0.0,0.0
8458d13ffffffff,1.0,0.0,0.0
8458dcdffffffff,1.0,0.0,0.0
846a4b3ffffffff,2.0,0.0,0.0
847a40bffffffff,38.0,0.0,0.0
847a415ffffffff,2.0,0.0,0.0
847a41dffffffff,1.0,0.0,0.0
847a43bffffffff,1.0,0.0,0.0
847a457ffffffff,18.0,0.0,0.0
847a611ffffffff,2.0,0.0,0.0
847a615ffffffff,3.0,0.0,0.0
847a61dffffffff,3.0,0.0,0.0
847a63bffffffff,1.0,0.0,0.0
847a681ffffffff,126.0,0.0,0.0
847a683ffffffff,184.0,0.0,0.0
847a685ffffffff,2.0,0.0,0.0
847a687ffffffff,4.0,0.0,0.0
847a689ffffffff,2.0,0.0,0.0
847a68bffffffff,58.0,0.0,0.0
847a69dffffffff,6.0,0.0,0.0
847a6a1ffffffff,97.0,0.0,0.0
847a6a5ffffffff,14.0,0.0,0.0
847a6adffffffff,5.0,0.0,0.0
847a6d1ffffffff,99.0,0.0,0.0
847a6d9ffffffff,35.0,0.0,0.0
847a6dbffffffff,18.0,0.0,0.0
847a6e5ffffffff,259.0,0.0,0.0
847a6e7ffffffff,5.0,0.0,0.0
847a6edffffffff,1.0,0.0,0.0
847ac87ffffffff,2.0,0.0,0.0
847acc5ffffffff,3.0,0.0,0.0
847acd7ffffffff,3.0,0.0,0.0
847ad93ffffffff,2.0,0.0,0.0
847ad99ffffffff,3.0,0.0,1.0
847ae85ffffffff,59.0,0.0,4.0
847ae87ffffffff,7.0,0.0,4.0
847ae9bffffffff,1.0,0.0,0.0
847aeabffffffff,1.0,0.0,0.0
847b4b3ffffffff,1.0,0.0,0.0
8482181ffffffff,1.0,0.0,0.0
8482a09ffffffff,4.0,0.0,0.0
8482a55ffffffff,4.0,0.0,0.0
8482a81ffffffff,9.0,0.0,0.0
8482f09ffffffff,3.0,0.0,0.0
8482f43ffffffff,1.0,0.0,0.0
8496905ffffffff,11.0,0.0,0.0
8496907ffffffff,8.0,0.0,0.0
8496921ffffffff,5.0,0.0,0.0
8496923ffffffff,3.0,0.0,0.0
8496925ffffffff,7.0,0.0,0.0
849692bffffffff,7.0,0.0,0.0
8496931ffffffff,1.0,0.0,0.0
8496933ffffffff,22.0,0.0,0.0
8496935ffffffff,120.0,0.0,16.0
8496937ffffffff,9.0,0.0,2.0
849693dffffffff,6.0,0.0,0.0
84969a5ffffffff,3.0,0.0,0.0
8496b1bffffffff,2.0,0.0,0.0
8496b63ffffffff,1.0,0.0,0.0
