cell_id,Zoothera heinei,Zoothera heinei [heinei Group],Zoothera heinei eichhorni
847795bffffffff,4.0,0.0,0.0
849c8bdffffffff,1.0,0.0,0.0
849c9d1ffffffff,9.0,0.0,0.0
849c9d5ffffffff,1.0,0.0,0.0
849d253ffffffff,2.0,0.0,0.0
84be18bffffffff,1.0,0.0,0.0
84be199ffffffff,1.0,0.0,0.0
84be883ffffffff,1.0,0.0,0.0
84be887ffffffff,5.0,0.0,0.0
84be88bffffffff,7.0,0.0,0.0
84be89bffffffff,36.0,0.0,0.0
84be89dffffffff,27.0,0.0,0.0
84be8d1ffffffff,284.0,9.0,0.0
84be8d3ffffffff,8.0,0.0,0.0
84be8d7ffffffff,34.0,0.0,0.0
84be8d9ffffffff,6.0,0.0,0.0
84beab3ffffffff,291.0,3.0,0.0
84beabbffffffff,1.0,0.0,0.0
84bef2dffffffff,1.0,0.0,0.0
84bef61ffffffff,2.0,0.0,0.0
84bef67ffffffff,32.0,0.0,0.0
84bef69ffffffff,2.0,0.0,0.0
84bef6dffffffff,9.0,0.0,0.0
