cell_id,Cercotrichas leucophrys,Cercotrichas leucophrys [leucoptera Group],Cercotrichas leucophrys [leucophrys Group]
83528efffffffff,2.0,0.0,0.0
8352b1fffffffff,1.0,0.0,0.0
8352cafffffffff,2.0,0.0,0.0
836a49fffffffff,1.0,0.0,0.0
836a4afffffffff,1.0,0.0,0.0
836a4bfffffffff,11.0,4.0,0.0
836a58fffffffff,77.0,0.0,0.0
836a5afffffffff,40.0,0.0,0.0
836a5bfffffffff,11.0,0.0,0.0
836ac0fffffffff,10.0,0.0,0.0
836ac1fffffffff,16.0,0.0,0.0
836ac3fffffffff,98.0,0.0,0.0
836ac8fffffffff,18.0,0.0,0.0
836ac9fffffffff,51.0,0.0,0.0
836accfffffffff,5.0,0.0,0.0
836acdfffffffff,2.0,0.0,0.0
836acefffffffff,242.0,0.0,0.0
836ad8fffffffff,38.0,0.0,0.0
836adcfffffffff,32.0,0.0,0.0
836addfffffffff,25.0,0.0,0.0
836adefffffffff,1.0,0.0,0.0
836ae8fffffffff,20.0,0.0,2.0
836aeafffffffff,65.0,0.0,3.0
836aebfffffffff,14.0,0.0,0.0
836aeefffffffff,31.0,0.0,4.0
837a1efffffffff,2.0,0.0,0.0
837a40fffffffff,200.0,1.0,0.0
837a41fffffffff,245.0,0.0,0.0
837a44fffffffff,4.0,0.0,0.0
837a45fffffffff,24.0,0.0,0.0
837a46fffffffff,10.0,0.0,0.0
837a48fffffffff,66.0,0.0,0.0
837a4afffffffff,4.0,0.0,0.0
837a4cfffffffff,129.0,0.0,0.0
837a4dfffffffff,89.0,0.0,0.0
837a4efffffffff,1.0,0.0,0.0
837a50fffffffff,2.0,0.0,0.0
837a53fffffffff,9.0,0.0,0.0
837a58fffffffff,2.0,0.0,0.0
837a5afffffffff,17.0,3.0,0.0
837a5cfffffffff,2.0,0.0,0.0
837a5dfffffffff,1.0,0.0,0.0
837a5efffffffff,2.0,0.0,0.0
837a60fffffffff,244.0,0.0,0.0
837a61fffffffff,195.0,0.0,0.0
837a63fffffffff,21.0,0.0,0.0
837a64fffffffff,85.0,0.0,0.0
837a65fffffffff,208.0,0.0,10.0
837a66fffffffff,3.0,0.0,0.0
837a68fffffffff,167.0,0.0,0.0
837a69fffffffff,10.0,0.0,0.0
837a6afffffffff,17.0,0.0,0.0
837a6bfffffffff,23.0,0.0,0.0
837a6cfffffffff,20.0,0.0,0.0
837a6dfffffffff,202.0,0.0,5.0
837a6efffffffff,469.0,0.0,0.0
837a71fffffffff,2.0,0.0,0.0
837a73fffffffff,6.0,0.0,0.0
837ac1fffffffff,2.0,2.0,0.0
837ac8fffffffff,12.0,6.0,0.0
837acafffffffff,2.0,0.0,0.0
837accfffffffff,1.0,0.0,0.0
837acdfffffffff,1.0,1.0,0.0
837ad9fffffffff,150.0,64.0,0.0
837adbfffffffff,2.0,0.0,0.0
837ae8fffffffff,55.0,17.0,0.0
837ae9fffffffff,98.0,51.0,0.0
837aeafffffffff,9.0,1.0,0.0
837aedfffffffff,22.0,20.0,0.0
