cell_id,Thectocercus acuticaudatus,Thectocercus acuticaudatus [haemorrhous Group],Thectocercus acuticaudatus acuticaudatus/neumanni
8329a4fffffffff,85.0,0.0,0.0
833933fffffffff,283.0,0.0,0.0
833944fffffffff,19.0,0.0,0.0
83441afffffffff,116.0,0.0,0.0
83441efffffffff,266.0,5.0,0.0
8344a1fffffffff,900.0,9.0,0.0
8344a8fffffffff,94.0,0.0,0.0
8344abfffffffff,5.0,0.0,0.0
835f41fffffffff,1.0,0.0,0.0
835f49fffffffff,3.0,0.0,0.0
835f4bfffffffff,2.0,0.0,0.0
835f4cfffffffff,2.0,0.0,0.0
835f75fffffffff,1.0,0.0,0.0
836609fffffffff,6.0,0.0,0.0
83660dfffffffff,2.0,0.0,0.0
836620fffffffff,235.0,21.0,0.0
836621fffffffff,19.0,0.0,0.0
836625fffffffff,203.0,11.0,0.0
836640fffffffff,1.0,0.0,0.0
836644fffffffff,4.0,0.0,0.0
836645fffffffff,2.0,0.0,0.0
836650fffffffff,19.0,0.0,0.0
836652fffffffff,258.0,0.0,0.0
836654fffffffff,40.0,0.0,0.0
836656fffffffff,34.0,0.0,0.0
836662fffffffff,2.0,0.0,0.0
836663fffffffff,36.0,0.0,0.0
836664fffffffff,2.0,0.0,0.0
836670fffffffff,5.0,0.0,0.0
836671fffffffff,7.0,0.0,0.0
836672fffffffff,61.0,3.0,0.0
836673fffffffff,72.0,0.0,0.0
836676fffffffff,2.0,0.0,0.0
8366e1fffffffff,5.0,0.0,0.0
8366e3fffffffff,3.0,0.0,0.0
8366e5fffffffff,68.0,0.0,0.0
8366ecfffffffff,18.0,0.0,0.0
836741fffffffff,13.0,0.0,0.0
836742fffffffff,20.0,0.0,0.0
836743fffffffff,2.0,0.0,0.0
836746fffffffff,693.0,0.0,0.0
83674cfffffffff,4.0,0.0,0.0
83674dfffffffff,1.0,0.0,0.0
836750fffffffff,5.0,0.0,0.0
836751fffffffff,21.0,0.0,0.0
836752fffffffff,225.0,0.0,0.0
836753fffffffff,151.0,0.0,0.0
836755fffffffff,246.0,2.0,0.0
836756fffffffff,31.0,0.0,0.0
83675cfffffffff,1.0,0.0,0.0
83675efffffffff,12.0,0.0,0.0
836769fffffffff,2.0,0.0,0.0
838109fffffffff,4.0,0.0,0.0
83811afffffffff,13.0,1.0,0.0
838124fffffffff,3.0,0.0,0.0
83812cfffffffff,4.0,0.0,0.0
838133fffffffff,1.0,0.0,0.0
838151fffffffff,1.0,0.0,0.0
838170fffffffff,4.0,0.0,0.0
838172fffffffff,6.0,0.0,0.0
838173fffffffff,2.0,0.0,0.0
838176fffffffff,2.0,2.0,0.0
8381adfffffffff,232.0,6.0,0.0
838b06fffffffff,6.0,0.0,0.0
838b20fffffffff,380.0,0.0,0.0
838b21fffffffff,7.0,0.0,0.0
838b22fffffffff,306.0,0.0,0.0
838b23fffffffff,8.0,0.0,0.0
838b24fffffffff,17.0,0.0,0.0
838b25fffffffff,64.0,0.0,2.0
838b26fffffffff,19.0,0.0,0.0
838b31fffffffff,11.0,0.0,0.0
838b34fffffffff,11.0,0.0,0.0
838b35fffffffff,1.0,0.0,0.0
838b36fffffffff,3.0,0.0,0.0
838b88fffffffff,2.0,0.0,0.0
838b9dfffffffff,1.0,0.0,0.0
838ba6fffffffff,20.0,0.0,0.0
838bb5fffffffff,7.0,0.0,0.0
83a82dfffffffff,3.0,0.0,0.0
83a840fffffffff,133.0,0.0,0.0
83a841fffffffff,33.0,0.0,1.0
83a842fffffffff,38.0,0.0,0.0
83a843fffffffff,10.0,0.0,0.0
