cell_id,Enicurus leschenaulti,Enicurus leschenaulti sinensis/indicus,Enicurus leschenaulti frontalis/chaseni,Enicurus leschenaulti leschenaulti
843190dffffffff,2.0,2.0,0.0,0.0
8431921ffffffff,3.0,0.0,0.0,0.0
843196bffffffff,3.0,0.0,0.0,0.0
843c527ffffffff,3.0,0.0,0.0,0.0
843c537ffffffff,3.0,2.0,0.0,0.0
843c58dffffffff,1.0,1.0,0.0,0.0
84404ddffffffff,7.0,7.0,0.0,0.0
8440899ffffffff,5.0,1.0,0.0,0.0
844089dffffffff,5.0,1.0,0.0,0.0
8441715ffffffff,2.0,2.0,0.0,0.0
8441855ffffffff,4.0,4.0,0.0,0.0
8441921ffffffff,4.0,0.0,0.0,0.0
8465005ffffffff,28.0,16.0,0.0,0.0
8465029ffffffff,3.0,0.0,0.0,0.0
846502bffffffff,7.0,0.0,0.0,0.0
8465063ffffffff,10.0,0.0,0.0,0.0
8465229ffffffff,4.0,4.0,0.0,0.0
