cell_id,Dicrurus palawanensis,Dicrurus palawanensis palawanensis,Dicrurus palawanensis cuyensis
826807fffffffff,1.0,0.0,0.0
82682ffffffffff,683.0,160.0,0.0
82695ffffffffff,28.0,9.0,0.0
