cell_id,Turdoides sharpei,Turdoides sharpei sharpei,Turdoides sharpei vepres
846ac11ffffffff,7.0,0.0,0.0
846ac15ffffffff,19.0,2.0,0.0
846ac31ffffffff,20.0,3.0,0.0
846ac33ffffffff,19.0,0.0,0.0
846ac35ffffffff,24.0,1.0,0.0
846ac37ffffffff,2.0,0.0,0.0
846ac39ffffffff,25.0,2.0,0.0
846ac3bffffffff,1.0,0.0,0.0
846ac3dffffffff,346.0,36.0,0.0
846ac89ffffffff,9.0,0.0,0.0
846ac93ffffffff,20.0,0.0,0.0
846ac9bffffffff,13.0,0.0,0.0
846acc7ffffffff,4.0,0.0,0.0
846ace1ffffffff,4.0,0.0,0.0
846ace3ffffffff,4.0,0.0,0.0
846ace5ffffffff,254.0,26.0,0.0
846ace7ffffffff,3.0,3.0,0.0
846ad81ffffffff,93.0,0.0,0.0
846ad83ffffffff,6.0,0.0,0.0
846ad85ffffffff,1.0,0.0,0.0
846ad89ffffffff,5.0,0.0,0.0
846ad8bffffffff,57.0,0.0,0.0
846ad8dffffffff,7.0,0.0,0.0
846ad95ffffffff,2.0,0.0,0.0
846ad9dffffffff,2.0,0.0,0.0
846adc1ffffffff,19.0,0.0,0.0
846adc3ffffffff,18.0,0.0,0.0
846adc7ffffffff,2.0,0.0,0.0
846adc9ffffffff,96.0,5.0,0.0
846adcbffffffff,2.0,0.0,0.0
846add5ffffffff,1.0,0.0,0.0
846add7ffffffff,20.0,0.0,0.0
846add9ffffffff,11.0,3.0,0.0
846adddffffffff,3.0,0.0,0.0
846ade7ffffffff,2.0,0.0,0.0
846adebffffffff,7.0,0.0,0.0
846ae15ffffffff,2.0,2.0,0.0
846ae85ffffffff,6.0,0.0,0.0
846aea3ffffffff,6.0,2.0,0.0
846aea9ffffffff,2.0,0.0,0.0
846aeb5ffffffff,2.0,2.0,0.0
847a40bffffffff,8.0,0.0,4.0
847a411ffffffff,1.0,0.0,0.0
847a415ffffffff,1.0,0.0,0.0
847a419ffffffff,2.0,0.0,0.0
847a41dffffffff,3.0,0.0,1.0
847a457ffffffff,35.0,0.0,17.0
847a489ffffffff,1.0,0.0,0.0
847a4c3ffffffff,2.0,0.0,0.0
847a4d5ffffffff,2.0,0.0,0.0
847a4d9ffffffff,4.0,0.0,0.0
847a4dbffffffff,8.0,0.0,0.0
847a681ffffffff,60.0,6.0,0.0
847a683ffffffff,74.0,8.0,0.0
847a689ffffffff,6.0,0.0,0.0
847a68bffffffff,38.0,1.0,0.0
847a69bffffffff,2.0,0.0,0.0
847a69dffffffff,6.0,4.0,0.0
847a6a1ffffffff,49.0,0.0,0.0
847a6a5ffffffff,20.0,0.0,0.0
847a6a9ffffffff,1.0,0.0,0.0
847a6adffffffff,166.0,0.0,0.0
847a6b3ffffffff,5.0,0.0,0.0
847a6b5ffffffff,4.0,0.0,0.0
847a6b7ffffffff,10.0,0.0,0.0
847a6d1ffffffff,273.0,12.0,0.0
847a6d3ffffffff,8.0,4.0,0.0
847a6d5ffffffff,2.0,0.0,0.0
847a6d7ffffffff,1.0,0.0,0.0
847a6d9ffffffff,135.0,13.0,0.0
847a6dbffffffff,30.0,2.0,0.0
847a6ddffffffff,1.0,0.0,0.0
847a6e7ffffffff,12.0,0.0,0.0
8496885ffffffff,2.0,0.0,0.0
8496905ffffffff,2.0,0.0,0.0
8496907ffffffff,21.0,3.0,0.0
8496925ffffffff,2.0,0.0,0.0
849692bffffffff,7.0,0.0,0.0
8496931ffffffff,6.0,3.0,0.0
8496933ffffffff,102.0,7.0,0.0
8496935ffffffff,25.0,4.0,0.0
8496937ffffffff,31.0,7.0,0.0
84969a1ffffffff,7.0,0.0,0.0
84969a5ffffffff,7.0,0.0,0.0
84969adffffffff,2.0,0.0,0.0
84969e5ffffffff,3.0,0.0,0.0
8496a27ffffffff,4.0,0.0,0.0
8496aedffffffff,2.0,0.0,0.0
8496b63ffffffff,1.0,0.0,0.0
