cell_id,Coracina personata,Coracina personata pollens,Coracina personata floris,Coracina personata sumbensis,Coracina personata personata,Coracina personata unimoda,Coracina personata alfrediana
827297fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
829407fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
829427fffffffff,62.0,0.0,0.0,0.0,0.0,0.0,4.0
82942ffffffffff,161.0,0.0,0.0,0.0,0.0,0.0,0.0
829437fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
829467fffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0
829517fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82951ffffffffff,77.0,0.0,0.0,0.0,0.0,0.0,0.0
829557fffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0
82955ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8295a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8295affffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0
