cell_id,Parus cinereus,Parus cinereus [cinereus Group],Parus cinereus [minor Group],Parus cinereus commixtus,Parus cinereus amamiensis,Parus cinereus okinawae,Parus cinereus nigriloris
8229a7fffffffff,17.0,0.0,1.0,0.0,0.0,0.0,0.0
822e77fffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
822f5ffffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
823087fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82309ffffffffff,38.0,0.0,4.0,0.0,0.0,0.0,0.0
823127fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
823137fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
823c1ffffffffff,17.0,17.0,0.0,0.0,0.0,0.0,0.0
823c37fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
823c57fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
823c5ffffffffff,85.0,85.0,0.0,0.0,0.0,0.0,0.0
823c87fffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
823c8ffffffffff,8.0,8.0,0.0,0.0,0.0,0.0,0.0
823caffffffffff,10.0,10.0,0.0,0.0,0.0,0.0,0.0
823ce7fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
823ceffffffffff,5.0,5.0,0.0,0.0,0.0,0.0,0.0
823cf7fffffffff,63.0,63.0,0.0,0.0,0.0,0.0,0.0
823d17fffffffff,22.0,22.0,0.0,0.0,0.0,0.0,0.0
823d87fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
823d8ffffffffff,57.0,57.0,0.0,0.0,0.0,0.0,0.0
823d97fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
823d9ffffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
823da7fffffffff,9.0,9.0,0.0,0.0,0.0,0.0,0.0
823daffffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0
824007fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
82404ffffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0
8240c7fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
8240e7fffffffff,13.0,0.0,13.0,0.0,0.0,0.0,0.0
8240effffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0
82411ffffffffff,5.0,0.0,3.0,0.0,0.0,0.0,0.0
82415ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
824187fffffffff,6.0,0.0,0.0,6.0,0.0,0.0,0.0
824197fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
82419ffffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0
8241a7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8241b7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82426ffffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
8242c7fffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
8242cffffffffff,32.0,32.0,0.0,0.0,0.0,0.0,0.0
8242dffffffffff,31.0,31.0,0.0,0.0,0.0,0.0,0.0
824b57fffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
824b67fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
824ba7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
824bb7fffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
826017fffffffff,55.0,55.0,0.0,0.0,0.0,0.0,0.0
826027fffffffff,12.0,12.0,0.0,0.0,0.0,0.0,0.0
826037fffffffff,723.0,723.0,0.0,0.0,0.0,0.0,0.0
826087fffffffff,17.0,17.0,0.0,0.0,0.0,0.0,0.0
82608ffffffffff,10.0,10.0,0.0,0.0,0.0,0.0,0.0
82609ffffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0
8260affffffffff,10.0,10.0,0.0,0.0,0.0,0.0,0.0
8260b7fffffffff,75.0,75.0,0.0,0.0,0.0,0.0,0.0
826107fffffffff,10.0,10.0,0.0,0.0,0.0,0.0,0.0
82618ffffffffff,10.0,10.0,0.0,0.0,0.0,0.0,0.0
826487fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82649ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
826507fffffffff,8.0,8.0,0.0,0.0,0.0,0.0,0.0
82651ffffffffff,23.0,23.0,0.0,0.0,0.0,0.0,0.0
826527fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8265b7fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
