cell_id,Pardalotus striatus,Pardalotus striatus [melanocephalus Group],Pardalotus striatus ornatus,Pardalotus striatus striatus,Pardalotus striatus substriatus
839d0cfffffffff,2.0,0.0,0.0,0.0,0.0
83a79dfffffffff,2.0,0.0,0.0,0.0,0.0
83b880fffffffff,1.0,0.0,0.0,0.0,1.0
83be08fffffffff,8.0,0.0,3.0,0.0,0.0
83be0afffffffff,2.0,0.0,0.0,0.0,0.0
83be0bfffffffff,1.0,0.0,0.0,0.0,1.0
83be0cfffffffff,3.0,0.0,0.0,0.0,0.0
83be0dfffffffff,4.0,0.0,0.0,0.0,0.0
83be19fffffffff,2.0,0.0,0.0,0.0,0.0
83be42fffffffff,1.0,0.0,0.0,0.0,1.0
83be44fffffffff,2.0,0.0,0.0,0.0,1.0
83be45fffffffff,2.0,0.0,0.0,0.0,0.0
83be4cfffffffff,1.0,0.0,0.0,0.0,0.0
83be4efffffffff,5.0,0.0,1.0,0.0,2.0
83be53fffffffff,7.0,0.0,4.0,0.0,0.0
83be54fffffffff,3.0,0.0,0.0,0.0,3.0
83be5bfffffffff,2.0,0.0,2.0,0.0,0.0
83be60fffffffff,5.0,0.0,1.0,2.0,0.0
83be63fffffffff,13.0,0.0,0.0,3.0,5.0
83be72fffffffff,1.0,0.0,0.0,0.0,0.0
83be8dfffffffff,70.0,3.0,0.0,2.0,2.0
83bea9fffffffff,2.0,2.0,0.0,0.0,0.0
83beabfffffffff,11.0,0.0,0.0,2.0,0.0
83bee6fffffffff,1.0,0.0,0.0,0.0,0.0
83beeefffffffff,2.0,0.0,0.0,0.0,2.0
83bef2fffffffff,2.0,0.0,0.0,0.0,2.0
83bef3fffffffff,2.0,0.0,0.0,0.0,2.0
83bef5fffffffff,2.0,0.0,0.0,0.0,0.0
83bf49fffffffff,1.0,0.0,0.0,1.0,0.0
83bf4cfffffffff,6.0,0.0,0.0,0.0,0.0
83bf6bfffffffff,2.0,0.0,0.0,0.0,0.0
