cell_id,Cyanopica cyanus,Cyanopica cyanus [cyanus Group],Cyanopica cyanus japonica
83148cfffffffff,2.0,0.0,0.0
831496fffffffff,2.0,0.0,0.0
83149efffffffff,14.0,0.0,0.0
8314a8fffffffff,1.0,0.0,0.0
8314aefffffffff,140.0,0.0,0.0
8314b6fffffffff,1.0,0.0,0.0
8314d6fffffffff,2.0,0.0,0.0
831588fffffffff,4.0,0.0,0.0
83158efffffffff,2.0,0.0,0.0
831591fffffffff,3.0,0.0,0.0
831592fffffffff,5.0,0.0,0.0
831598fffffffff,31.0,2.0,0.0
83159cfffffffff,4.0,0.0,0.0
832452fffffffff,7.0,0.0,0.0
832460fffffffff,2.0,0.0,0.0
832482fffffffff,2.0,2.0,0.0
832483fffffffff,1.0,0.0,0.0
832488fffffffff,10.0,5.0,0.0
832489fffffffff,4.0,4.0,0.0
83248afffffffff,31.0,5.0,0.0
83248bfffffffff,78.0,12.0,0.0
83248cfffffffff,7.0,0.0,0.0
8324c0fffffffff,19.0,3.0,0.0
8324c6fffffffff,11.0,0.0,0.0
8324d0fffffffff,7.0,3.0,0.0
8324d1fffffffff,5.0,5.0,0.0
8324d2fffffffff,9.0,3.0,0.0
8324d6fffffffff,5.0,0.0,0.0
8324defffffffff,6.0,0.0,0.0
8324e9fffffffff,5.0,0.0,0.0
832540fffffffff,2.0,0.0,0.0
832541fffffffff,5.0,0.0,0.0
832546fffffffff,14.0,0.0,0.0
832552fffffffff,1.0,0.0,0.0
83255afffffffff,135.0,0.0,0.0
83255bfffffffff,1.0,0.0,0.0
832571fffffffff,25.0,0.0,0.0
8325b0fffffffff,5.0,0.0,0.0
832e29fffffffff,1.0,0.0,0.0
832e2bfffffffff,1.0,0.0,1.0
832e44fffffffff,14.0,0.0,6.0
832e74fffffffff,18.0,0.0,11.0
832e75fffffffff,29.0,0.0,18.0
832e76fffffffff,6.0,0.0,0.0
832ec1fffffffff,1.0,0.0,0.0
832ec3fffffffff,3.0,0.0,0.0
832ec9fffffffff,8.0,0.0,0.0
832ecbfffffffff,20.0,0.0,0.0
832ecdfffffffff,9.0,0.0,0.0
832ed9fffffffff,2.0,0.0,0.0
832f58fffffffff,1.0,0.0,0.0
832f5afffffffff,400.0,0.0,72.0
832f5bfffffffff,74.0,0.0,41.0
833006fffffffff,2.0,0.0,0.0
833011fffffffff,23.0,0.0,0.0
833012fffffffff,2.0,0.0,0.0
833019fffffffff,25.0,0.0,0.0
83301efffffffff,2.0,0.0,0.0
833022fffffffff,3.0,0.0,0.0
833025fffffffff,104.0,0.0,0.0
83302bfffffffff,3.0,0.0,0.0
833030fffffffff,3.0,0.0,0.0
833032fffffffff,1.0,0.0,0.0
833081fffffffff,56.0,0.0,0.0
833082fffffffff,3.0,0.0,0.0
833083fffffffff,28.0,3.0,0.0
833084fffffffff,16.0,0.0,0.0
83308efffffffff,5.0,0.0,0.0
833091fffffffff,147.0,18.0,0.0
833092fffffffff,21.0,7.0,0.0
833094fffffffff,1.0,0.0,0.0
833096fffffffff,19.0,3.0,0.0
833098fffffffff,74.0,2.0,0.0
833099fffffffff,222.0,45.0,0.0
83309afffffffff,7.0,3.0,0.0
83309bfffffffff,281.0,119.0,0.0
83309dfffffffff,128.0,33.0,0.0
83309efffffffff,4.0,2.0,0.0
8330a1fffffffff,1.0,0.0,0.0
8330a2fffffffff,4.0,0.0,0.0
8330a3fffffffff,12.0,1.0,0.0
8330a6fffffffff,1.0,0.0,0.0
8330acfffffffff,30.0,0.0,0.0
8330b0fffffffff,3.0,0.0,0.0
8330b5fffffffff,2.0,0.0,0.0
8330c0fffffffff,29.0,0.0,0.0
8330c1fffffffff,26.0,0.0,0.0
8330c2fffffffff,47.0,0.0,0.0
8330c4fffffffff,87.0,0.0,0.0
8330c5fffffffff,4.0,0.0,0.0
8330c6fffffffff,267.0,0.0,0.0
8330d5fffffffff,6.0,0.0,0.0
8330e0fffffffff,262.0,0.0,0.0
8330e1fffffffff,199.0,0.0,0.0
8330e2fffffffff,37.0,0.0,0.0
8330e3fffffffff,291.0,0.0,0.0
8330e4fffffffff,1.0,0.0,0.0
8330e5fffffffff,90.0,0.0,0.0
8330e8fffffffff,6.0,0.0,0.0
8330ecfffffffff,10.0,0.0,0.0
8330eefffffffff,5.0,0.0,0.0
8330f3fffffffff,1.0,0.0,0.0
833126fffffffff,1.0,0.0,0.0
833142fffffffff,2.0,0.0,0.0
833144fffffffff,2.0,0.0,0.0
833145fffffffff,2.0,2.0,0.0
833150fffffffff,1.0,1.0,0.0
833159fffffffff,4.0,0.0,0.0
83315bfffffffff,4.0,0.0,0.0
83316cfffffffff,18.0,0.0,0.0
83316efffffffff,9.0,1.0,0.0
833170fffffffff,2.0,0.0,0.0
833176fffffffff,8.0,0.0,0.0
833181fffffffff,113.0,20.0,0.0
833182fffffffff,1.0,0.0,0.0
833183fffffffff,2.0,0.0,0.0
833185fffffffff,542.0,65.0,0.0
833188fffffffff,15.0,0.0,0.0
83318cfffffffff,118.0,0.0,0.0
83318dfffffffff,18.0,1.0,0.0
833190fffffffff,25.0,0.0,0.0
833191fffffffff,2.0,0.0,0.0
833192fffffffff,3.0,0.0,0.0
833199fffffffff,4.0,0.0,0.0
83319cfffffffff,2.0,0.0,0.0
83319dfffffffff,6.0,0.0,0.0
8331a3fffffffff,5.0,0.0,0.0
8331a8fffffffff,42.0,6.0,0.0
