cell_id,Vireolanius leucotis,Vireolanius leucotis mikettae,Vireolanius leucotis [leucotis Group]
825f07fffffffff,18.0,0.0,0.0
825f17fffffffff,36.0,0.0,0.0
825f2ffffffffff,75.0,0.0,0.0
825f47fffffffff,11.0,0.0,0.0
825f57fffffffff,6.0,0.0,0.0
825f6ffffffffff,12.0,0.0,0.0
825f77fffffffff,46.0,0.0,0.0
82661ffffffffff,185.0,0.0,0.0
8266c7fffffffff,57.0,0.0,0.0
8266d7fffffffff,1584.0,56.0,0.0
8266dffffffffff,605.0,0.0,65.0
8266e7fffffffff,4.0,0.0,0.0
8266f7fffffffff,1426.0,0.0,0.0
82804ffffffffff,6.0,0.0,0.0
828067fffffffff,94.0,0.0,0.0
82806ffffffffff,4.0,0.0,0.0
82814ffffffffff,305.0,0.0,0.0
828a07fffffffff,35.0,0.0,5.0
828a17fffffffff,18.0,0.0,0.0
828a1ffffffffff,10.0,0.0,1.0
828a27fffffffff,4.0,0.0,2.0
828a37fffffffff,4.0,0.0,0.0
828a47fffffffff,9.0,0.0,0.0
828a6ffffffffff,3.0,0.0,0.0
828a87fffffffff,37.0,0.0,0.0
828a97fffffffff,10.0,0.0,0.0
828a9ffffffffff,30.0,0.0,0.0
828aaffffffffff,21.0,0.0,0.0
828adffffffffff,3.0,0.0,0.0
828af7fffffffff,773.0,0.0,64.0
828b0ffffffffff,8.0,0.0,4.0
828b27fffffffff,3.0,0.0,0.0
828b47fffffffff,148.0,0.0,0.0
828b4ffffffffff,15.0,0.0,0.0
828b57fffffffff,13.0,0.0,0.0
828b5ffffffffff,4.0,0.0,0.0
828b67fffffffff,37.0,0.0,0.0
828b6ffffffffff,52.0,0.0,0.0
828b77fffffffff,63.0,0.0,0.0
828b87fffffffff,21.0,0.0,0.0
828b8ffffffffff,6.0,0.0,0.0
828b9ffffffffff,173.0,0.0,0.0
828ba7fffffffff,2.0,0.0,0.0
828bb7fffffffff,2.0,0.0,0.0
828e67fffffffff,4.0,0.0,0.0
828f2ffffffffff,62.0,2.0,0.0
828f47fffffffff,256.0,0.0,1.0
828f4ffffffffff,58.0,0.0,0.0
828f5ffffffffff,4.0,0.0,0.0
828f6ffffffffff,4.0,0.0,0.0
828f77fffffffff,230.0,0.0,25.0
82b327fffffffff,20.0,0.0,0.0
