cell_id,Malacoptila striata,Malacoptila striata minor,Malacoptila striata striata
84a8143ffffffff,47.0,0.0,7.0
84a8151ffffffff,1.0,0.0,0.0
84a8153ffffffff,2.0,0.0,2.0
84a8155ffffffff,143.0,0.0,52.0
84a8157ffffffff,133.0,0.0,13.0
84a815bffffffff,57.0,0.0,5.0
84a815dffffffff,1.0,0.0,0.0
84a818dffffffff,17.0,0.0,4.0
84a81b9ffffffff,2.0,0.0,0.0
84a81c7ffffffff,15.0,0.0,2.0
84a81cdffffffff,102.0,0.0,12.0
84a81d9ffffffff,4.0,0.0,0.0
84a81e1ffffffff,22.0,0.0,0.0
84a81e3ffffffff,11.0,0.0,0.0
84a81e9ffffffff,122.0,0.0,4.0
84a81ebffffffff,5.0,0.0,1.0
84a81edffffffff,2.0,0.0,0.0
84a826dffffffff,2.0,0.0,0.0
84a8311ffffffff,22.0,0.0,1.0
84a8313ffffffff,1.0,0.0,0.0
84a8315ffffffff,5.0,0.0,1.0
84a8317ffffffff,9.0,0.0,1.0
84a831dffffffff,19.0,0.0,2.0
84a8333ffffffff,2.0,0.0,0.0
84a8337ffffffff,4.0,0.0,4.0
84a833bffffffff,33.0,0.0,0.0
84a8351ffffffff,6.0,0.0,1.0
84a8353ffffffff,47.0,0.0,3.0
84a8357ffffffff,11.0,0.0,0.0
84a8359ffffffff,9.0,0.0,0.0
84a835bffffffff,5.0,0.0,2.0
84a835dffffffff,1.0,0.0,1.0
84a8807ffffffff,8.0,0.0,0.0
84a880bffffffff,1.0,0.0,0.0
84a8811ffffffff,24.0,0.0,0.0
84a8813ffffffff,2.0,0.0,2.0
84a8815ffffffff,1.0,0.0,0.0
84a8817ffffffff,2.0,0.0,2.0
84a8819ffffffff,1.0,0.0,0.0
84a881bffffffff,18.0,0.0,12.0
84a8821ffffffff,3.0,0.0,0.0
84a8823ffffffff,1.0,0.0,0.0
84a8825ffffffff,12.0,0.0,2.0
84a8829ffffffff,3.0,0.0,0.0
84a882dffffffff,60.0,0.0,6.0
84a8831ffffffff,1.0,0.0,0.0
84a8833ffffffff,1.0,0.0,0.0
84a883bffffffff,1.0,0.0,0.0
84a883dffffffff,1.0,0.0,0.0
84a8849ffffffff,78.0,0.0,4.0
84a884dffffffff,2.0,0.0,2.0
84a8857ffffffff,2.0,0.0,2.0
84a8863ffffffff,20.0,0.0,14.0
84a8867ffffffff,11.0,0.0,0.0
84a8917ffffffff,11.0,0.0,3.0
84a8919ffffffff,32.0,0.0,11.0
84a891dffffffff,4.0,0.0,4.0
84a8953ffffffff,22.0,0.0,3.0
84a8a03ffffffff,1.0,0.0,1.0
84a8a07ffffffff,33.0,0.0,6.0
84a8a11ffffffff,1.0,0.0,0.0
84a8a13ffffffff,12.0,0.0,0.0
84a8a15ffffffff,15.0,0.0,0.0
84a8a17ffffffff,1.0,0.0,0.0
84a8a19ffffffff,1.0,0.0,0.0
84a8a1bffffffff,1.0,0.0,0.0
84a8a1dffffffff,1.0,0.0,0.0
84a8a23ffffffff,163.0,0.0,19.0
84a8a27ffffffff,4.0,0.0,0.0
84a8a2bffffffff,16.0,0.0,1.0
84a8a31ffffffff,1.0,0.0,1.0
84a8a33ffffffff,2.0,0.0,2.0
84a8a35ffffffff,8.0,0.0,1.0
84a8a39ffffffff,9.0,0.0,0.0
84a8a3dffffffff,55.0,0.0,14.0
84a8a53ffffffff,11.0,0.0,0.0
84a8a85ffffffff,6.0,0.0,0.0
84a8a8dffffffff,1.0,0.0,0.0
84a8a91ffffffff,3.0,0.0,0.0
84a8a97ffffffff,3.0,0.0,0.0
84a8aa7ffffffff,1.0,0.0,1.0
84a8aadffffffff,15.0,0.0,8.0
84a8ab1ffffffff,2.0,0.0,2.0
84a8ac1ffffffff,1.0,0.0,0.0
84a8ac5ffffffff,6.0,0.0,1.0
84a8acbffffffff,1.0,0.0,1.0
84a8acdffffffff,4.0,0.0,1.0
84a8ad5ffffffff,4.0,0.0,0.0
84a8ae3ffffffff,2.0,0.0,1.0
84a8ae5ffffffff,4.0,0.0,2.0
84a8aebffffffff,2.0,0.0,2.0
84a91b1ffffffff,22.0,0.0,6.0
84a91b7ffffffff,20.0,0.0,0.0
