cell_id,Scytalopus argentifrons,Scytalopus argentifrons argentifrons,Scytalopus argentifrons chiriquensis
8266a7fffffffff,296.0,12.0,3.0
8266b7fffffffff,3785.0,89.0,0.0
82679ffffffffff,57.0,0.0,0.0
826d6ffffffffff,2952.0,0.0,0.0
