cell_id,Tyto furcata,Tyto furcata [tuidara Group],Tyto furcata furcata,Tyto furcata bargei,Tyto furcata nigrescens/insularis,Tyto furcata punctatissima
8212dffffffffff,7.0,2.0,0.0,0.0,0.0,0.0
822607fffffffff,3.0,1.0,0.0,0.0,0.0,0.0
82260ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
822617fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82261ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
822637fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
822647fffffffff,96.0,4.0,0.0,0.0,0.0,0.0
82264ffffffffff,245.0,4.0,0.0,0.0,0.0,0.0
822657fffffffff,64.0,0.0,0.0,0.0,0.0,0.0
82265ffffffffff,50.0,0.0,0.0,0.0,0.0,0.0
822667fffffffff,85.0,5.0,0.0,0.0,0.0,0.0
82266ffffffffff,137.0,6.0,0.0,0.0,0.0,0.0
822677fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
82268ffffffffff,148.0,0.0,0.0,0.0,0.0,0.0
822697fffffffff,20.0,5.0,0.0,0.0,0.0,0.0
82269ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8226a7fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8226affffffffff,77.0,2.0,0.0,0.0,0.0,0.0
8226b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8226cffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8226d7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8226dffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8226e7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8226effffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8226f7fffffffff,39.0,0.0,0.0,0.0,0.0,0.0
82270ffffffffff,28.0,0.0,0.0,0.0,0.0,0.0
82274ffffffffff,35.0,4.0,0.0,0.0,0.0,0.0
822757fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82275ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82276ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8227affffffffff,8.0,0.0,0.0,0.0,0.0,0.0
822817fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
82281ffffffffff,16.0,0.0,0.0,0.0,0.0,0.0
822837fffffffff,365.0,20.0,0.0,0.0,0.0,0.0
822887fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
82288ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
822897fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82289ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8228affffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8228b7fffffffff,23.0,6.0,0.0,0.0,0.0,0.0
8228d7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8228f7fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
82291ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82298ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0
822997fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8229a7fffffffff,37.0,10.0,0.0,0.0,0.0,0.0
8229affffffffff,21.0,3.0,0.0,0.0,0.0,0.0
8229b7fffffffff,26.0,12.0,0.0,0.0,0.0,0.0
822a07fffffffff,54.0,6.0,0.0,0.0,0.0,0.0
822a17fffffffff,30.0,0.0,0.0,0.0,0.0,0.0
822a37fffffffff,108.0,8.0,0.0,0.0,0.0,0.0
822a87fffffffff,17.0,2.0,0.0,0.0,0.0,0.0
822a8ffffffffff,60.0,4.0,0.0,0.0,0.0,0.0
822a97fffffffff,179.0,6.0,0.0,0.0,0.0,0.0
822a9ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
822aaffffffffff,122.0,5.0,0.0,0.0,0.0,0.0
822ab7fffffffff,70.0,5.0,0.0,0.0,0.0,0.0
822af7fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
822b8ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
824417fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
82441ffffffffff,123.0,5.0,0.0,0.0,0.0,0.0
824447fffffffff,47.0,0.0,0.0,0.0,0.0,0.0
82444ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
824457fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
82445ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0
824467fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82446ffffffffff,48.0,2.0,0.0,0.0,0.0,0.0
8244a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8244affffffffff,76.0,8.0,0.0,0.0,0.0,0.0
8244c7fffffffff,254.0,22.0,0.0,0.0,0.0,0.0
8244cffffffffff,86.0,4.0,0.0,0.0,0.0,0.0
8244d7fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8244dffffffffff,133.0,2.0,0.0,0.0,0.0,0.0
8244e7fffffffff,99.0,12.0,0.0,0.0,0.0,0.0
8244effffffffff,42.0,7.0,0.0,0.0,0.0,0.0
8244f7fffffffff,127.0,2.0,0.0,0.0,0.0,0.0
824527fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82452ffffffffff,40.0,2.0,0.0,0.0,0.0,0.0
