cell_id,Trogon elegans,Trogon elegans [ambiguus Group],Trogon elegans elegans/lubricus
834520fffffffff,43.0,0.0,0.0
834522fffffffff,1.0,0.0,0.0
834524fffffffff,340.0,0.0,0.0
834525fffffffff,225.0,0.0,55.0
834526fffffffff,50.0,0.0,0.0
834534fffffffff,5.0,0.0,0.0
834535fffffffff,12.0,0.0,0.0
834569fffffffff,1.0,0.0,0.0
834800fffffffff,1.0,0.0,0.0
834802fffffffff,48.0,0.0,0.0
834803fffffffff,1.0,1.0,0.0
834806fffffffff,45.0,0.0,0.0
834809fffffffff,3.0,0.0,0.0
83480afffffffff,835.0,63.0,0.0
83480efffffffff,6.0,2.0,0.0
834810fffffffff,2.0,0.0,0.0
834814fffffffff,11.0,0.0,0.0
834815fffffffff,89.0,0.0,0.0
834818fffffffff,1.0,0.0,0.0
834819fffffffff,9.0,0.0,0.0
83481cfffffffff,2.0,0.0,0.0
83481dfffffffff,36.0,0.0,0.0
834830fffffffff,12.0,1.0,0.0
834832fffffffff,33.0,0.0,0.0
834833fffffffff,263.0,25.0,0.0
834836fffffffff,2661.0,122.0,0.0
834884fffffffff,12.0,4.0,0.0
8348a2fffffffff,745.0,25.0,0.0
8348a6fffffffff,15.0,0.0,0.0
8348b4fffffffff,15.0,0.0,0.0
8348b5fffffffff,24.0,2.0,0.0
8348c5fffffffff,2683.0,335.0,0.0
8348e0fffffffff,25.0,5.0,0.0
8348e1fffffffff,39.0,6.0,0.0
8348e2fffffffff,6.0,0.0,0.0
8348e3fffffffff,8.0,0.0,0.0
8348e4fffffffff,103.0,11.0,0.0
8348e5fffffffff,35.0,3.0,0.0
8348e6fffffffff,30.0,2.0,0.0
8348e8fffffffff,1288.0,113.0,0.0
8348ecfffffffff,659.0,95.0,0.0
8348eefffffffff,5089.0,602.0,0.0
834980fffffffff,51.0,0.0,0.0
834982fffffffff,1.0,0.0,0.0
834985fffffffff,12.0,0.0,0.0
834986fffffffff,21.0,0.0,0.0
834988fffffffff,125.0,0.0,0.0
834989fffffffff,17.0,8.0,0.0
83498cfffffffff,42.0,0.0,0.0
83498dfffffffff,7.0,2.0,0.0
83498efffffffff,2.0,0.0,0.0
834991fffffffff,1.0,0.0,0.0
834993fffffffff,2.0,2.0,0.0
834994fffffffff,29.0,2.0,0.0
834998fffffffff,370.0,37.0,0.0
83499afffffffff,3.0,1.0,0.0
83499bfffffffff,50.0,7.0,0.0
83499cfffffffff,39.0,0.0,0.0
83499dfffffffff,2.0,0.0,0.0
83499efffffffff,191.0,0.0,0.0
8349a8fffffffff,285.0,5.0,0.0
8349a9fffffffff,1093.0,94.0,0.0
8349aafffffffff,32.0,4.0,0.0
8349abfffffffff,65.0,0.0,0.0
8349b0fffffffff,7.0,0.0,0.0
8349b1fffffffff,7.0,0.0,0.0
8349b2fffffffff,92.0,0.0,0.0
8349b3fffffffff,227.0,0.0,0.0
8349b5fffffffff,7.0,0.0,0.0
836d29fffffffff,7.0,0.0,0.0
836d30fffffffff,14.0,0.0,0.0
836d32fffffffff,158.0,28.0,0.0
836d33fffffffff,59.0,5.0,0.0
836d36fffffffff,65.0,3.0,0.0
836d60fffffffff,151.0,0.0,0.0
836d61fffffffff,232.0,0.0,0.0
836d64fffffffff,157.0,0.0,0.0
836d65fffffffff,37.0,0.0,0.0
836d66fffffffff,251.0,0.0,0.0
836d68fffffffff,823.0,0.0,0.0
836d69fffffffff,68.0,0.0,0.0
836d6afffffffff,4.0,0.0,0.0
836d6bfffffffff,1450.0,0.0,0.0
836d6cfffffffff,4.0,0.0,0.0
836d6efffffffff,65.0,0.0,0.0
836d74fffffffff,516.0,0.0,0.0
836d75fffffffff,170.0,0.0,0.0
