cell_id,Anisognathus lacrymosus,Anisognathus lacrymosus pallididorsalis,Anisognathus lacrymosus melanops,Anisognathus lacrymosus yariguierum,Anisognathus lacrymosus intensus,Anisognathus lacrymosus [palpebrosus Group],Anisognathus lacrymosus lacrymosus
82660ffffffffff,91.0,0.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,3391.0,0.0,0.0,0.0,0.0,8.0,0.0
826627fffffffff,1062.0,571.0,0.0,0.0,0.0,0.0,0.0
82662ffffffffff,186.0,1.0,25.0,0.0,0.0,0.0,0.0
8266c7fffffffff,792.0,0.0,0.0,0.0,0.0,1.0,0.0
8266d7fffffffff,366.0,0.0,0.0,0.0,0.0,0.0,0.0
8266dffffffffff,1000.0,0.0,0.0,0.0,0.0,60.0,0.0
8266e7fffffffff,5566.0,0.0,0.0,0.0,0.0,105.0,0.0
8266f7fffffffff,324.0,0.0,0.0,0.0,0.0,0.0,0.0
82675ffffffffff,117.0,0.0,0.0,0.0,0.0,0.0,0.0
828b67fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
828b6ffffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
828e67fffffffff,177.0,0.0,0.0,0.0,0.0,0.0,0.0
828e6ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
828f2ffffffffff,42.0,0.0,0.0,0.0,0.0,1.0,0.0
828f47fffffffff,49.0,0.0,0.0,0.0,0.0,0.0,0.0
828f4ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
828f57fffffffff,244.0,0.0,0.0,0.0,0.0,0.0,0.0
828f5ffffffffff,242.0,0.0,0.0,0.0,0.0,0.0,24.0
828f77fffffffff,1508.0,0.0,0.0,0.0,0.0,98.0,0.0
