cell_id,Rupornis magnirostris,Rupornis magnirostris gracilis,Rupornis magnirostris [magnirostris Group],Rupornis magnirostris [pucherani Group]
834501fffffffff,2.0,0.0,0.0,0.0
83450afffffffff,6.0,4.0,0.0,0.0
834520fffffffff,12.0,0.0,0.0,0.0
834521fffffffff,3.0,0.0,0.0,0.0
834522fffffffff,5.0,0.0,0.0,0.0
834523fffffffff,3.0,0.0,0.0,0.0
834525fffffffff,16.0,0.0,0.0,0.0
834528fffffffff,24.0,0.0,24.0,0.0
83452cfffffffff,3.0,0.0,1.0,0.0
83452dfffffffff,11.0,0.0,11.0,0.0
83452efffffffff,6.0,0.0,1.0,0.0
834533fffffffff,1.0,0.0,0.0,0.0
834564fffffffff,1.0,0.0,1.0,0.0
83456dfffffffff,2.0,0.0,0.0,0.0
834886fffffffff,9.0,0.0,1.0,0.0
8348b1fffffffff,10.0,0.0,1.0,0.0
8348b3fffffffff,304.0,0.0,2.0,0.0
834990fffffffff,1.0,0.0,1.0,0.0
834992fffffffff,1.0,0.0,1.0,0.0
834994fffffffff,2.0,0.0,0.0,0.0
834995fffffffff,171.0,0.0,30.0,0.0
834996fffffffff,25.0,0.0,0.0,0.0
834998fffffffff,4.0,0.0,4.0,0.0
83499cfffffffff,5.0,0.0,0.0,0.0
83499efffffffff,2.0,0.0,2.0,0.0
8349a8fffffffff,5.0,0.0,5.0,0.0
8349a9fffffffff,11.0,0.0,6.0,0.0
835f1cfffffffff,1.0,0.0,1.0,0.0
835f58fffffffff,8.0,0.0,0.0,0.0
836608fffffffff,11.0,0.0,0.0,0.0
83660bfffffffff,2.0,0.0,0.0,0.0
836610fffffffff,4.0,0.0,0.0,0.0
836613fffffffff,3.0,0.0,0.0,0.0
836616fffffffff,1.0,0.0,1.0,0.0
83661efffffffff,4.0,0.0,4.0,0.0
836629fffffffff,4.0,0.0,4.0,0.0
8366a0fffffffff,2.0,0.0,2.0,0.0
8366b0fffffffff,9.0,0.0,6.0,0.0
8366b4fffffffff,11.0,0.0,0.0,0.0
8366b5fffffffff,7.0,0.0,2.0,0.0
