cell_id,Aplonis metallica,Aplonis metallica circumscripta,Aplonis metallica [metallica Group]
84729dbffffffff,2.0,0.0,0.0
8472ae3ffffffff,1.0,0.0,0.0
8472c91ffffffff,2.0,0.0,0.0
8472d27ffffffff,2.0,0.0,0.0
8472f23ffffffff,2.0,0.0,2.0
8476815ffffffff,2.0,0.0,0.0
847683bffffffff,2.0,0.0,0.0
84769d1ffffffff,1.0,0.0,0.0
8476a29ffffffff,1.0,0.0,0.0
8477959ffffffff,2.0,0.0,0.0
847795bffffffff,5.0,0.0,0.0
8477981ffffffff,1.0,0.0,0.0
84779c5ffffffff,2.0,0.0,0.0
8495613ffffffff,7.0,0.0,0.0
8495617ffffffff,4.0,0.0,0.0
84956d3ffffffff,3.0,0.0,0.0
849c237ffffffff,1.0,0.0,0.0
849c901ffffffff,13.0,0.0,0.0
849c907ffffffff,1.0,0.0,0.0
849c90dffffffff,1.0,0.0,0.0
849ca65ffffffff,1.0,0.0,0.0
849caadffffffff,1.0,0.0,0.0
849cd31ffffffff,17.0,0.0,0.0
849d9b3ffffffff,2.0,0.0,0.0
849ed8dffffffff,2.0,0.0,0.0
849eda7ffffffff,10.0,0.0,0.0
849ede1ffffffff,3.0,0.0,0.0
849edebffffffff,1.0,0.0,0.0
