cell_id,Sylvietta leucophrys,Sylvietta leucophrys leucophrys/chloronota,Sylvietta leucophrys chapini
836ac0fffffffff,3.0,0.0,0.0
836ac1fffffffff,4.0,0.0,0.0
836ac3fffffffff,2.0,1.0,0.0
836adafffffffff,3.0,0.0,0.0
836adcfffffffff,497.0,70.0,0.0
836adefffffffff,129.0,0.0,0.0
836aeafffffffff,4.0,0.0,0.0
837a45fffffffff,56.0,0.0,0.0
837a48fffffffff,22.0,1.0,0.0
837a4cfffffffff,28.0,0.0,0.0
837a4dfffffffff,1.0,0.0,0.0
837a6afffffffff,1.0,0.0,0.0
837a6bfffffffff,7.0,0.0,0.0
837a6efffffffff,54.0,0.0,0.0
8396d6fffffffff,1.0,0.0,0.0
