cell_id,Estrilda paludicola,Estrilda paludicola ochrogaster,Estrilda paludicola [paludicola Group],Estrilda paludicola benguellensis
825287fffffffff,1.0,0.0,0.0,0.0
82529ffffffffff,7.0,7.0,0.0,0.0
826a47fffffffff,8.0,8.0,0.0,0.0
826a4ffffffffff,1.0,0.0,0.0,0.0
826a5ffffffffff,17.0,0.0,0.0,0.0
826a67fffffffff,2.0,2.0,0.0,0.0
826a6ffffffffff,22.0,18.0,0.0,0.0
826ac7fffffffff,246.0,0.0,46.0,0.0
826acffffffffff,63.0,0.0,4.0,0.0
826adffffffffff,167.0,0.0,39.0,0.0
826ae7fffffffff,5.0,0.0,0.0,0.0
826aeffffffffff,142.0,0.0,22.0,0.0
826b8ffffffffff,1.0,0.0,1.0,0.0
827a4ffffffffff,110.0,0.0,4.0,0.0
827a5ffffffffff,1.0,1.0,0.0,0.0
827a6ffffffffff,11.0,0.0,0.0,0.0
827acffffffffff,21.0,19.0,0.0,0.0
827adffffffffff,3.0,3.0,0.0,0.0
828287fffffffff,3.0,0.0,1.0,0.0
828317fffffffff,6.0,0.0,0.0,3.0
828337fffffffff,25.0,0.0,0.0,8.0
82838ffffffffff,2.0,0.0,2.0,0.0
8283a7fffffffff,10.0,0.0,0.0,0.0
829607fffffffff,24.0,0.0,0.0,9.0
82960ffffffffff,37.0,0.0,0.0,11.0
829617fffffffff,21.0,0.0,0.0,6.0
82961ffffffffff,1.0,0.0,0.0,0.0
829647fffffffff,1.0,0.0,0.0,0.0
82964ffffffffff,1.0,0.0,0.0,0.0
829657fffffffff,16.0,0.0,0.0,6.0
829667fffffffff,1.0,0.0,0.0,0.0
829677fffffffff,2.0,0.0,0.0,0.0
829697fffffffff,8.0,0.0,0.0,0.0
8296a7fffffffff,28.0,0.0,2.0,0.0
8296affffffffff,7.0,0.0,2.0,0.0
8296b7fffffffff,10.0,0.0,0.0,0.0
8296e7fffffffff,2.0,0.0,0.0,0.0
