cell_id,Sheppardia gunningi,Sheppardia gunningi sokokensis,Sheppardia gunningi alticola,Sheppardia gunningi bensoni,Sheppardia gunningi gunningi
847b4a7ffffffff,1.0,0.0,0.0,0.0,0.0
847b591ffffffff,6.0,0.0,0.0,0.0,0.0
847b597ffffffff,146.0,0.0,0.0,0.0,0.0
8497101ffffffff,1.0,0.0,0.0,0.0,0.0
8497103ffffffff,26.0,0.0,0.0,0.0,0.0
8497107ffffffff,10.0,0.0,0.0,0.0,0.0
849711dffffffff,24.0,0.0,0.0,0.0,0.0
8497139ffffffff,2.0,0.0,0.0,0.0,0.0
849713dffffffff,1.0,0.0,0.0,0.0,0.0
84978b9ffffffff,9.0,0.0,0.0,0.0,0.0
84978bdffffffff,4.0,0.0,0.0,0.0,0.0
8497903ffffffff,1.0,0.0,0.0,0.0,0.0
849790dffffffff,1.0,0.0,0.0,0.0,0.0
8497937ffffffff,12.0,0.0,0.0,0.0,0.0
8497a5bffffffff,1.0,0.0,0.0,0.0,0.0
