cell_id,Pteruthius xanthochlorus,Pteruthius xanthochlorus xanthochlorus/occidentalis,Pteruthius xanthochlorus pallidus/hybrida
833c02fffffffff,6.0,3.0,0.0
833c06fffffffff,4.0,3.0,0.0
833c0afffffffff,6.0,0.0,0.0
833c1dfffffffff,6.0,0.0,0.0
833c52fffffffff,1.0,1.0,0.0
833c58fffffffff,3.0,0.0,0.0
833c5bfffffffff,1.0,0.0,0.0
833cc0fffffffff,1.0,0.0,0.0
833cd8fffffffff,1.0,0.0,1.0
833cddfffffffff,1.0,0.0,0.0
833ce8fffffffff,1.0,0.0,1.0
833d15fffffffff,4.0,0.0,0.0
833d35fffffffff,2.0,0.0,0.0
834088fffffffff,1.0,0.0,0.0
834089fffffffff,3.0,0.0,0.0
8340c6fffffffff,2.0,0.0,2.0
8340e1fffffffff,2.0,0.0,2.0
8340ecfffffffff,1.0,0.0,1.0
8340eefffffffff,3.0,0.0,3.0
8341b3fffffffff,1.0,0.0,0.0
