cell_id,Terpsiphone rufiventer,Terpsiphone rufiventer [rufiventer Group],Terpsiphone rufiventer tricolor/neumanni,Terpsiphone rufiventer smithii
82541ffffffffff,3.0,0.0,0.0,0.0
8254affffffffff,230.0,130.0,0.0,0.0
8254e7fffffffff,18.0,0.0,0.0,0.0
8254effffffffff,6.0,0.0,0.0,0.0
8254f7fffffffff,226.0,136.0,0.0,0.0
825887fffffffff,4.0,0.0,0.0,0.0
825897fffffffff,51.0,12.0,0.0,0.0
8258d7fffffffff,59.0,0.0,42.0,0.0
8258dffffffffff,11.0,0.0,11.0,0.0
826a17fffffffff,2.0,0.0,0.0,0.0
826a97fffffffff,1.0,1.0,0.0,0.0
826a9ffffffffff,22.0,22.0,0.0,0.0
826ac7fffffffff,564.0,233.0,0.0,0.0
826acffffffffff,318.0,126.0,0.0,0.0
826adffffffffff,56.0,20.0,0.0,0.0
826aeffffffffff,160.0,72.0,0.0,0.0
82750ffffffffff,745.0,456.0,0.0,0.0
82751ffffffffff,11.0,0.0,0.0,0.0
827527fffffffff,2.0,0.0,0.0,0.0
82752ffffffffff,319.0,197.0,0.0,0.0
827587fffffffff,3.0,0.0,0.0,0.0
8275a7fffffffff,16.0,0.0,0.0,0.0
8275affffffffff,5.0,0.0,0.0,0.0
8275b7fffffffff,11.0,1.0,0.0,0.0
827a4ffffffffff,26.0,0.0,0.0,0.0
828217fffffffff,1.0,0.0,1.0,0.0
82821ffffffffff,9.0,0.0,0.0,0.0
828287fffffffff,1.0,0.0,0.0,0.0
82828ffffffffff,224.0,0.0,83.0,0.0
828297fffffffff,1.0,1.0,0.0,0.0
8282a7fffffffff,24.0,0.0,0.0,0.0
8282affffffffff,36.0,0.0,11.0,0.0
8282b7fffffffff,1.0,0.0,0.0,0.0
8282d7fffffffff,131.0,0.0,92.0,0.0
8282f7fffffffff,5.0,0.0,3.0,0.0
82838ffffffffff,1.0,0.0,0.0,0.0
82839ffffffffff,45.0,20.0,0.0,0.0
82960ffffffffff,14.0,9.0,0.0,0.0
829657fffffffff,3.0,3.0,0.0,0.0
