cell_id,Henicorhina leucophrys,Henicorhina leucophrys [mexicana Group],Henicorhina leucophrys brunneiceps,Henicorhina leucophrys bangsi,Henicorhina leucophrys manastarae,Henicorhina leucophrys meridana,Henicorhina leucophrys venezuelensis,Henicorhina leucophrys hilaris,Henicorhina leucophrys leucophrys/boliviana
834520fffffffff,71.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834522fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834524fffffffff,261.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834525fffffffff,305.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834526fffffffff,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834836fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834980fffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834986fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834990fffffffff,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834991fffffffff,73.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834994fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834996fffffffff,829.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834998fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83499cfffffffff,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349a8fffffffff,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349a9fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349aafffffffff,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349abfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349b0fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349b1fffffffff,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349b5fffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349b6fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836601fffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836606fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836608fffffffff,1327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836609fffffffff,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83660afffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83660bfffffffff,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83660cfffffffff,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83660dfffffffff,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836611fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836612fffffffff,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836613fffffffff,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836616fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836618fffffffff,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
836619fffffffff,2744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83661afffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83661bfffffffff,6757.0,0.0,681.0,0.0,0.0,0.0,0.0,0.0,174.0
