cell_id,Trachyphonus darnaudii,Trachyphonus darnaudii darnaudii/boehmi,Trachyphonus darnaudii usambiro,Trachyphonus darnaudii emini
846a493ffffffff,2.0,0.0,0.0,0.0
846a49bffffffff,1.0,0.0,0.0,0.0
846a4a3ffffffff,3.0,1.0,0.0,0.0
846a4a9ffffffff,1.0,0.0,0.0,0.0
846a4b3ffffffff,14.0,2.0,0.0,0.0
846a507ffffffff,2.0,0.0,0.0,0.0
846a581ffffffff,27.0,0.0,0.0,0.0
846a587ffffffff,21.0,0.0,0.0,0.0
846a5a9ffffffff,75.0,0.0,0.0,0.0
846a5abffffffff,21.0,0.0,0.0,0.0
846a5b3ffffffff,8.0,0.0,0.0,0.0
846a5bbffffffff,9.0,0.0,0.0,0.0
846aecbffffffff,1.0,1.0,0.0,0.0
847a401ffffffff,39.0,0.0,0.0,0.0
847a403ffffffff,36.0,0.0,0.0,0.0
847a405ffffffff,9.0,0.0,0.0,0.0
847a407ffffffff,136.0,0.0,0.0,0.0
847a40bffffffff,15.0,0.0,0.0,0.0
847a40dffffffff,3.0,0.0,0.0,0.0
847a413ffffffff,173.0,33.0,0.0,0.0
847a415ffffffff,5.0,0.0,0.0,0.0
847a41bffffffff,36.0,2.0,0.0,0.0
847a41dffffffff,172.0,0.0,0.0,0.0
847a42bffffffff,1.0,0.0,0.0,0.0
847a451ffffffff,1.0,0.0,0.0,0.0
847a457ffffffff,20.0,0.0,0.0,0.0
847a459ffffffff,25.0,0.0,0.0,0.0
847a45dffffffff,9.0,0.0,0.0,0.0
847a481ffffffff,68.0,0.0,0.0,0.0
847a483ffffffff,3.0,0.0,0.0,0.0
847a485ffffffff,5.0,5.0,0.0,0.0
847a487ffffffff,3.0,0.0,0.0,0.0
847a489ffffffff,34.0,0.0,0.0,0.0
847a48dffffffff,2.0,0.0,0.0,0.0
847a4b1ffffffff,39.0,0.0,0.0,0.0
847a4b5ffffffff,5.0,0.0,0.0,0.0
847a4b7ffffffff,2.0,0.0,0.0,0.0
847a4bdffffffff,4.0,0.0,0.0,0.0
847a4c1ffffffff,31.0,0.0,0.0,0.0
847a4c5ffffffff,1.0,0.0,0.0,0.0
847a4cdffffffff,17.0,0.0,0.0,0.0
847a4e3ffffffff,14.0,0.0,0.0,0.0
847a4e9ffffffff,2.0,1.0,0.0,0.0
847a533ffffffff,2.0,0.0,0.0,0.0
847a537ffffffff,1.0,0.0,0.0,0.0
847a5a5ffffffff,8.0,2.0,0.0,0.0
847a5adffffffff,8.0,1.0,0.0,0.0
847a5e3ffffffff,1.0,0.0,0.0,0.0
847a5e5ffffffff,1.0,0.0,0.0,0.0
847a601ffffffff,19.0,7.0,0.0,0.0
847a603ffffffff,9.0,0.0,0.0,0.0
847a609ffffffff,265.0,99.0,0.0,0.0
847a60bffffffff,45.0,8.0,0.0,0.0
847a611ffffffff,17.0,0.0,0.0,0.0
847a613ffffffff,1.0,0.0,0.0,0.0
847a615ffffffff,13.0,0.0,0.0,0.0
847a617ffffffff,4.0,0.0,0.0,0.0
847a619ffffffff,2.0,2.0,0.0,0.0
847a61bffffffff,7.0,0.0,0.0,0.0
847a61dffffffff,65.0,0.0,0.0,0.0
847a631ffffffff,2.0,0.0,0.0,0.0
847a633ffffffff,2.0,0.0,0.0,0.0
847a637ffffffff,2.0,0.0,0.0,0.0
847a63bffffffff,12.0,0.0,0.0,0.0
847a63dffffffff,2.0,0.0,0.0,0.0
847a641ffffffff,78.0,13.0,0.0,0.0
847a643ffffffff,42.0,2.0,0.0,0.0
847a645ffffffff,4.0,2.0,0.0,0.0
847a647ffffffff,22.0,3.0,0.0,0.0
847a651ffffffff,19.0,5.0,0.0,0.0
847a653ffffffff,14.0,2.0,0.0,0.0
847a655ffffffff,17.0,0.0,0.0,0.0
847a657ffffffff,15.0,0.0,0.0,0.0
847a659ffffffff,93.0,31.0,0.0,4.0
847a65bffffffff,22.0,6.0,0.0,3.0
847a65dffffffff,13.0,4.0,0.0,0.0
847a669ffffffff,3.0,0.0,0.0,0.0
847a66bffffffff,2.0,0.0,0.0,0.0
847a681ffffffff,244.0,0.0,138.0,0.0
847a683ffffffff,195.0,0.0,126.0,0.0
847a685ffffffff,46.0,0.0,27.0,0.0
847a687ffffffff,18.0,0.0,15.0,0.0
847a689ffffffff,13.0,0.0,12.0,0.0
847a68bffffffff,44.0,2.0,18.0,0.0
847a693ffffffff,1.0,0.0,0.0,0.0
847a69bffffffff,7.0,0.0,3.0,0.0
847a69dffffffff,5.0,0.0,0.0,0.0
847a6a7ffffffff,13.0,0.0,0.0,0.0
847a6adffffffff,4.0,0.0,0.0,0.0
847a6c3ffffffff,2.0,0.0,0.0,0.0
847a6cdffffffff,1.0,0.0,0.0,0.0
847a6d1ffffffff,548.0,1.0,323.0,0.0
847a6d3ffffffff,30.0,1.0,21.0,0.0
847a6d5ffffffff,4.0,0.0,0.0,0.0
847a6d7ffffffff,8.0,0.0,6.0,0.0
847a6d9ffffffff,59.0,3.0,32.0,0.0
847a6dbffffffff,22.0,1.0,9.0,0.0
847a6ddffffffff,11.0,0.0,9.0,0.0
847a6e1ffffffff,27.0,11.0,0.0,0.0
847a6e5ffffffff,12.0,0.0,0.0,0.0
847a6e7ffffffff,3.0,0.0,1.0,0.0
847a6e9ffffffff,8.0,0.0,0.0,0.0
847a6ebffffffff,5.0,0.0,0.0,0.0
847a6edffffffff,31.0,0.0,0.0,0.0
847a759ffffffff,1.0,0.0,0.0,0.0
847ad91ffffffff,1.0,0.0,0.0,0.0
847ad99ffffffff,4.0,0.0,0.0,0.0
847ae81ffffffff,17.0,1.0,0.0,0.0
847ae85ffffffff,2.0,0.0,0.0,0.0
847ae8bffffffff,7.0,0.0,0.0,0.0
847ae91ffffffff,18.0,0.0,0.0,0.0
847ae95ffffffff,4.0,0.0,0.0,0.0
847ae99ffffffff,25.0,6.0,0.0,0.0
847ae9bffffffff,60.0,12.0,0.0,0.0
847ae9dffffffff,3.0,0.0,0.0,0.0
847aed3ffffffff,21.0,3.0,0.0,0.0
847aed7ffffffff,6.0,0.0,0.0,0.0
847aed9ffffffff,2.0,0.0,0.0,0.0
847aedbffffffff,1.0,0.0,0.0,0.0
847b487ffffffff,3.0,3.0,0.0,0.0
847b4b1ffffffff,5.0,0.0,0.0,0.0
847b4b3ffffffff,7.0,2.0,0.0,0.0
847b4b7ffffffff,9.0,0.0,0.0,0.0
847b4b9ffffffff,4.0,4.0,0.0,0.0
847b4bbffffffff,2.0,0.0,0.0,0.0
847b4c1ffffffff,3.0,0.0,0.0,0.0
