cell_id,Vanellus miles,Vanellus miles miles,Vanellus miles novaehollandiae
826527fffffffff,74.0,0.0,0.0
8272dffffffffff,14.0,1.0,0.0
82941ffffffffff,2.0,0.0,0.0
82942ffffffffff,8.0,0.0,0.0
82944ffffffffff,2.0,0.0,0.0
829457fffffffff,4728.0,1214.0,0.0
82945ffffffffff,1023.0,199.0,0.0
829467fffffffff,4.0,0.0,0.0
829487fffffffff,1981.0,227.0,0.0
82948ffffffffff,19.0,3.0,0.0
829497fffffffff,140.0,32.0,0.0
8294affffffffff,95.0,17.0,0.0
8294c7fffffffff,55.0,12.0,0.0
8294cffffffffff,74.0,6.0,0.0
8294d7fffffffff,33.0,4.0,0.0
8294e7fffffffff,452.0,89.0,0.0
8294effffffffff,884.0,295.0,0.0
8294f7fffffffff,14.0,0.0,0.0
829b47fffffffff,1.0,0.0,0.0
829b6ffffffffff,2.0,0.0,0.0
829c07fffffffff,1256.0,221.0,0.0
829c0ffffffffff,342.0,123.0,0.0
829c1ffffffffff,439.0,105.0,0.0
829c27fffffffff,7213.0,1012.0,0.0
829c2ffffffffff,265.0,38.0,0.0
829c47fffffffff,21.0,0.0,0.0
829c4ffffffffff,36.0,6.0,0.0
829c5ffffffffff,47.0,0.0,0.0
829c67fffffffff,38.0,10.0,0.0
829c6ffffffffff,65.0,8.0,0.0
829c77fffffffff,99.0,5.0,0.0
829c87fffffffff,1.0,0.0,0.0
829c8ffffffffff,1.0,0.0,0.0
829c9ffffffffff,8.0,2.0,0.0
829caffffffffff,246.0,34.0,0.0
829cc7fffffffff,7.0,0.0,0.0
829cd7fffffffff,7.0,0.0,0.0
829ce7fffffffff,57.0,6.0,0.0
829ceffffffffff,124.0,0.0,0.0
829cf7fffffffff,247.0,88.0,0.0
829d07fffffffff,437.0,8.0,18.0
829d0ffffffffff,1473.0,90.0,12.0
829d27fffffffff,1118.0,0.0,308.0
829d2ffffffffff,195.0,0.0,104.0
829d47fffffffff,46.0,7.0,0.0
829d4ffffffffff,385.0,70.0,0.0
829d57fffffffff,66.0,8.0,0.0
829d5ffffffffff,65.0,9.0,0.0
829d67fffffffff,7.0,0.0,0.0
829d6ffffffffff,49.0,14.0,0.0
829d77fffffffff,56.0,6.0,0.0
829e27fffffffff,12.0,0.0,0.0
829f57fffffffff,7.0,0.0,0.0
82a617fffffffff,17.0,3.0,0.0
82a6a7fffffffff,26.0,0.0,0.0
82a727fffffffff,13.0,0.0,0.0
82a787fffffffff,3.0,0.0,0.0
82a79ffffffffff,87.0,0.0,0.0
82b837fffffffff,18.0,0.0,6.0
82b867fffffffff,25.0,0.0,3.0
82b887fffffffff,241.0,0.0,45.0
82b897fffffffff,6.0,0.0,0.0
82b89ffffffffff,95.0,11.0,0.0
82b917fffffffff,1275.0,0.0,113.0
82b91ffffffffff,18.0,0.0,5.0
82b937fffffffff,104.0,0.0,5.0
82b987fffffffff,96.0,0.0,6.0
82b98ffffffffff,16.0,0.0,0.0
82b997fffffffff,29.0,0.0,4.0
82b99ffffffffff,44.0,0.0,0.0
82b9a7fffffffff,62.0,0.0,4.0
82b9affffffffff,42.0,0.0,2.0
82b9b7fffffffff,55.0,0.0,2.0
82ba27fffffffff,158.0,0.0,0.0
82bb0ffffffffff,2708.0,0.0,0.0
82bb2ffffffffff,5592.0,0.0,0.0
82bb37fffffffff,202.0,0.0,0.0
82bb57fffffffff,5347.0,0.0,12.0
82bb5ffffffffff,244.0,0.0,0.0
82bb77fffffffff,687.0,0.0,0.0
82be0ffffffffff,17101.0,0.0,2722.0
82be1ffffffffff,3443.0,0.0,495.0
82be2ffffffffff,493.0,0.0,61.0
82be47fffffffff,2875.0,0.0,970.0
82be4ffffffffff,1619.0,0.0,260.0
82be57fffffffff,928.0,0.0,100.0
82be5ffffffffff,103.0,0.0,26.0
82be67fffffffff,12888.0,0.0,3758.0
82be6ffffffffff,2452.0,0.0,645.0
82be77fffffffff,6357.0,0.0,1146.0
82be8ffffffffff,17901.0,0.0,2238.0
82beaffffffffff,3494.0,0.0,1269.0
82bec7fffffffff,101.0,0.0,2.0
82becffffffffff,383.0,1.0,13.0
82bed7fffffffff,117.0,0.0,15.0
82bedffffffffff,62.0,3.0,8.0
82bee7fffffffff,520.0,0.0,68.0
82beeffffffffff,117.0,0.0,24.0
82bef7fffffffff,3654.0,0.0,353.0
82bf4ffffffffff,8299.0,0.0,2941.0
82bf5ffffffffff,50.0,0.0,22.0
82bf6ffffffffff,679.0,0.0,202.0
82bf8ffffffffff,87.0,0.0,0.0
82c9b7fffffffff,6.0,0.0,0.0
82d44ffffffffff,31.0,0.0,0.0
82d46ffffffffff,3.0,0.0,0.0
82d897fffffffff,421.0,0.0,192.0
82d8b7fffffffff,2.0,0.0,0.0
82da1ffffffffff,14.0,0.0,0.0
82da87fffffffff,4212.0,0.0,10.0
82da8ffffffffff,181.0,0.0,1.0
82da97fffffffff,3010.0,0.0,0.0
82daaffffffffff,714.0,0.0,23.0
82dab7fffffffff,467.0,0.0,0.0
