cell_id,Pterocles exustus,Pterocles exustus [exustus Group],Pterocles exustus erlangeri,Pterocles exustus hindustan
822c97fffffffff,87.0,0.0,0.0,0.0
823caffffffffff,2.0,0.0,0.0,0.0
823d37fffffffff,5.0,0.0,0.0,0.0
823d87fffffffff,6.0,0.0,0.0,2.0
823d8ffffffffff,2.0,0.0,0.0,0.0
823da7fffffffff,6.0,0.0,0.0,0.0
823db7fffffffff,29.0,0.0,0.0,0.0
823e77fffffffff,2.0,2.0,0.0,0.0
824237fffffffff,7.0,0.0,0.0,0.0
824257fffffffff,63.0,0.0,0.0,5.0
82425ffffffffff,8.0,0.0,0.0,2.0
8242c7fffffffff,14.0,0.0,0.0,9.0
8242cffffffffff,4.0,0.0,0.0,1.0
8242dffffffffff,5.0,0.0,0.0,0.0
8242effffffffff,4.0,0.0,0.0,0.0
824317fffffffff,2.0,0.0,0.0,0.0
8243a7fffffffff,3.0,0.0,0.0,0.0
8243affffffffff,2.0,0.0,1.0,0.0
82528ffffffffff,2.0,0.0,0.0,0.0
82536ffffffffff,2.0,0.0,2.0,0.0
8254affffffffff,4.0,0.0,0.0,0.0
825d17fffffffff,38.0,0.0,0.0,0.0
826017fffffffff,118.0,0.0,0.0,0.0
826027fffffffff,2.0,0.0,0.0,0.0
826037fffffffff,255.0,0.0,0.0,0.0
826087fffffffff,44.0,0.0,0.0,0.0
82608ffffffffff,17.0,0.0,0.0,0.0
8260a7fffffffff,177.0,0.0,0.0,0.0
8260affffffffff,57.0,0.0,0.0,0.0
8260b7fffffffff,11.0,0.0,0.0,0.0
82611ffffffffff,108.0,0.0,0.0,4.0
82618ffffffffff,122.0,0.0,0.0,0.0
8261affffffffff,2.0,0.0,0.0,0.0
827a47fffffffff,9.0,3.0,0.0,0.0
827a67fffffffff,3.0,1.0,0.0,0.0
827adffffffffff,5.0,2.0,0.0,0.0
