cell_id,Celeus torquatus,Celeus torquatus torquatus,Celeus torquatus occidentalis,Celeus torquatus tinnunculus
835f01fffffffff,1.0,1.0,0.0,0.0
835f4afffffffff,2.0,0.0,0.0,0.0
836641fffffffff,7.0,0.0,0.0,0.0
83665afffffffff,4.0,0.0,0.0,0.0
83665bfffffffff,3.0,0.0,0.0,0.0
8366c5fffffffff,10.0,0.0,0.0,0.0
8366e8fffffffff,1.0,0.0,0.0,0.0
838a80fffffffff,1.0,0.0,1.0,0.0
838b5cfffffffff,2.0,0.0,2.0,0.0
838f40fffffffff,3.0,0.0,0.0,0.0
838f48fffffffff,2.0,0.0,0.0,0.0
838f4cfffffffff,2.0,0.0,0.0,0.0
83a596fffffffff,42.0,0.0,0.0,42.0
83a891fffffffff,98.0,0.0,0.0,43.0
