cell_id,Muscicapa dauurica,Muscicapa dauurica dauurica,Muscicapa dauurica poonensis/siamensis
820ca7fffffffff,12.0,0.0,0.0
82240ffffffffff,2.0,0.0,0.0
822457fffffffff,7.0,0.0,0.0
82248ffffffffff,2.0,0.0,0.0
8224d7fffffffff,1.0,0.0,0.0
82255ffffffffff,1.0,1.0,0.0
822e67fffffffff,3.0,0.0,0.0
823017fffffffff,2.0,0.0,0.0
82309ffffffffff,49.0,2.0,0.0
8230e7fffffffff,2.0,0.0,0.0
823c07fffffffff,2.0,0.0,0.0
823c1ffffffffff,19.0,0.0,0.0
823c37fffffffff,3.0,0.0,0.0
823c87fffffffff,2.0,0.0,0.0
823c8ffffffffff,13.0,0.0,0.0
823c97fffffffff,65.0,0.0,0.0
823c9ffffffffff,2.0,0.0,0.0
823ca7fffffffff,1.0,0.0,0.0
823caffffffffff,7.0,0.0,0.0
823cb7fffffffff,12.0,0.0,0.0
823cc7fffffffff,5.0,0.0,0.0
823cdffffffffff,6.0,0.0,0.0
823ce7fffffffff,15.0,0.0,0.0
823ceffffffffff,5.0,0.0,0.0
823cf7fffffffff,34.0,0.0,0.0
823d17fffffffff,7.0,0.0,0.0
823d87fffffffff,3.0,0.0,0.0
823d8ffffffffff,12.0,0.0,0.0
823d97fffffffff,9.0,0.0,0.0
823d9ffffffffff,7.0,0.0,0.0
823da7fffffffff,137.0,2.0,0.0
823daffffffffff,21.0,0.0,0.0
823db7fffffffff,1.0,0.0,0.0
8241a7fffffffff,2.0,0.0,0.0
8241b7fffffffff,6.0,0.0,0.0
82426ffffffffff,3.0,0.0,0.0
8242c7fffffffff,121.0,0.0,0.0
8242cffffffffff,26.0,0.0,0.0
8242dffffffffff,22.0,0.0,0.0
824b67fffffffff,1.0,0.0,0.0
824ba7fffffffff,16.0,0.0,0.0
824bb7fffffffff,6.0,0.0,0.0
826007fffffffff,23.0,0.0,0.0
82600ffffffffff,1.0,0.0,0.0
826017fffffffff,105.0,0.0,0.0
82601ffffffffff,5.0,0.0,0.0
826027fffffffff,44.0,0.0,0.0
826037fffffffff,124.0,0.0,0.0
826087fffffffff,4.0,0.0,0.0
82608ffffffffff,11.0,0.0,0.0
826097fffffffff,3.0,0.0,0.0
8260a7fffffffff,330.0,0.0,0.0
8260affffffffff,13.0,0.0,0.0
8260b7fffffffff,206.0,0.0,0.0
82618ffffffffff,23.0,0.0,0.0
82619ffffffffff,2.0,0.0,0.0
826417fffffffff,5.0,0.0,0.0
82648ffffffffff,1.0,0.0,0.0
8264b7fffffffff,1.0,0.0,0.0
826507fffffffff,264.0,0.0,0.0
82650ffffffffff,2.0,0.0,0.0
82651ffffffffff,236.0,0.0,0.0
826527fffffffff,132.0,0.0,0.0
826587fffffffff,6.0,0.0,0.0
82658ffffffffff,12.0,0.0,0.0
82659ffffffffff,2.0,0.0,0.0
8265b7fffffffff,3.0,0.0,0.0
826807fffffffff,1.0,0.0,0.0
82680ffffffffff,3.0,0.0,0.0
82681ffffffffff,1.0,0.0,0.0
82682ffffffffff,22.0,0.0,0.0
826847fffffffff,2.0,0.0,0.0
826857fffffffff,2.0,2.0,0.0
82685ffffffffff,1.0,0.0,0.0
82694ffffffffff,23.0,0.0,0.0
8273b7fffffffff,1.0,0.0,0.0
828c47fffffffff,5.0,0.0,0.0
828c6ffffffffff,8.0,0.0,0.0
829417fffffffff,7.0,0.0,0.0
