cell_id,Cacomantis flabelliformis,Cacomantis flabelliformis [flabelliformis Group],Cacomantis flabelliformis pyrrophanus,Cacomantis flabelliformis schistaceigularis,Cacomantis flabelliformis simus
837289fffffffff,5.0,0.0,0.0,0.0,0.0
83728bfffffffff,39.0,0.0,0.0,0.0,0.0
8372a2fffffffff,13.0,0.0,0.0,0.0,0.0
8372d2fffffffff,5.0,0.0,0.0,0.0,0.0
8372d3fffffffff,10.0,0.0,0.0,0.0,0.0
8372d9fffffffff,5.0,0.0,0.0,0.0,0.0
8372dafffffffff,152.0,0.0,0.0,0.0,0.0
8372dbfffffffff,45.0,0.0,0.0,0.0,0.0
8372f2fffffffff,2.0,0.0,0.0,0.0,0.0
839b41fffffffff,2.0,0.0,0.0,0.0,0.0
839b4efffffffff,1.0,0.0,0.0,0.0,0.0
839b5dfffffffff,1.0,0.0,0.0,0.0,0.0
839b6afffffffff,20.0,0.0,0.0,0.0,0.0
839b6bfffffffff,2.0,0.0,0.0,0.0,0.0
839c00fffffffff,1.0,0.0,0.0,0.0,0.0
839c01fffffffff,2.0,0.0,0.0,0.0,0.0
839c05fffffffff,12.0,0.0,0.0,0.0,0.0
839c0efffffffff,4.0,0.0,0.0,0.0,0.0
839c20fffffffff,11.0,0.0,0.0,0.0,0.0
839c21fffffffff,102.0,0.0,0.0,0.0,0.0
839c23fffffffff,399.0,0.0,0.0,0.0,0.0
839c25fffffffff,42.0,0.0,0.0,0.0,0.0
839c85fffffffff,1.0,0.0,0.0,0.0,0.0
839c8afffffffff,2.0,0.0,0.0,0.0,0.0
839c8bfffffffff,5.0,0.0,0.0,0.0,0.0
839c9dfffffffff,86.0,0.0,0.0,0.0,0.0
839ca6fffffffff,2.0,0.0,0.0,0.0,0.0
839caafffffffff,1.0,0.0,0.0,0.0,0.0
839cc2fffffffff,1.0,0.0,0.0,0.0,0.0
839cd2fffffffff,24.0,0.0,0.0,0.0,0.0
839cf5fffffffff,5.0,0.0,0.0,0.0,0.0
839d01fffffffff,42.0,0.0,0.0,0.0,0.0
839d0bfffffffff,34.0,0.0,0.0,0.0,0.0
839d0cfffffffff,77.0,0.0,0.0,0.0,0.0
839d0efffffffff,7.0,0.0,0.0,0.0,0.0
839d21fffffffff,81.0,0.0,0.0,0.0,0.0
839d23fffffffff,4.0,0.0,0.0,0.0,0.0
839d25fffffffff,60.0,0.0,0.0,0.0,0.0
839d28fffffffff,2.0,0.0,0.0,0.0,0.0
839d2afffffffff,20.0,0.0,0.0,0.0,0.0
839d2cfffffffff,12.0,0.0,0.0,0.0,0.0
839d2dfffffffff,2.0,0.0,0.0,0.0,0.0
839d56fffffffff,4.0,0.0,0.0,0.0,0.0
839d60fffffffff,2.0,0.0,0.0,0.0,0.0
839f50fffffffff,10.0,0.0,0.0,0.0,0.0
839f51fffffffff,10.0,0.0,0.0,0.0,0.0
839f52fffffffff,6.0,0.0,0.0,0.0,0.0
839f55fffffffff,3.0,0.0,0.0,0.0,0.0
83a700fffffffff,9.0,0.0,0.0,0.0,0.0
83a702fffffffff,2.0,0.0,0.0,0.0,0.0
83a703fffffffff,2.0,0.0,0.0,0.0,0.0
83a704fffffffff,9.0,0.0,0.0,0.0,0.0
83a71dfffffffff,8.0,0.0,0.0,0.0,0.0
83a722fffffffff,4.0,0.0,0.0,0.0,0.0
83a726fffffffff,183.0,0.0,0.0,0.0,0.0
83a730fffffffff,5.0,0.0,0.0,0.0,0.0
83a734fffffffff,2.0,0.0,0.0,0.0,0.0
83a735fffffffff,17.0,0.0,0.0,0.0,0.0
83b829fffffffff,5.0,0.0,0.0,0.0,0.0
83b845fffffffff,2.0,0.0,0.0,0.0,0.0
83b860fffffffff,1.0,0.0,0.0,0.0,0.0
83b863fffffffff,2.0,0.0,0.0,0.0,0.0
83b864fffffffff,5.0,0.0,0.0,0.0,0.0
83b865fffffffff,11.0,0.0,0.0,0.0,0.0
83b86dfffffffff,2.0,0.0,0.0,0.0,0.0
83b911fffffffff,28.0,0.0,0.0,0.0,0.0
83b912fffffffff,3.0,0.0,0.0,0.0,0.0
83b913fffffffff,2.0,0.0,0.0,0.0,0.0
83b914fffffffff,21.0,0.0,0.0,0.0,0.0
83b915fffffffff,24.0,0.0,0.0,0.0,0.0
83b916fffffffff,46.0,0.0,0.0,0.0,0.0
83b936fffffffff,5.0,0.0,0.0,0.0,0.0
83b959fffffffff,3.0,0.0,0.0,0.0,0.0
83b9a1fffffffff,4.0,0.0,0.0,0.0,0.0
83b9a3fffffffff,8.0,0.0,0.0,0.0,0.0
83b9a4fffffffff,5.0,0.0,0.0,0.0,0.0
83b9a5fffffffff,2.0,0.0,0.0,0.0,0.0
83b9acfffffffff,10.0,0.0,0.0,0.0,0.0
83b9b5fffffffff,1.0,0.0,0.0,0.0,0.0
83be08fffffffff,2385.0,0.0,0.0,0.0,0.0
