cell_id,Diomedea antipodensis,Diomedea antipodensis antipodensis,Diomedea antipodensis gibsoni
84b7803ffffffff,1.0,1.0,0.0
84ba009ffffffff,7.0,0.0,7.0
84ba0a7ffffffff,2.0,0.0,2.0
84ba1c5ffffffff,8.0,0.0,8.0
84ba1cdffffffff,15.0,0.0,15.0
84ba1e3ffffffff,8.0,0.0,8.0
84ba1ebffffffff,20.0,0.0,20.0
84ba66bffffffff,1.0,1.0,0.0
84bb0a7ffffffff,4.0,0.0,4.0
84bb0adffffffff,10.0,10.0,0.0
84bb24bffffffff,1.0,1.0,0.0
84bb291ffffffff,17.0,16.0,1.0
84bb295ffffffff,21.0,1.0,20.0
84bb297ffffffff,2.0,2.0,0.0
84bb29dffffffff,1.0,0.0,1.0
84bb2dbffffffff,430.0,59.0,357.0
84bb34dffffffff,2.0,2.0,0.0
84bb365ffffffff,4.0,4.0,0.0
84bb36dffffffff,1.0,0.0,0.0
84bb537ffffffff,42.0,7.0,35.0
84bb53dffffffff,2.0,2.0,0.0
84bb583ffffffff,3.0,3.0,0.0
84bb585ffffffff,9.0,8.0,0.0
84bb587ffffffff,2.0,1.0,0.0
84bb591ffffffff,1.0,1.0,0.0
84bb5a9ffffffff,4.0,4.0,0.0
84bb5e1ffffffff,1.0,0.0,0.0
84be0c1ffffffff,38.0,6.0,32.0
84be0c3ffffffff,3.0,1.0,2.0
84be0c7ffffffff,10.0,3.0,7.0
84be0e1ffffffff,5.0,0.0,5.0
84be0e3ffffffff,109.0,1.0,107.0
84be0e5ffffffff,2.0,0.0,2.0
84be1a9ffffffff,11.0,0.0,11.0
84be1d9ffffffff,5.0,1.0,4.0
84be293ffffffff,38.0,2.0,36.0
84be297ffffffff,9.0,0.0,9.0
84be29bffffffff,11.0,0.0,11.0
84be2b7ffffffff,2.0,1.0,1.0
84be689ffffffff,136.0,38.0,95.0
84be68bffffffff,4.0,0.0,4.0
84be68dffffffff,2.0,0.0,2.0
84be691ffffffff,8.0,3.0,5.0
84be695ffffffff,61.0,27.0,34.0
84be69dffffffff,10.0,2.0,8.0
84be6c3ffffffff,1.0,0.0,1.0
84beab5ffffffff,2.0,0.0,2.0
84beab7ffffffff,38.0,0.0,38.0
84beae3ffffffff,4.0,0.0,4.0
84bf06dffffffff,1.0,0.0,1.0
84bf1e7ffffffff,1.0,0.0,0.0
84bf443ffffffff,1.0,0.0,0.0
84bf4c9ffffffff,998.0,142.0,854.0
84bf5b1ffffffff,2.0,0.0,2.0
84bf6bbffffffff,4.0,0.0,4.0
84bf8b9ffffffff,1.0,0.0,1.0
84c9845ffffffff,1.0,0.0,1.0
84c9b03ffffffff,4.0,0.0,4.0
84c9b0bffffffff,13.0,0.0,13.0
84d4691ffffffff,2.0,2.0,0.0
84d4697ffffffff,8.0,8.0,0.0
84d46b3ffffffff,1.0,1.0,0.0
84da00dffffffff,4.0,1.0,3.0
84da011ffffffff,4.0,0.0,4.0
84da013ffffffff,3.0,0.0,3.0
84da01dffffffff,9.0,0.0,9.0
84da061ffffffff,3.0,0.0,3.0
84da063ffffffff,1.0,0.0,1.0
84da087ffffffff,4.0,0.0,4.0
84da095ffffffff,4.0,0.0,4.0
84da0a1ffffffff,2.0,0.0,2.0
84da0abffffffff,3.0,0.0,3.0
84da0adffffffff,2.0,0.0,2.0
84da0b9ffffffff,5.0,0.0,5.0
84da0c1ffffffff,8.0,0.0,8.0
84da0c5ffffffff,4.0,2.0,2.0
84da181ffffffff,2.0,2.0,0.0
84da185ffffffff,2.0,0.0,2.0
84da189ffffffff,14.0,7.0,7.0
84da18dffffffff,2.0,2.0,0.0
84da1a1ffffffff,3.0,1.0,2.0
84da1a5ffffffff,1.0,0.0,1.0
84da1a7ffffffff,2.0,2.0,0.0
84da1abffffffff,2.0,2.0,0.0
84da1adffffffff,1.0,1.0,0.0
84da1c3ffffffff,9.0,9.0,0.0
84da1c7ffffffff,3.0,0.0,3.0
84da1d1ffffffff,2.0,0.0,0.0
84da1d3ffffffff,1.0,0.0,1.0
84da1d5ffffffff,6.0,1.0,5.0
84da1e3ffffffff,1.0,0.0,0.0
84da2ebffffffff,1.0,1.0,0.0
84da32dffffffff,4.0,4.0,0.0
84da363ffffffff,1.0,1.0,0.0
84da733ffffffff,3.0,0.0,3.0
84da737ffffffff,1.0,0.0,1.0
84da841ffffffff,1.0,1.0,0.0
84da84bffffffff,1.0,1.0,0.0
84da85bffffffff,2.0,2.0,0.0
84da8c3ffffffff,11.0,2.0,9.0
84da8c7ffffffff,37.0,22.0,13.0
84da8e3ffffffff,15.0,4.0,11.0
84da8ebffffffff,24.0,12.0,12.0
84da907ffffffff,2.0,2.0,0.0
84da9c9ffffffff,4.0,4.0,0.0
84daa87ffffffff,2.0,2.0,0.0
84daa91ffffffff,4.0,4.0,0.0
84daa95ffffffff,12.0,8.0,4.0
84daa99ffffffff,1.0,1.0,0.0
84daa9bffffffff,8.0,8.0,0.0
84daaa9ffffffff,2.0,2.0,0.0
84daaabffffffff,6.0,5.0,0.0
84dab55ffffffff,3.0,3.0,0.0
84dab57ffffffff,1.0,0.0,1.0
84db801ffffffff,2.0,2.0,0.0
84db80bffffffff,14.0,14.0,0.0
84db81bffffffff,1.0,1.0,0.0
84db821ffffffff,4.0,4.0,0.0
84db825ffffffff,9.0,8.0,1.0
84db857ffffffff,57.0,56.0,0.0
84db8d7ffffffff,2.0,2.0,0.0
84db8dbffffffff,6.0,6.0,0.0
84db903ffffffff,2.0,2.0,0.0
84db909ffffffff,12.0,12.0,0.0
84db953ffffffff,6.0,6.0,0.0
84db957ffffffff,15.0,15.0,0.0
84db96bffffffff,2.0,2.0,0.0
84ea9c7ffffffff,2.0,2.0,0.0
