cell_id,Limnodromus griseus,Limnodromus griseus griseus,Limnodromus griseus hendersoni,Limnodromus griseus caurinus
82075ffffffffff,1.0,1.0,0.0,0.0
820c07fffffffff,2.0,0.0,0.0,0.0
820c47fffffffff,3.0,0.0,0.0,0.0
820c57fffffffff,26.0,0.0,0.0,0.0
820c5ffffffffff,6.0,0.0,0.0,0.0
820c67fffffffff,3.0,0.0,0.0,0.0
820c6ffffffffff,7.0,0.0,0.0,1.0
820c77fffffffff,52.0,0.0,0.0,17.0
820caffffffffff,1.0,0.0,0.0,0.0
820cdffffffffff,8.0,0.0,0.0,0.0
820ce7fffffffff,6.0,0.0,0.0,0.0
820ceffffffffff,37.0,0.0,0.0,0.0
820cf7fffffffff,1.0,0.0,0.0,0.0
820e4ffffffffff,8.0,0.0,0.0,0.0
820e6ffffffffff,5.0,0.0,0.0,0.0
820e87fffffffff,2.0,0.0,0.0,0.0
820e8ffffffffff,1.0,0.0,0.0,0.0
820ec7fffffffff,36.0,5.0,0.0,0.0
820ecffffffffff,12.0,0.0,0.0,0.0
820ee7fffffffff,3.0,0.0,0.0,0.0
820eeffffffffff,13.0,0.0,1.0,0.0
821257fffffffff,2.0,0.0,0.0,0.0
82128ffffffffff,10.0,0.0,0.0,0.0
8212affffffffff,5.0,0.0,0.0,0.0
8212b7fffffffff,3.0,0.0,0.0,0.0
8212c7fffffffff,2.0,0.0,0.0,2.0
8212cffffffffff,10.0,0.0,0.0,0.0
8212d7fffffffff,24.0,0.0,0.0,0.0
8212dffffffffff,2.0,0.0,0.0,0.0
8212effffffffff,16.0,0.0,0.0,0.0
8212f7fffffffff,1.0,0.0,0.0,0.0
821307fffffffff,2.0,0.0,2.0,0.0
821387fffffffff,212.0,0.0,0.0,0.0
82138ffffffffff,2.0,0.0,0.0,0.0
821397fffffffff,3.0,0.0,0.0,0.0
8213affffffffff,2.0,0.0,0.0,0.0
8213b7fffffffff,5.0,0.0,0.0,0.0
82182ffffffffff,2.0,0.0,0.0,0.0
821847fffffffff,4.0,0.0,0.0,0.0
82192ffffffffff,2.0,0.0,0.0,0.0
82194ffffffffff,2.0,0.0,0.0,0.0
821957fffffffff,6.0,0.0,0.0,0.0
821aa7fffffffff,42.0,10.0,0.0,0.0
821ab7fffffffff,8.0,0.0,0.0,0.0
821b9ffffffffff,7.0,0.0,0.0,0.0
8222dffffffffff,7.0,0.0,0.0,0.0
822607fffffffff,7.0,0.0,2.0,0.0
82260ffffffffff,38.0,0.0,2.0,0.0
82261ffffffffff,4.0,0.0,0.0,0.0
822627fffffffff,8.0,0.0,0.0,0.0
82262ffffffffff,15.0,0.0,0.0,0.0
822637fffffffff,2.0,0.0,0.0,0.0
822647fffffffff,16.0,0.0,0.0,0.0
82264ffffffffff,83.0,0.0,5.0,0.0
822657fffffffff,52.0,0.0,6.0,0.0
82265ffffffffff,61.0,0.0,0.0,0.0
822667fffffffff,151.0,0.0,16.0,0.0
82266ffffffffff,70.0,0.0,2.0,0.0
822677fffffffff,91.0,0.0,2.0,0.0
822687fffffffff,22.0,0.0,0.0,0.0
82268ffffffffff,75.0,0.0,4.0,0.0
822697fffffffff,33.0,0.0,0.0,0.0
82269ffffffffff,6.0,0.0,0.0,0.0
8226affffffffff,154.0,0.0,5.0,0.0
8226c7fffffffff,9.0,0.0,2.0,0.0
8226cffffffffff,108.0,0.0,0.0,0.0
8226d7fffffffff,2.0,0.0,0.0,0.0
8226dffffffffff,21.0,0.0,1.0,0.0
8226e7fffffffff,102.0,0.0,10.0,0.0
8226effffffffff,20.0,0.0,0.0,0.0
8226f7fffffffff,25.0,0.0,0.0,0.0
822707fffffffff,24.0,0.0,0.0,0.0
82270ffffffffff,2.0,0.0,0.0,0.0
822717fffffffff,34.0,0.0,0.0,0.0
82271ffffffffff,11.0,0.0,1.0,0.0
822747fffffffff,13.0,0.0,2.0,0.0
82274ffffffffff,29.0,0.0,0.0,0.0
822757fffffffff,10.0,0.0,4.0,0.0
82275ffffffffff,152.0,0.0,15.0,0.0
822767fffffffff,11.0,0.0,0.0,0.0
82276ffffffffff,14.0,0.0,1.0,0.0
822777fffffffff,2.0,0.0,0.0,0.0
822787fffffffff,4.0,0.0,0.0,0.0
82278ffffffffff,2.0,0.0,0.0,0.0
822797fffffffff,16.0,0.0,0.0,0.0
8227a7fffffffff,9.0,0.0,2.0,0.0
8227affffffffff,7.0,0.0,0.0,0.0
8227b7fffffffff,3.0,0.0,1.0,0.0
822807fffffffff,125.0,0.0,0.0,15.0
822817fffffffff,34.0,0.0,0.0,0.0
82281ffffffffff,32.0,0.0,0.0,0.0
822837fffffffff,579.0,0.0,0.0,74.0
822887fffffffff,17.0,0.0,0.0,0.0
82288ffffffffff,84.0,0.0,2.0,2.0
822897fffffffff,24.0,0.0,0.0,0.0
82289ffffffffff,5.0,0.0,0.0,0.0
8228a7fffffffff,5.0,0.0,0.0,0.0
8228affffffffff,40.0,0.0,2.0,1.0
8228b7fffffffff,12.0,0.0,0.0,0.0
8228c7fffffffff,40.0,0.0,3.0,12.0
8228d7fffffffff,203.0,0.0,2.0,10.0
8228dffffffffff,12.0,0.0,0.0,0.0
8228f7fffffffff,114.0,0.0,0.0,2.0
822917fffffffff,39.0,0.0,0.0,3.0
82291ffffffffff,10.0,0.0,0.0,6.0
822987fffffffff,11.0,0.0,0.0,0.0
82298ffffffffff,21.0,0.0,0.0,0.0
822997fffffffff,1.0,0.0,0.0,0.0
82299ffffffffff,3.0,0.0,0.0,0.0
8229a7fffffffff,449.0,0.0,0.0,14.0
8229affffffffff,74.0,0.0,0.0,21.0
8229b7fffffffff,74.0,0.0,4.0,1.0
822a07fffffffff,23.0,1.0,0.0,0.0
822a17fffffffff,604.0,24.0,73.0,0.0
822a1ffffffffff,3.0,0.0,0.0,0.0
822a37fffffffff,537.0,116.0,66.0,0.0
822a87fffffffff,141.0,1.0,5.0,0.0
822a8ffffffffff,225.0,0.0,1.0,0.0
822a97fffffffff,213.0,3.0,6.0,0.0
822a9ffffffffff,11.0,0.0,0.0,0.0
822aa7fffffffff,102.0,6.0,23.0,0.0
822aaffffffffff,904.0,43.0,85.0,0.0
822ab7fffffffff,540.0,5.0,33.0,0.0
822ac7fffffffff,9.0,0.0,0.0,0.0
822ad7fffffffff,129.0,0.0,0.0,0.0
822af7fffffffff,101.0,11.0,5.0,0.0
822b07fffffffff,22.0,0.0,0.0,0.0
822b0ffffffffff,124.0,4.0,0.0,0.0
822b17fffffffff,87.0,2.0,2.0,0.0
822b1ffffffffff,55.0,13.0,0.0,0.0
822b27fffffffff,102.0,3.0,0.0,0.0
822b2ffffffffff,11.0,0.0,0.0,0.0
822b37fffffffff,26.0,0.0,0.0,0.0
822b87fffffffff,131.0,0.0,1.0,0.0
822b8ffffffffff,93.0,0.0,2.0,0.0
822b97fffffffff,50.0,0.0,0.0,0.0
822b9ffffffffff,351.0,32.0,23.0,0.0
822ba7fffffffff,72.0,0.0,0.0,0.0
822baffffffffff,452.0,3.0,0.0,0.0
822bb7fffffffff,20.0,0.0,0.0,0.0
82351ffffffffff,5.0,0.0,0.0,0.0
8235affffffffff,3.0,0.0,0.0,0.0
823927fffffffff,15.0,0.0,0.0,0.0
82392ffffffffff,58.0,0.0,0.0,0.0
823947fffffffff,4.0,0.0,0.0,0.0
823957fffffffff,8.0,0.0,0.0,0.0
824417fffffffff,40.0,0.0,3.0,0.0
82441ffffffffff,65.0,0.0,10.0,0.0
824437fffffffff,1.0,0.0,0.0,0.0
824447fffffffff,143.0,1.0,4.0,0.0
82444ffffffffff,10.0,0.0,0.0,0.0
824457fffffffff,145.0,0.0,11.0,0.0
824467fffffffff,10.0,0.0,0.0,0.0
82446ffffffffff,56.0,0.0,2.0,0.0
824477fffffffff,54.0,0.0,0.0,0.0
824487fffffffff,17.0,0.0,0.0,0.0
8244a7fffffffff,9.0,0.0,0.0,0.0
8244affffffffff,62.0,0.0,3.0,0.0
8244b7fffffffff,6.0,0.0,0.0,0.0
8244c7fffffffff,68.0,0.0,1.0,0.0
8244cffffffffff,66.0,0.0,7.0,0.0
8244d7fffffffff,867.0,0.0,0.0,0.0
8244dffffffffff,64.0,0.0,2.0,0.0
8244e7fffffffff,180.0,0.0,0.0,0.0
8244f7fffffffff,364.0,4.0,8.0,0.0
824507fffffffff,48.0,0.0,0.0,0.0
82450ffffffffff,13.0,0.0,0.0,0.0
824527fffffffff,10.0,0.0,0.0,0.0
82452ffffffffff,10.0,0.0,0.0,0.0
824537fffffffff,3.0,0.0,0.0,0.0
824557fffffffff,6.0,0.0,0.0,0.0
824587fffffffff,6.0,0.0,0.0,0.0
82458ffffffffff,2.0,0.0,0.0,0.0
82459ffffffffff,2.0,2.0,0.0,0.0
8245a7fffffffff,55.0,0.0,0.0,0.0
8245b7fffffffff,3.0,0.0,0.0,0.0
82464ffffffffff,3.0,0.0,0.0,0.0
824807fffffffff,11.0,0.0,0.0,4.0
824817fffffffff,11.0,0.0,0.0,0.0
824827fffffffff,9.0,0.0,0.0,0.0
82482ffffffffff,3.0,0.0,0.0,3.0
824837fffffffff,19.0,0.0,0.0,13.0
82484ffffffffff,1.0,0.0,0.0,1.0
82485ffffffffff,83.0,0.0,0.0,15.0
824877fffffffff,11.0,0.0,0.0,2.0
824887fffffffff,2.0,0.0,0.0,0.0
82488ffffffffff,2.0,0.0,0.0,0.0
824897fffffffff,43.0,0.0,3.0,0.0
82489ffffffffff,50.0,0.0,0.0,0.0
8248b7fffffffff,104.0,0.0,0.0,0.0
8248c7fffffffff,10.0,0.0,0.0,0.0
8248cffffffffff,74.0,0.0,6.0,0.0
8248d7fffffffff,6.0,0.0,0.0,0.0
8248dffffffffff,33.0,0.0,0.0,0.0
8248effffffffff,231.0,0.0,2.0,0.0
824997fffffffff,13.0,0.0,0.0,0.0
8249affffffffff,1.0,0.0,0.0,0.0
8249b7fffffffff,1.0,0.0,0.0,0.0
824bb7fffffffff,3.0,0.0,0.0,0.0
824c87fffffffff,13.0,0.0,0.0,0.0
824c8ffffffffff,21.0,0.0,0.0,0.0
824c97fffffffff,8.0,0.0,0.0,0.0
824caffffffffff,27.0,0.0,0.0,0.0
824cc7fffffffff,123.0,0.0,0.0,0.0
824cd7fffffffff,9.0,0.0,0.0,0.0
824ceffffffffff,183.0,0.0,0.0,0.0
824cf7fffffffff,2.0,0.0,0.0,0.0
824d4ffffffffff,1.0,0.0,0.0,0.0
825e47fffffffff,4.0,0.0,0.0,0.0
825e4ffffffffff,3.0,0.0,0.0,0.0
825e5ffffffffff,5.0,5.0,0.0,0.0
825e67fffffffff,31.0,0.0,0.0,0.0
825e77fffffffff,11.0,0.0,0.0,0.0
825f4ffffffffff,12.0,0.0,2.0,0.0
825f5ffffffffff,3.0,0.0,0.0,0.0
826627fffffffff,9.0,6.0,0.0,0.0
826637fffffffff,1.0,0.0,0.0,0.0
8266a7fffffffff,1.0,0.0,0.0,0.0
8266b7fffffffff,26.0,0.0,0.0,0.0
8266d7fffffffff,5.0,0.0,0.0,0.0
8266f7fffffffff,8.0,0.0,0.0,0.0
826727fffffffff,6.0,0.0,0.0,0.0
826737fffffffff,11.0,0.0,0.0,0.0
826747fffffffff,124.0,0.0,0.0,0.0
82674ffffffffff,1.0,0.0,0.0,0.0
826757fffffffff,95.0,0.0,3.0,0.0
82676ffffffffff,9.0,0.0,0.0,0.0
826777fffffffff,15.0,0.0,0.0,0.0
826c5ffffffffff,7.0,0.0,0.0,0.0
826c67fffffffff,16.0,0.0,0.0,0.0
826d07fffffffff,21.0,0.0,0.0,0.0
826d2ffffffffff,97.0,0.0,0.0,0.0
826d37fffffffff,14.0,0.0,0.0,0.0
826d67fffffffff,98.0,0.0,2.0,0.0
826d6ffffffffff,17.0,0.0,0.0,0.0
826d77fffffffff,36.0,0.0,0.0,0.0
828057fffffffff,4.0,0.0,0.0,0.0
82818ffffffffff,2.0,2.0,0.0,0.0
828e47fffffffff,12.0,0.0,0.0,0.0
828e67fffffffff,42.0,0.0,0.0,0.0
828f57fffffffff,5.0,0.0,0.0,0.0
828fa7fffffffff,1.0,0.0,0.0,1.0
82a837fffffffff,1.0,0.0,0.0,0.0
82a8a7fffffffff,1.0,0.0,0.0,0.0
82a907fffffffff,6.0,2.0,0.0,0.0
82b2c7fffffffff,4.0,0.0,0.0,0.0
82b2e7fffffffff,8.0,0.0,0.0,0.0
82b307fffffffff,26.0,0.0,0.0,0.0
82c21ffffffffff,27.0,0.0,0.0,0.0
82c2f7fffffffff,4.0,0.0,0.0,0.0
