cell_id,Tangara gyrola,Tangara gyrola [albertinae Group],Tangara gyrola viridissima/toddi,Tangara gyrola gyrola
836623fffffffff,59.0,0.0,23.0,0.0
836629fffffffff,76.0,0.0,0.0,0.0
83662afffffffff,3.0,0.0,0.0,0.0
83662bfffffffff,67.0,0.0,0.0,0.0
83662dfffffffff,105.0,0.0,0.0,0.0
83662efffffffff,34.0,0.0,0.0,0.0
836641fffffffff,3.0,0.0,0.0,0.0
836656fffffffff,88.0,0.0,0.0,0.0
83665afffffffff,101.0,1.0,0.0,0.0
83665bfffffffff,27.0,3.0,0.0,0.0
8366a0fffffffff,2247.0,95.0,0.0,0.0
8366a1fffffffff,2.0,0.0,0.0,0.0
8366a2fffffffff,5.0,0.0,0.0,0.0
8366a3fffffffff,64.0,10.0,0.0,0.0
8366a5fffffffff,2816.0,181.0,0.0,0.0
8366a9fffffffff,2.0,0.0,0.0,0.0
8366b0fffffffff,813.0,0.0,0.0,0.0
8366b1fffffffff,16.0,3.0,0.0,0.0
8366b4fffffffff,7241.0,0.0,0.0,0.0
8366b5fffffffff,4280.0,47.0,0.0,0.0
8366c0fffffffff,368.0,0.0,0.0,0.0
8366c2fffffffff,262.0,0.0,0.0,0.0
8366c3fffffffff,4.0,0.0,0.0,0.0
8366c4fffffffff,814.0,0.0,0.0,0.0
8366c6fffffffff,1656.0,37.0,0.0,0.0
8366c9fffffffff,2.0,0.0,0.0,0.0
8366cefffffffff,4.0,0.0,0.0,0.0
8366d0fffffffff,230.0,14.0,0.0,0.0
8366d1fffffffff,503.0,0.0,0.0,0.0
8366d2fffffffff,168.0,10.0,0.0,0.0
8366d3fffffffff,4488.0,486.0,0.0,0.0
8366d5fffffffff,79.0,0.0,0.0,0.0
8366d8fffffffff,14.0,0.0,0.0,0.0
8366dafffffffff,280.0,38.0,0.0,0.0
8366dbfffffffff,2.0,0.0,0.0,0.0
8366dcfffffffff,44.0,2.0,0.0,0.0
8366ddfffffffff,7.0,2.0,0.0,0.0
8366defffffffff,1517.0,205.0,0.0,0.0
8366e0fffffffff,1235.0,31.0,0.0,0.0
8366e2fffffffff,184.0,0.0,0.0,0.0
8366e3fffffffff,43.0,0.0,0.0,0.0
8366e4fffffffff,1499.0,52.0,0.0,0.0
8366e5fffffffff,837.0,0.0,0.0,0.0
8366e6fffffffff,9977.0,252.0,0.0,0.0
8366e9fffffffff,2.0,2.0,0.0,0.0
8366eafffffffff,4.0,0.0,0.0,0.0
8366f0fffffffff,162.0,0.0,0.0,0.0
8366f1fffffffff,2332.0,42.0,0.0,0.0
8366f3fffffffff,19.0,0.0,0.0,0.0
8366f5fffffffff,1997.0,29.0,0.0,0.0
836741fffffffff,663.0,0.0,25.0,0.0
836742fffffffff,88.0,0.0,0.0,0.0
836743fffffffff,638.0,0.0,12.0,0.0
83674cfffffffff,401.0,0.0,2.0,0.0
83674efffffffff,336.0,0.0,5.0,0.0
836751fffffffff,204.0,0.0,0.0,0.0
836753fffffffff,1.0,0.0,0.0,0.0
836758fffffffff,6.0,0.0,0.0,0.0
83675afffffffff,102.0,0.0,4.0,0.0
83675cfffffffff,124.0,0.0,0.0,0.0
83675dfffffffff,6.0,0.0,0.0,0.0
83675efffffffff,99.0,0.0,0.0,0.0
836796fffffffff,3.0,0.0,0.0,0.0
83679afffffffff,661.0,0.0,0.0,0.0
83679bfffffffff,39.0,0.0,0.0,0.0
836d65fffffffff,35.0,0.0,0.0,0.0
836d68fffffffff,161.0,0.0,0.0,0.0
836d69fffffffff,8332.0,0.0,0.0,0.0
836d6dfffffffff,22.0,0.0,0.0,0.0
838044fffffffff,5.0,0.0,0.0,0.0
838046fffffffff,5.0,0.0,0.0,0.0
838061fffffffff,2.0,0.0,0.0,0.0
838065fffffffff,11.0,0.0,0.0,0.0
838066fffffffff,3.0,0.0,0.0,0.0
838071fffffffff,4.0,0.0,0.0,0.0
838072fffffffff,2.0,0.0,0.0,0.0
838075fffffffff,5.0,0.0,0.0,0.0
83814afffffffff,18.0,0.0,0.0,0.0
83814dfffffffff,30.0,0.0,0.0,0.0
83814efffffffff,6.0,0.0,0.0,0.0
838a04fffffffff,4.0,0.0,0.0,0.0
838a21fffffffff,2.0,0.0,0.0,0.0
838a23fffffffff,2.0,0.0,0.0,0.0
838a24fffffffff,3.0,0.0,0.0,0.0
838a31fffffffff,11.0,0.0,0.0,0.0
838a45fffffffff,2.0,0.0,0.0,0.0
838a4bfffffffff,2.0,0.0,0.0,0.0
838a69fffffffff,6.0,0.0,0.0,0.0
838a6dfffffffff,9.0,0.0,0.0,0.0
838a92fffffffff,11.0,0.0,0.0,0.0
838b0bfffffffff,2.0,0.0,0.0,0.0
838b0cfffffffff,1.0,0.0,0.0,0.0
838b21fffffffff,19.0,0.0,0.0,0.0
838b22fffffffff,18.0,0.0,0.0,0.0
838b23fffffffff,5.0,0.0,0.0,0.0
838b2cfffffffff,19.0,0.0,0.0,0.0
838b2dfffffffff,1.0,0.0,0.0,0.0
838b2efffffffff,5.0,0.0,0.0,0.0
838b5cfffffffff,2.0,0.0,0.0,0.0
838b61fffffffff,517.0,7.0,0.0,0.0
838b63fffffffff,59.0,0.0,0.0,0.0
838b68fffffffff,2.0,0.0,0.0,0.0
838b69fffffffff,14.0,0.0,0.0,0.0
838b6cfffffffff,97.0,0.0,0.0,0.0
838b6dfffffffff,2.0,0.0,0.0,0.0
838b6efffffffff,13.0,0.0,0.0,0.0
838b71fffffffff,7.0,0.0,0.0,0.0
838b74fffffffff,106.0,0.0,0.0,0.0
838b75fffffffff,30.0,0.0,0.0,0.0
838b83fffffffff,1.0,0.0,0.0,0.0
838b84fffffffff,10.0,0.0,0.0,0.0
838b88fffffffff,2.0,0.0,0.0,0.0
838b96fffffffff,6.0,0.0,0.0,0.0
838b98fffffffff,3.0,0.0,0.0,0.0
838b99fffffffff,42.0,0.0,0.0,0.0
838b9dfffffffff,285.0,0.0,0.0,0.0
838bb5fffffffff,1.0,0.0,0.0,0.0
838e64fffffffff,70.0,0.0,0.0,0.0
838e65fffffffff,9.0,0.0,0.0,0.0
838e6cfffffffff,5.0,0.0,0.0,0.0
838f0dfffffffff,1000.0,125.0,0.0,0.0
838f28fffffffff,2.0,0.0,0.0,0.0
838f29fffffffff,174.0,7.0,0.0,0.0
838f2afffffffff,19.0,0.0,0.0,0.0
838f2bfffffffff,122.0,11.0,0.0,0.0
838f2cfffffffff,215.0,0.0,0.0,0.0
838f2dfffffffff,5.0,0.0,0.0,0.0
838f2efffffffff,7.0,0.0,0.0,0.0
838f40fffffffff,342.0,24.0,0.0,0.0
838f42fffffffff,10.0,0.0,0.0,0.0
838f43fffffffff,140.0,3.0,0.0,0.0
838f46fffffffff,498.0,28.0,0.0,0.0
838f48fffffffff,2.0,0.0,0.0,0.0
838f4afffffffff,45.0,0.0,0.0,0.0
838f4bfffffffff,14.0,0.0,0.0,0.0
838f55fffffffff,4.0,0.0,0.0,0.0
838f5dfffffffff,16.0,0.0,0.0,0.0
838f70fffffffff,61.0,6.0,0.0,0.0
838f72fffffffff,944.0,132.0,0.0,0.0
838f73fffffffff,30.0,0.0,0.0,0.0
838f74fffffffff,81.0,5.0,0.0,0.0
838f76fffffffff,196.0,5.0,0.0,0.0
83a8c9fffffffff,1.0,0.0,0.0,0.0
83b324fffffffff,17.0,0.0,0.0,0.0
83b325fffffffff,2.0,0.0,0.0,0.0
