cell_id,Buteo augur,Buteo augur augur,Buteo augur archeri
845280dffffffff,2.0,2.0,0.0
8452893ffffffff,2.0,2.0,0.0
84529bbffffffff,1.0,1.0,0.0
8452d45ffffffff,3.0,0.0,3.0
8452d6bffffffff,2.0,2.0,0.0
846a5abffffffff,2.0,2.0,0.0
846ada9ffffffff,2.0,0.0,0.0
847a40bffffffff,1.0,1.0,0.0
847a4ddffffffff,3.0,3.0,0.0
847a5c1ffffffff,2.0,2.0,0.0
847a5c5ffffffff,2.0,2.0,0.0
847a603ffffffff,1.0,1.0,0.0
847a6adffffffff,2.0,2.0,0.0
847a6b5ffffffff,1.0,1.0,0.0
847a6b7ffffffff,4.0,4.0,0.0
847acc5ffffffff,3.0,3.0,0.0
847b597ffffffff,4.0,4.0,0.0
849702bffffffff,9.0,9.0,0.0
849703dffffffff,6.0,6.0,0.0
84978c1ffffffff,2.0,2.0,0.0
84ac96dffffffff,1.0,1.0,0.0
84acb3bffffffff,2.0,2.0,0.0
