cell_id,Eudynamys orientalis,Eudynamys orientalis [orientalis Group],Eudynamys orientalis cyanocephalus/subcyanocephalus
82728ffffffffff,9.0,6.0,0.0
827297fffffffff,5.0,0.0,0.0
82729ffffffffff,1.0,1.0,0.0
8272a7fffffffff,116.0,25.0,0.0
8272d7fffffffff,44.0,2.0,2.0
8272dffffffffff,37.0,0.0,0.0
8272f7fffffffff,21.0,5.0,0.0
82739ffffffffff,35.0,2.0,0.0
82769ffffffffff,8.0,0.0,0.0
82779ffffffffff,1.0,1.0,0.0
829407fffffffff,2.0,0.0,0.0
829417fffffffff,2.0,0.0,2.0
82941ffffffffff,20.0,0.0,2.0
829427fffffffff,20.0,0.0,0.0
82942ffffffffff,33.0,10.0,0.0
829457fffffffff,616.0,0.0,108.0
82945ffffffffff,262.0,0.0,78.0
829467fffffffff,16.0,0.0,0.0
82948ffffffffff,4.0,0.0,0.0
8294c7fffffffff,1.0,0.0,0.0
8294cffffffffff,1.0,0.0,0.0
8294d7fffffffff,4.0,0.0,2.0
8294e7fffffffff,64.0,0.0,4.0
8294effffffffff,249.0,0.0,106.0
8294f7fffffffff,11.0,0.0,2.0
829547fffffffff,26.0,4.0,0.0
829557fffffffff,32.0,3.0,0.0
82955ffffffffff,7.0,0.0,0.0
82956ffffffffff,111.0,9.0,0.0
8295affffffffff,22.0,0.0,0.0
829c07fffffffff,492.0,0.0,213.0
829c0ffffffffff,70.0,0.0,38.0
829c1ffffffffff,80.0,0.0,25.0
829c27fffffffff,991.0,0.0,367.0
829c2ffffffffff,50.0,0.0,12.0
829c47fffffffff,7.0,0.0,5.0
829c4ffffffffff,29.0,0.0,10.0
829c5ffffffffff,15.0,0.0,1.0
829c67fffffffff,7.0,0.0,5.0
829c77fffffffff,2.0,0.0,0.0
829c87fffffffff,2.0,0.0,0.0
829c8ffffffffff,6.0,4.0,0.0
829c97fffffffff,53.0,9.0,0.0
829c9ffffffffff,7.0,6.0,0.0
829caffffffffff,11.0,0.0,0.0
829cc7fffffffff,6.0,6.0,0.0
829cd7fffffffff,247.0,19.0,7.0
829ce7fffffffff,23.0,0.0,4.0
829ceffffffffff,12.0,0.0,2.0
829cf7fffffffff,15.0,0.0,2.0
829d07fffffffff,120.0,0.0,32.0
829d0ffffffffff,403.0,0.0,71.0
829d27fffffffff,414.0,0.0,83.0
829d2ffffffffff,52.0,0.0,19.0
829d47fffffffff,5.0,0.0,0.0
829d4ffffffffff,47.0,0.0,11.0
829d57fffffffff,4.0,0.0,2.0
829ed7fffffffff,5.0,2.0,0.0
829edffffffffff,2.0,1.0,0.0
82be0ffffffffff,5350.0,0.0,1396.0
82be1ffffffffff,954.0,0.0,206.0
82be2ffffffffff,170.0,0.0,14.0
82be47fffffffff,14.0,0.0,11.0
82be57fffffffff,2.0,0.0,0.0
82be67fffffffff,166.0,0.0,59.0
82be77fffffffff,1471.0,0.0,326.0
82be8ffffffffff,4530.0,0.0,869.0
82beaffffffffff,568.0,0.0,164.0
82bec7fffffffff,11.0,0.0,2.0
82bed7fffffffff,40.0,0.0,13.0
82bedffffffffff,21.0,0.0,7.0
82bee7fffffffff,93.0,0.0,26.0
82bef7fffffffff,721.0,0.0,107.0
