cell_id,Nystalus striolatus,Nystalus striolatus striolatus,Nystalus striolatus torridus
8480625ffffffff,2.0,0.0,2.0
8480665ffffffff,1.0,0.0,0.0
8480709ffffffff,1.0,0.0,1.0
8480713ffffffff,2.0,0.0,2.0
8480723ffffffff,4.0,0.0,2.0
8480755ffffffff,1.0,0.0,1.0
8480759ffffffff,1.0,0.0,1.0
848075bffffffff,2.0,0.0,2.0
8481415ffffffff,1.0,0.0,1.0
8481431ffffffff,2.0,0.0,1.0
8481439ffffffff,1.0,0.0,0.0
848146bffffffff,4.0,0.0,1.0
84814a1ffffffff,4.0,0.0,4.0
84814a9ffffffff,25.0,0.0,19.0
84814adffffffff,29.0,0.0,14.0
84814d5ffffffff,36.0,0.0,27.0
84814d9ffffffff,3.0,0.0,3.0
84814e3ffffffff,15.0,0.0,12.0
84814e5ffffffff,2.0,0.0,0.0
84814e7ffffffff,29.0,0.0,21.0
84814ebffffffff,10.0,0.0,5.0
8481583ffffffff,2.0,0.0,2.0
84815d3ffffffff,5.0,0.0,5.0
84815d7ffffffff,2.0,0.0,2.0
84815d9ffffffff,7.0,0.0,7.0
84815dbffffffff,2.0,0.0,1.0
848a049ffffffff,2.0,2.0,0.0
848a059ffffffff,3.0,3.0,0.0
848a069ffffffff,2.0,0.0,0.0
848a157ffffffff,1.0,0.0,0.0
848a233ffffffff,7.0,4.0,0.0
848a313ffffffff,1.0,0.0,0.0
848a359ffffffff,3.0,0.0,0.0
848a809ffffffff,1.0,0.0,0.0
848ab21ffffffff,1.0,0.0,1.0
848ab65ffffffff,3.0,0.0,3.0
848b023ffffffff,1.0,0.0,0.0
848b08dffffffff,1.0,0.0,0.0
848b123ffffffff,2.0,2.0,0.0
848b529ffffffff,1.0,0.0,0.0
848b563ffffffff,1.0,0.0,0.0
848b829ffffffff,4.0,0.0,4.0
848b82bffffffff,2.0,0.0,2.0
848b82dffffffff,1.0,0.0,0.0
848b835ffffffff,2.0,0.0,2.0
848b839ffffffff,2.0,0.0,2.0
848b849ffffffff,4.0,3.0,0.0
848b8a1ffffffff,3.0,0.0,3.0
848b8a5ffffffff,2.0,0.0,2.0
848b8d5ffffffff,1.0,0.0,0.0
848b8e5ffffffff,1.0,0.0,1.0
848b999ffffffff,32.0,0.0,15.0
848b99dffffffff,47.0,0.0,19.0
848b9d1ffffffff,22.0,1.0,7.0
848b9d5ffffffff,204.0,5.0,7.0
848b9d7ffffffff,5.0,0.0,0.0
848b9e1ffffffff,1.0,0.0,0.0
848b9ebffffffff,1.0,0.0,1.0
848ba47ffffffff,3.0,0.0,0.0
848ba63ffffffff,7.0,0.0,0.0
