cell_id,Celeus undatus,Celeus undatus [grammicus Group],Celeus undatus [undatus Group]
835f01fffffffff,8.0,0.0,8.0
835f02fffffffff,1.0,0.0,1.0
835f03fffffffff,92.0,0.0,89.0
835f06fffffffff,2.0,0.0,2.0
835f08fffffffff,2.0,0.0,2.0
835f09fffffffff,1.0,0.0,1.0
835f0dfffffffff,7.0,0.0,7.0
835f10fffffffff,20.0,0.0,20.0
835f11fffffffff,6.0,0.0,4.0
835f12fffffffff,3.0,0.0,2.0
835f13fffffffff,11.0,0.0,11.0
835f14fffffffff,10.0,0.0,9.0
835f15fffffffff,1.0,0.0,0.0
835f16fffffffff,19.0,0.0,19.0
835f1cfffffffff,1.0,0.0,1.0
835f2bfffffffff,339.0,0.0,321.0
835f40fffffffff,1.0,0.0,1.0
835f42fffffffff,11.0,0.0,11.0
835f4afffffffff,1.0,0.0,1.0
835f50fffffffff,14.0,0.0,14.0
835f54fffffffff,56.0,0.0,56.0
835f5dfffffffff,2.0,0.0,2.0
835f68fffffffff,3.0,2.0,1.0
835f71fffffffff,28.0,5.0,23.0
835f75fffffffff,26.0,24.0,2.0
835f76fffffffff,2.0,0.0,2.0
836641fffffffff,364.0,360.0,0.0
836643fffffffff,1.0,1.0,0.0
836644fffffffff,4.0,4.0,0.0
836645fffffffff,1.0,1.0,0.0
836648fffffffff,9.0,9.0,0.0
836651fffffffff,2.0,2.0,0.0
836652fffffffff,2.0,2.0,0.0
83665afffffffff,243.0,241.0,0.0
83665bfffffffff,101.0,101.0,0.0
836663fffffffff,12.0,12.0,0.0
83666bfffffffff,2.0,2.0,0.0
83666cfffffffff,8.0,8.0,0.0
83666efffffffff,25.0,25.0,0.0
8366c0fffffffff,31.0,31.0,0.0
8366c1fffffffff,1.0,1.0,0.0
8366c2fffffffff,46.0,46.0,0.0
8366c3fffffffff,7.0,7.0,0.0
8366c9fffffffff,12.0,12.0,0.0
8366cdfffffffff,4.0,4.0,0.0
8366cefffffffff,27.0,27.0,0.0
8366d8fffffffff,71.0,71.0,0.0
8366dafffffffff,1.0,0.0,0.0
8366dbfffffffff,8.0,8.0,0.0
8366dcfffffffff,315.0,305.0,0.0
8366ddfffffffff,40.0,38.0,0.0
8366defffffffff,97.0,96.0,0.0
8366e1fffffffff,1.0,1.0,0.0
8366e9fffffffff,4.0,4.0,0.0
8366eafffffffff,9.0,9.0,0.0
8366ecfffffffff,9.0,8.0,0.0
8366eefffffffff,5.0,5.0,0.0
838044fffffffff,6.0,0.0,6.0
838046fffffffff,149.0,0.0,149.0
83804dfffffffff,1.0,0.0,1.0
838061fffffffff,3.0,0.0,3.0
838062fffffffff,6.0,0.0,6.0
838065fffffffff,6.0,0.0,6.0
838066fffffffff,6.0,0.0,6.0
838068fffffffff,2.0,0.0,2.0
83806bfffffffff,12.0,0.0,12.0
838071fffffffff,6.0,0.0,6.0
838072fffffffff,2.0,0.0,2.0
838074fffffffff,4.0,0.0,4.0
838075fffffffff,4.0,0.0,4.0
83814afffffffff,47.0,0.0,47.0
83814dfffffffff,9.0,0.0,9.0
83814efffffffff,38.0,1.0,35.0
83815dfffffffff,1.0,0.0,1.0
838163fffffffff,2.0,0.0,2.0
838a00fffffffff,2.0,2.0,0.0
838a01fffffffff,11.0,11.0,0.0
838a04fffffffff,1.0,1.0,0.0
