cell_id,Monarcha frater,Monarcha frater frater,Monarcha frater kunupi/periophthalmicus,Monarcha frater canescens
8372a2fffffffff,54.0,0.0,0.0,0.0
8372d2fffffffff,13.0,0.0,0.0,0.0
8372dbfffffffff,15.0,0.0,0.0,0.0
8372f2fffffffff,4.0,0.0,0.0,0.0
839c00fffffffff,73.0,0.0,0.0,0.0
839c03fffffffff,2.0,0.0,0.0,0.0
839c19fffffffff,230.0,0.0,0.0,0.0
839c85fffffffff,6.0,0.0,0.0,0.0
839c8bfffffffff,11.0,0.0,0.0,0.0
839c8efffffffff,2.0,0.0,0.0,0.0
839c99fffffffff,4.0,0.0,0.0,0.0
839c9dfffffffff,7.0,0.0,0.0,0.0
839ca6fffffffff,6.0,0.0,0.0,0.0
839caafffffffff,2.0,0.0,0.0,0.0
839caefffffffff,32.0,0.0,0.0,0.0
839cd2fffffffff,1.0,0.0,0.0,0.0
839cf5fffffffff,3.0,0.0,0.0,0.0
