cell_id,Alophoixus ruficrissus,Alophoixus ruficrissus ruficrissus/fowleri,Alophoixus ruficrissus meratusensis
8468025ffffffff,23.0,0.0,0.0
8468111ffffffff,47.0,0.0,0.0
8468115ffffffff,3.0,0.0,0.0
8468119ffffffff,876.0,0.0,0.0
846811bffffffff,41.0,0.0,0.0
846811dffffffff,1.0,0.0,0.0
8468121ffffffff,1.0,0.0,0.0
8468123ffffffff,42.0,0.0,0.0
8468125ffffffff,1.0,0.0,0.0
846812bffffffff,1.0,0.0,0.0
8468139ffffffff,1.0,0.0,0.0
8468185ffffffff,6.0,0.0,0.0
846818dffffffff,4.0,0.0,0.0
84681a9ffffffff,2.0,0.0,0.0
8468ac9ffffffff,23.0,0.0,0.0
