cell_id,Catharus ustulatus,Catharus ustulatus [ustulatus Group],Catharus ustulatus [swainsoni Group]
820747fffffffff,3.0,0.0,0.0
82075ffffffffff,7.0,0.0,0.0
8209a7fffffffff,6.0,0.0,0.0
820c07fffffffff,2.0,0.0,0.0
820c17fffffffff,3.0,0.0,0.0
820c2ffffffffff,6.0,0.0,2.0
820c47fffffffff,36.0,0.0,9.0
820c57fffffffff,13.0,0.0,0.0
820c67fffffffff,10.0,0.0,0.0
820c77fffffffff,19.0,0.0,2.0
820ca7fffffffff,18.0,0.0,0.0
820ce7fffffffff,3.0,0.0,0.0
820d47fffffffff,8.0,0.0,0.0
820d4ffffffffff,9.0,0.0,0.0
820d57fffffffff,14.0,0.0,0.0
820d5ffffffffff,18.0,0.0,0.0
820e4ffffffffff,14.0,0.0,0.0
820e6ffffffffff,7.0,0.0,0.0
820e8ffffffffff,1.0,0.0,0.0
820e97fffffffff,2.0,0.0,0.0
820ec7fffffffff,2.0,0.0,0.0
820ecffffffffff,14.0,0.0,0.0
820edffffffffff,4.0,0.0,0.0
820eeffffffffff,13.0,0.0,0.0
82121ffffffffff,2.0,0.0,0.0
821237fffffffff,17.0,0.0,0.0
82124ffffffffff,4.0,0.0,0.0
82125ffffffffff,5.0,0.0,0.0
82128ffffffffff,105.0,0.0,0.0
82129ffffffffff,2.0,0.0,0.0
8212b7fffffffff,5.0,0.0,0.0
8212c7fffffffff,37.0,0.0,0.0
8212cffffffffff,45.0,0.0,9.0
8212d7fffffffff,3.0,0.0,0.0
8212dffffffffff,65.0,0.0,52.0
8212e7fffffffff,5.0,0.0,0.0
8212effffffffff,5.0,0.0,0.0
8212f7fffffffff,7.0,0.0,0.0
821387fffffffff,84.0,0.0,0.0
82138ffffffffff,21.0,0.0,0.0
8213a7fffffffff,4.0,0.0,0.0
8213affffffffff,1.0,0.0,0.0
8213b7fffffffff,2.0,0.0,0.0
821657fffffffff,2.0,0.0,0.0
821827fffffffff,2.0,0.0,0.0
82182ffffffffff,1.0,0.0,0.0
821877fffffffff,16.0,0.0,0.0
821aa7fffffffff,24.0,0.0,0.0
821ab7fffffffff,4.0,0.0,0.0
821b87fffffffff,2.0,0.0,0.0
821b9ffffffffff,57.0,0.0,0.0
821bb7fffffffff,9.0,0.0,0.0
8222dffffffffff,18.0,0.0,0.0
822607fffffffff,10.0,0.0,1.0
82260ffffffffff,51.0,0.0,6.0
822617fffffffff,6.0,0.0,2.0
82261ffffffffff,9.0,0.0,2.0
822627fffffffff,16.0,0.0,2.0
82262ffffffffff,41.0,0.0,0.0
822637fffffffff,6.0,0.0,4.0
