cell_id,Buteo augur,Buteo augur augur,Buteo augur archeri
835280fffffffff,2.0,2.0,0.0
835289fffffffff,2.0,2.0,0.0
83529bfffffffff,1.0,1.0,0.0
8352d4fffffffff,3.0,0.0,3.0
8352d6fffffffff,2.0,2.0,0.0
836a5afffffffff,2.0,2.0,0.0
836adefffffffff,2.0,0.0,0.0
837a40fffffffff,1.0,1.0,0.0
837a4dfffffffff,3.0,3.0,0.0
837a5cfffffffff,4.0,4.0,0.0
837a60fffffffff,1.0,1.0,0.0
837a6afffffffff,2.0,2.0,0.0
837a6bfffffffff,5.0,5.0,0.0
837accfffffffff,3.0,3.0,0.0
837b59fffffffff,4.0,4.0,0.0
839702fffffffff,9.0,9.0,0.0
839703fffffffff,6.0,6.0,0.0
83978cfffffffff,2.0,2.0,0.0
83ac96fffffffff,1.0,1.0,0.0
83acb3fffffffff,2.0,2.0,0.0
