cell_id,Fulica ardesiaca,Fulica ardesiaca (White-billed),Fulica ardesiaca (Yellow-billed)
8366c2fffffffff,312.0,5.0,5.0
8366c6fffffffff,1.0,0.0,1.0
8366d1fffffffff,75.0,0.0,0.0
8366d3fffffffff,719.0,0.0,0.0
8366d5fffffffff,3.0,0.0,0.0
8366defffffffff,1578.0,0.0,11.0
838b21fffffffff,18.0,0.0,0.0
838b2cfffffffff,348.0,0.0,0.0
838b60fffffffff,8.0,0.0,0.0
838b61fffffffff,2254.0,10.0,28.0
838b64fffffffff,36.0,0.0,0.0
838b65fffffffff,36.0,0.0,0.0
838b66fffffffff,13.0,0.0,0.0
838b6cfffffffff,3.0,0.0,0.0
838e45fffffffff,68.0,0.0,0.0
838e4cfffffffff,17.0,0.0,0.0
838e60fffffffff,90.0,0.0,0.0
838e62fffffffff,2407.0,100.0,57.0
838e63fffffffff,6.0,0.0,0.0
838e64fffffffff,157.0,0.0,0.0
838e65fffffffff,7.0,0.0,0.0
838e66fffffffff,227.0,0.0,0.0
838e68fffffffff,11.0,0.0,0.0
838e69fffffffff,7.0,0.0,0.0
838e6afffffffff,4.0,0.0,0.0
838e6bfffffffff,1.0,0.0,0.0
838e6cfffffffff,28.0,0.0,0.0
838e6dfffffffff,27.0,0.0,0.0
838e75fffffffff,178.0,0.0,0.0
838f08fffffffff,11.0,0.0,0.0
838f09fffffffff,147.0,0.0,0.0
838f0bfffffffff,72.0,0.0,0.0
838f29fffffffff,140.0,7.0,1.0
838f2afffffffff,2.0,0.0,0.0
838f2dfffffffff,162.0,5.0,1.0
838f2efffffffff,3.0,0.0,0.0
838f42fffffffff,2.0,0.0,0.0
838f50fffffffff,420.0,0.0,0.0
838f51fffffffff,138.0,0.0,0.0
838f53fffffffff,5.0,0.0,0.0
838f54fffffffff,2.0,0.0,0.0
838f55fffffffff,9.0,0.0,0.0
838f56fffffffff,3.0,0.0,0.0
838f58fffffffff,115.0,0.0,0.0
838f59fffffffff,12.0,0.0,0.0
838f5afffffffff,9.0,0.0,0.0
838f5bfffffffff,128.0,0.0,0.0
838f5efffffffff,49.0,0.0,0.0
838f76fffffffff,409.0,14.0,16.0
83b225fffffffff,2.0,0.0,0.0
83b228fffffffff,19.0,0.0,0.0
83b229fffffffff,2.0,0.0,0.0
83b22bfffffffff,21.0,0.0,0.0
83b22dfffffffff,4.0,0.0,0.0
83b274fffffffff,133.0,0.0,0.0
83b300fffffffff,24.0,0.0,0.0
83b301fffffffff,6.0,0.0,0.0
83b304fffffffff,274.0,0.0,0.0
83b305fffffffff,423.0,0.0,0.0
83b308fffffffff,52.0,0.0,0.0
83b309fffffffff,2.0,0.0,0.0
83b30afffffffff,52.0,0.0,0.0
83b30bfffffffff,230.0,0.0,0.0
83b30cfffffffff,25.0,0.0,0.0
83b30dfffffffff,7.0,0.0,0.0
83b30efffffffff,1.0,0.0,0.0
83b31dfffffffff,38.0,0.0,0.0
83b320fffffffff,296.0,0.0,0.0
83b321fffffffff,104.0,0.0,0.0
83b322fffffffff,3.0,0.0,0.0
83b323fffffffff,2.0,0.0,0.0
83b324fffffffff,19.0,0.0,0.0
83b325fffffffff,26.0,0.0,0.0
83b326fffffffff,252.0,0.0,0.0
83b32afffffffff,55.0,0.0,0.0
83b32cfffffffff,65.0,0.0,0.0
83b32efffffffff,4.0,0.0,0.0
83b330fffffffff,195.0,0.0,0.0
83b331fffffffff,103.0,0.0,0.0
83b334fffffffff,25.0,0.0,0.0
83b335fffffffff,34.0,0.0,0.0
83b336fffffffff,37.0,0.0,0.0
83b351fffffffff,144.0,0.0,0.0
83b352fffffffff,23.0,0.0,0.0
83b353fffffffff,2.0,0.0,0.0
83b354fffffffff,260.0,0.0,0.0
83b355fffffffff,315.0,0.0,0.0
83b356fffffffff,4.0,0.0,0.0
83b35afffffffff,3.0,0.0,0.0
83b373fffffffff,1.0,0.0,0.0
83b376fffffffff,2.0,0.0,0.0
