cell_id,Ptilinopus superbus,Ptilinopus superbus temminckii,Ptilinopus superbus superbus
8468ca9ffffffff,2.0,2.0,0.0
8472a2bffffffff,1.0,0.0,1.0
8472c91ffffffff,2.0,0.0,0.0
84779c5ffffffff,1.0,0.0,0.0
8495613ffffffff,2.0,0.0,0.0
84956d3ffffffff,5.0,0.0,0.0
849c05dffffffff,1.0,0.0,1.0
849c231ffffffff,2.0,0.0,2.0
849c237ffffffff,2.0,0.0,1.0
849c85bffffffff,1.0,0.0,0.0
849c8b5ffffffff,4.0,0.0,0.0
849c8bdffffffff,2.0,0.0,0.0
849cd31ffffffff,3.0,0.0,0.0
849cd3dffffffff,1.0,0.0,0.0
849d9b3ffffffff,2.0,0.0,0.0
84be08dffffffff,7.0,0.0,0.0
84be8d1ffffffff,17.0,0.0,0.0
84beabbffffffff,1.0,0.0,0.0
