cell_id,Pterodroma brevipes,Pterodroma brevipes brevipes,Pterodroma brevipes magnificens
8488e3dffffffff,1.0,0.0,0.0
849a269ffffffff,1.0,0.0,0.0
849a319ffffffff,1.0,0.0,0.0
849b0c7ffffffff,1.0,0.0,0.0
849b431ffffffff,1.0,0.0,0.0
849b437ffffffff,1.0,0.0,0.0
849b43bffffffff,1.0,0.0,0.0
849b453ffffffff,1.0,0.0,0.0
849b457ffffffff,1.0,0.0,0.0
849b4d5ffffffff,1.0,0.0,0.0
849b4edffffffff,1.0,0.0,0.0
849b509ffffffff,1.0,0.0,0.0
849b553ffffffff,1.0,0.0,0.0
849b5c1ffffffff,1.0,0.0,0.0
849b5c7ffffffff,1.0,0.0,0.0
849b6e7ffffffff,1.0,0.0,0.0
849b707ffffffff,1.0,0.0,0.0
849e025ffffffff,1.0,0.0,0.0
849e04dffffffff,1.0,0.0,0.0
849e051ffffffff,1.0,0.0,1.0
849e059ffffffff,2.0,0.0,2.0
849e13dffffffff,1.0,0.0,0.0
849e1c9ffffffff,1.0,0.0,1.0
849e1ebffffffff,2.0,0.0,2.0
849e213ffffffff,1.0,1.0,0.0
849e227ffffffff,1.0,0.0,0.0
849e245ffffffff,6.0,0.0,1.0
849e25dffffffff,1.0,0.0,0.0
849e331ffffffff,1.0,0.0,1.0
849e56dffffffff,1.0,0.0,0.0
849e749ffffffff,1.0,1.0,0.0
849f093ffffffff,1.0,0.0,0.0
849f0a7ffffffff,1.0,0.0,0.0
849f115ffffffff,1.0,0.0,0.0
849f1a5ffffffff,1.0,0.0,0.0
849f50bffffffff,1.0,1.0,0.0
849f517ffffffff,1.0,1.0,0.0
849f551ffffffff,1.0,0.0,0.0
849f557ffffffff,1.0,0.0,0.0
849f5a1ffffffff,1.0,0.0,0.0
849f70dffffffff,1.0,0.0,0.0
849f727ffffffff,1.0,0.0,0.0
849f753ffffffff,1.0,0.0,0.0
