cell_id,Poecile montanus,Poecile montanus [montanus Group],Poecile montanus [songarus Group]
820127fffffffff,32.0,0.0,0.0
820137fffffffff,61.0,5.0,0.0
820807fffffffff,9.0,0.0,0.0
820817fffffffff,120.0,22.0,0.0
82081ffffffffff,35.0,2.0,0.0
82082ffffffffff,5.0,0.0,0.0
820837fffffffff,16.0,0.0,0.0
820887fffffffff,130.0,44.0,0.0
82088ffffffffff,53.0,15.0,0.0
820897fffffffff,9.0,3.0,0.0
82089ffffffffff,210.0,23.0,0.0
8208a7fffffffff,87.0,35.0,0.0
8208affffffffff,6.0,0.0,0.0
8208b7fffffffff,35.0,3.0,0.0
8208c7fffffffff,54.0,11.0,0.0
8208cffffffffff,155.0,26.0,0.0
8208d7fffffffff,76.0,18.0,0.0
8208dffffffffff,174.0,13.0,0.0
8208e7fffffffff,14.0,0.0,0.0
8208effffffffff,70.0,2.0,0.0
8208f7fffffffff,10.0,1.0,0.0
82094ffffffffff,10.0,0.0,0.0
82095ffffffffff,24.0,2.0,0.0
820987fffffffff,25.0,0.0,0.0
82098ffffffffff,75.0,9.0,0.0
820997fffffffff,41.0,0.0,0.0
82099ffffffffff,89.0,35.0,0.0
8209affffffffff,7.0,0.0,0.0
820a37fffffffff,9.0,0.0,0.0
820a97fffffffff,3.0,3.0,0.0
820b9ffffffffff,2.0,0.0,0.0
820bb7fffffffff,14.0,1.0,0.0
821017fffffffff,6.0,0.0,0.0
821027fffffffff,3.0,1.0,0.0
8210a7fffffffff,2.0,0.0,0.0
8210c7fffffffff,181.0,2.0,0.0
8210d7fffffffff,5.0,0.0,0.0
8210dffffffffff,26.0,0.0,0.0
8210effffffffff,52.0,0.0,0.0
8210f7fffffffff,13.0,2.0,0.0
821107fffffffff,138.0,2.0,0.0
821117fffffffff,23.0,0.0,0.0
821127fffffffff,60.0,20.0,0.0
82112ffffffffff,48.0,19.0,0.0
821137fffffffff,92.0,3.0,0.0
821167fffffffff,4.0,0.0,0.0
821177fffffffff,2.0,0.0,0.0
821187fffffffff,81.0,15.0,0.0
82118ffffffffff,162.0,4.0,0.0
82119ffffffffff,11.0,11.0,0.0
8211a7fffffffff,7.0,0.0,0.0
8211affffffffff,497.0,100.0,0.0
8211b7fffffffff,2.0,0.0,0.0
821487fffffffff,1.0,0.0,0.0
82148ffffffffff,19.0,0.0,0.0
