cell_id,Eucometis penicillata,Eucometis penicillata [spodocephalus Group],Eucometis penicillata [penicillata Group]
834424fffffffff,5.0,0.0,0.0
834501fffffffff,8.0,0.0,0.0
834505fffffffff,48.0,0.0,0.0
834508fffffffff,447.0,0.0,0.0
834509fffffffff,3.0,0.0,0.0
83450afffffffff,317.0,0.0,0.0
83450bfffffffff,135.0,0.0,0.0
83450cfffffffff,93.0,0.0,0.0
83450dfffffffff,70.0,0.0,0.0
83450efffffffff,327.0,0.0,0.0
834521fffffffff,175.0,0.0,0.0
834523fffffffff,467.0,0.0,0.0
834528fffffffff,543.0,0.0,0.0
834529fffffffff,8.0,0.0,0.0
83452afffffffff,671.0,0.0,0.0
83452bfffffffff,100.0,0.0,0.0
83452cfffffffff,534.0,57.0,0.0
83452dfffffffff,157.0,31.0,0.0
83452efffffffff,2060.0,71.0,0.0
834530fffffffff,2.0,0.0,0.0
834532fffffffff,2.0,0.0,0.0
834534fffffffff,4.0,0.0,0.0
834536fffffffff,22.0,0.0,0.0
834564fffffffff,2.0,0.0,0.0
834572fffffffff,4.0,0.0,0.0
834576fffffffff,4.0,0.0,0.0
836600fffffffff,2.0,0.0,0.0
836601fffffffff,6.0,0.0,0.0
836604fffffffff,16.0,0.0,0.0
836606fffffffff,13.0,0.0,0.0
836608fffffffff,549.0,2.0,0.0
83660afffffffff,126.0,2.0,0.0
83660cfffffffff,35.0,0.0,0.0
83660efffffffff,11.0,0.0,0.0
836610fffffffff,216.0,11.0,0.0
836612fffffffff,28.0,0.0,0.0
836613fffffffff,101.0,0.0,0.0
836616fffffffff,381.0,28.0,0.0
836618fffffffff,4.0,0.0,0.0
836619fffffffff,1063.0,11.0,0.0
83661afffffffff,3.0,0.0,0.0
83661bfffffffff,10.0,0.0,0.0
83661dfffffffff,5.0,0.0,0.0
83661efffffffff,5.0,0.0,0.0
836620fffffffff,638.0,21.0,0.0
836621fffffffff,50.0,0.0,0.0
836622fffffffff,158.0,4.0,0.0
836623fffffffff,3.0,1.0,0.0
836629fffffffff,3.0,0.0,0.0
83662bfffffffff,3.0,0.0,0.0
83662efffffffff,23.0,0.0,0.0
836631fffffffff,5.0,0.0,0.0
836641fffffffff,248.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0
836652fffffffff,3.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0
83665afffffffff,2.0,0.0,0.0
83665efffffffff,1.0,0.0,0.0
836676fffffffff,2.0,0.0,0.0
8366a0fffffffff,2.0,0.0,0.0
8366a1fffffffff,1.0,0.0,0.0
8366a2fffffffff,2.0,0.0,0.0
8366a3fffffffff,20.0,0.0,0.0
8366a5fffffffff,3640.0,289.0,0.0
8366b0fffffffff,1219.0,0.0,0.0
8366b1fffffffff,16.0,2.0,0.0
8366b4fffffffff,1170.0,0.0,0.0
8366b5fffffffff,909.0,3.0,0.0
8366b6fffffffff,75.0,0.0,0.0
8366c2fffffffff,17.0,0.0,0.0
8366c4fffffffff,244.0,0.0,0.0
8366c6fffffffff,94.0,0.0,0.0
8366cefffffffff,16.0,0.0,0.0
8366d8fffffffff,2.0,0.0,0.0
8366dcfffffffff,317.0,0.0,43.0
8366ddfffffffff,6.0,0.0,0.0
8366defffffffff,8.0,0.0,0.0
8366e0fffffffff,599.0,6.0,0.0
8366e2fffffffff,81.0,0.0,0.0
8366e3fffffffff,5.0,0.0,0.0
8366e4fffffffff,812.0,8.0,0.0
8366e6fffffffff,1342.0,0.0,0.0
8366eafffffffff,7.0,0.0,0.0
8366ecfffffffff,389.0,0.0,0.0
8366eefffffffff,84.0,0.0,0.0
8366f5fffffffff,2.0,0.0,0.0
836741fffffffff,66.0,0.0,2.0
836742fffffffff,121.0,0.0,0.0
836743fffffffff,144.0,0.0,7.0
83674cfffffffff,153.0,0.0,0.0
83674efffffffff,16.0,0.0,0.0
836751fffffffff,47.0,0.0,0.0
836758fffffffff,4.0,0.0,0.0
83675afffffffff,14.0,1.0,0.0
83675cfffffffff,86.0,0.0,0.0
83675dfffffffff,2.0,0.0,0.0
83675efffffffff,25.0,0.0,0.0
836790fffffffff,19.0,0.0,0.0
836792fffffffff,2.0,0.0,0.0
836794fffffffff,2.0,0.0,0.0
836796fffffffff,11.0,0.0,0.0
