cell_id,Muscicapa dauurica,Muscicapa dauurica dauurica,Muscicapa dauurica poonensis/siamensis
830ca4fffffffff,12.0,0.0,0.0
83209afffffffff,3.0,0.0,0.0
83240cfffffffff,2.0,0.0,0.0
832451fffffffff,7.0,0.0,0.0
83248bfffffffff,2.0,0.0,0.0
8324d2fffffffff,1.0,0.0,0.0
83255afffffffff,1.0,1.0,0.0
832e61fffffffff,3.0,0.0,0.0
833011fffffffff,2.0,0.0,0.0
833099fffffffff,6.0,0.0,0.0
83309bfffffffff,38.0,2.0,0.0
83309dfffffffff,5.0,0.0,0.0
8330e2fffffffff,2.0,0.0,0.0
833c02fffffffff,2.0,0.0,0.0
833c0afffffffff,5.0,0.0,0.0
833c19fffffffff,10.0,0.0,0.0
833c1cfffffffff,3.0,0.0,0.0
833c1dfffffffff,1.0,0.0,0.0
833c36fffffffff,3.0,0.0,0.0
833c80fffffffff,2.0,0.0,0.0
833c88fffffffff,4.0,0.0,0.0
833c8cfffffffff,6.0,0.0,0.0
833c8efffffffff,1.0,0.0,0.0
833c94fffffffff,4.0,0.0,0.0
833c95fffffffff,2.0,0.0,0.0
833c96fffffffff,2.0,0.0,0.0
833c9dfffffffff,2.0,0.0,0.0
833ca2fffffffff,1.0,0.0,0.0
833ca9fffffffff,6.0,0.0,0.0
833cabfffffffff,3.0,0.0,0.0
833cb3fffffffff,2.0,0.0,0.0
833cb4fffffffff,3.0,0.0,0.0
833cb6fffffffff,6.0,0.0,0.0
833cc2fffffffff,3.0,0.0,0.0
833cc4fffffffff,2.0,0.0,0.0
833cdcfffffffff,6.0,0.0,0.0
833ce2fffffffff,2.0,0.0,0.0
833ce4fffffffff,9.0,0.0,0.0
833ce5fffffffff,4.0,0.0,0.0
833cecfffffffff,5.0,0.0,0.0
833cf1fffffffff,6.0,0.0,0.0
833cf2fffffffff,28.0,0.0,0.0
833d10fffffffff,2.0,0.0,0.0
833d14fffffffff,3.0,0.0,0.0
833d84fffffffff,2.0,0.0,0.0
833d8bfffffffff,3.0,0.0,0.0
833d8dfffffffff,9.0,0.0,0.0
833d92fffffffff,8.0,0.0,0.0
833d93fffffffff,1.0,0.0,0.0
833d98fffffffff,1.0,0.0,0.0
833d9bfffffffff,3.0,0.0,0.0
833d9dfffffffff,3.0,0.0,0.0
833d9efffffffff,1.0,0.0,0.0
833da1fffffffff,135.0,0.0,0.0
833da3fffffffff,3.0,2.0,0.0
833da9fffffffff,1.0,0.0,0.0
833dacfffffffff,2.0,0.0,0.0
833dadfffffffff,20.0,0.0,0.0
833db3fffffffff,1.0,0.0,0.0
8341a4fffffffff,1.0,0.0,0.0
8341a5fffffffff,1.0,0.0,0.0
8341b4fffffffff,3.0,0.0,0.0
8341b5fffffffff,1.0,0.0,0.0
8342c0fffffffff,5.0,0.0,0.0
8342c1fffffffff,4.0,0.0,0.0
8342c2fffffffff,72.0,0.0,0.0
8342c3fffffffff,2.0,0.0,0.0
8342c4fffffffff,2.0,0.0,0.0
8342c6fffffffff,40.0,0.0,0.0
8342ccfffffffff,4.0,0.0,0.0
8342cdfffffffff,10.0,0.0,0.0
8342cefffffffff,5.0,0.0,0.0
8342d9fffffffff,3.0,0.0,0.0
8342dcfffffffff,15.0,0.0,0.0
8342ddfffffffff,4.0,0.0,0.0
834b32fffffffff,2.0,0.0,0.0
834b66fffffffff,1.0,0.0,0.0
834ba1fffffffff,3.0,0.0,0.0
834ba2fffffffff,12.0,0.0,0.0
834ba5fffffffff,4.0,0.0,0.0
834bb5fffffffff,3.0,0.0,0.0
836002fffffffff,2.0,0.0,0.0
836004fffffffff,4.0,0.0,0.0
836006fffffffff,11.0,0.0,0.0
83600efffffffff,1.0,0.0,0.0
836011fffffffff,5.0,0.0,0.0
836014fffffffff,31.0,0.0,0.0
836015fffffffff,47.0,0.0,0.0
836016fffffffff,10.0,0.0,0.0
83601efffffffff,8.0,0.0,0.0
836022fffffffff,48.0,0.0,0.0
836026fffffffff,4.0,0.0,0.0
836030fffffffff,6.0,0.0,0.0
836031fffffffff,36.0,0.0,0.0
836032fffffffff,12.0,0.0,0.0
836033fffffffff,66.0,0.0,0.0
836035fffffffff,5.0,0.0,0.0
836084fffffffff,4.0,0.0,0.0
836088fffffffff,5.0,0.0,0.0
83608bfffffffff,6.0,0.0,0.0
836094fffffffff,3.0,0.0,0.0
83609bfffffffff,3.0,0.0,0.0
8360a0fffffffff,3.0,0.0,0.0
8360a1fffffffff,2.0,0.0,0.0
8360a2fffffffff,265.0,0.0,0.0
8360a6fffffffff,131.0,0.0,0.0
8360a9fffffffff,8.0,0.0,0.0
8360adfffffffff,3.0,0.0,0.0
8360aefffffffff,2.0,0.0,0.0
8360b1fffffffff,75.0,0.0,0.0
8360b2fffffffff,13.0,0.0,0.0
8360b3fffffffff,11.0,0.0,0.0
8360b4fffffffff,14.0,0.0,0.0
8360b5fffffffff,22.0,0.0,0.0
836189fffffffff,16.0,0.0,0.0
83618bfffffffff,13.0,0.0,0.0
83619afffffffff,59.0,0.0,0.0
836416fffffffff,6.0,0.0,0.0
83648cfffffffff,1.0,0.0,0.0
8364b6fffffffff,1.0,0.0,0.0
836500fffffffff,110.0,0.0,0.0
836502fffffffff,18.0,0.0,0.0
836503fffffffff,93.0,0.0,0.0
836505fffffffff,42.0,0.0,0.0
836506fffffffff,2.0,0.0,0.0
83650efffffffff,2.0,0.0,0.0
836518fffffffff,94.0,0.0,0.0
836519fffffffff,14.0,0.0,0.0
83651cfffffffff,11.0,0.0,0.0
83651dfffffffff,116.0,0.0,0.0
836520fffffffff,60.0,0.0,0.0
836523fffffffff,2.0,0.0,0.0
836526fffffffff,70.0,0.0,0.0
836584fffffffff,4.0,0.0,0.0
836588fffffffff,11.0,0.0,0.0
83659cfffffffff,4.0,0.0,0.0
8365b2fffffffff,1.0,0.0,0.0
8365b6fffffffff,2.0,0.0,0.0
836805fffffffff,1.0,0.0,0.0
836818fffffffff,1.0,0.0,0.0
836828fffffffff,22.0,0.0,0.0
83682bfffffffff,3.0,0.0,0.0
836846fffffffff,2.0,0.0,0.0
836856fffffffff,2.0,2.0,0.0
83685efffffffff,1.0,0.0,0.0
83694efffffffff,23.0,0.0,0.0
8373b6fffffffff,1.0,0.0,0.0
838c45fffffffff,13.0,0.0,0.0
839415fffffffff,7.0,0.0,0.0
