cell_id,Aramus guarauna,Aramus guarauna [pictus Group],Aramus guarauna guarauna
8444121ffffffff,13.0,0.0,0.0
8444123ffffffff,111.0,0.0,0.0
8444125ffffffff,567.0,4.0,0.0
8444127ffffffff,32.0,0.0,0.0
844412dffffffff,62.0,0.0,0.0
8444131ffffffff,831.0,8.0,0.0
8444133ffffffff,748.0,0.0,0.0
8444135ffffffff,1496.0,13.0,0.0
8444137ffffffff,3308.0,12.0,0.0
844413dffffffff,385.0,6.0,0.0
84441a1ffffffff,1287.0,53.0,0.0
84441a3ffffffff,42.0,0.0,0.0
84441a5ffffffff,953.0,10.0,0.0
84441a7ffffffff,362.0,0.0,0.0
84441a9ffffffff,1749.0,54.0,0.0
84441abffffffff,395.0,1.0,0.0
84441adffffffff,529.0,15.0,0.0
84441b5ffffffff,11.0,0.0,0.0
84441b7ffffffff,5.0,0.0,0.0
84441e1ffffffff,4.0,0.0,0.0
84441e3ffffffff,4.0,0.0,0.0
84441e5ffffffff,2732.0,34.0,0.0
84441e7ffffffff,5107.0,63.0,0.0
84441edffffffff,7.0,0.0,0.0
8444249ffffffff,33.0,0.0,0.0
8444301ffffffff,12.0,0.0,0.0
8444305ffffffff,1.0,0.0,0.0
844430dffffffff,3.0,0.0,0.0
8444325ffffffff,68.0,0.0,0.0
8444329ffffffff,101.0,8.0,0.0
844432dffffffff,55.0,0.0,0.0
8444347ffffffff,1.0,0.0,0.0
8444363ffffffff,62.0,0.0,0.0
8444441ffffffff,1.0,0.0,0.0
8444443ffffffff,1.0,0.0,0.0
8444445ffffffff,12.0,0.0,0.0
844444bffffffff,4.0,0.0,0.0
8444459ffffffff,155.0,0.0,0.0
844445bffffffff,1.0,0.0,0.0
844445dffffffff,20.0,0.0,0.0
8444461ffffffff,1.0,0.0,0.0
8444465ffffffff,65.0,0.0,0.0
8444467ffffffff,7.0,0.0,0.0
8444469ffffffff,20.0,0.0,0.0
844446bffffffff,1.0,0.0,0.0
844446dffffffff,4.0,0.0,0.0
8444501ffffffff,5.0,0.0,0.0
8444507ffffffff,1.0,0.0,0.0
844455bffffffff,40.0,0.0,0.0
84446c1ffffffff,31.0,0.0,0.0
84446c3ffffffff,169.0,3.0,0.0
84446cbffffffff,73.0,0.0,0.0
84446d5ffffffff,4.0,0.0,0.0
84446ddffffffff,5.0,1.0,0.0
844480dffffffff,8.0,0.0,0.0
8444847ffffffff,9.0,0.0,0.0
