cell_id,Pardalotus punctatus,Pardalotus punctatus millitaris,Pardalotus punctatus punctatus,Pardalotus punctatus xanthopyge
829c07fffffffff,7.0,0.0,0.0,0.0
829c27fffffffff,6.0,0.0,0.0,0.0
82a707fffffffff,4.0,0.0,0.0,0.0
82a727fffffffff,2.0,0.0,2.0,0.0
82b9a7fffffffff,2.0,0.0,0.0,2.0
82be0ffffffffff,44.0,0.0,4.0,0.0
82be47fffffffff,10.0,0.0,1.0,2.0
82be4ffffffffff,10.0,0.0,3.0,7.0
82be57fffffffff,2.0,0.0,1.0,0.0
82be67fffffffff,5.0,0.0,1.0,2.0
82be6ffffffffff,2.0,0.0,0.0,2.0
82be77fffffffff,27.0,0.0,0.0,0.0
82be8ffffffffff,8.0,0.0,2.0,0.0
82bef7fffffffff,6.0,0.0,2.0,0.0
82bf4ffffffffff,2.0,0.0,0.0,0.0
