cell_id,Tyto javanica,Tyto javanica [javanica Group],Tyto javanica crassirostris
833c02fffffffff,134.0,62.0,0.0
833c0afffffffff,2.0,0.0,0.0
833c11fffffffff,1.0,0.0,0.0
833c13fffffffff,3.0,0.0,0.0
833c14fffffffff,2.0,0.0,0.0
833c15fffffffff,2.0,0.0,0.0
833c16fffffffff,3.0,0.0,0.0
833c19fffffffff,15.0,0.0,0.0
833c1afffffffff,2.0,0.0,0.0
833c1bfffffffff,2.0,0.0,0.0
833c1efffffffff,9.0,0.0,0.0
833c33fffffffff,5.0,0.0,0.0
833c5afffffffff,8.0,0.0,0.0
833c80fffffffff,5.0,0.0,0.0
833c88fffffffff,16.0,0.0,0.0
833c89fffffffff,30.0,0.0,0.0
833c8dfffffffff,8.0,0.0,0.0
833c8efffffffff,13.0,0.0,0.0
833c90fffffffff,2.0,0.0,0.0
833c92fffffffff,4.0,0.0,0.0
833c93fffffffff,9.0,0.0,0.0
833c94fffffffff,10.0,0.0,0.0
833c95fffffffff,2.0,0.0,0.0
833c96fffffffff,5.0,0.0,0.0
833c9cfffffffff,1.0,0.0,0.0
833c9dfffffffff,8.0,0.0,0.0
833c9efffffffff,4.0,0.0,0.0
833ca2fffffffff,3.0,0.0,0.0
833ca3fffffffff,3.0,0.0,0.0
833ca4fffffffff,4.0,0.0,0.0
833ca8fffffffff,15.0,0.0,0.0
833ca9fffffffff,2.0,0.0,0.0
833cabfffffffff,5.0,0.0,0.0
833cb0fffffffff,4.0,0.0,0.0
833cb1fffffffff,175.0,0.0,0.0
833cb3fffffffff,9.0,0.0,0.0
833cb4fffffffff,13.0,0.0,0.0
833cb5fffffffff,1.0,0.0,0.0
833cb6fffffffff,26.0,0.0,0.0
833cc4fffffffff,23.0,0.0,0.0
833cc5fffffffff,1.0,0.0,0.0
833cd9fffffffff,8.0,0.0,0.0
833ce1fffffffff,18.0,0.0,0.0
833ceafffffffff,2.0,0.0,0.0
833cecfffffffff,3.0,0.0,0.0
833cedfffffffff,4.0,0.0,0.0
833cf0fffffffff,3.0,0.0,0.0
833cf1fffffffff,38.0,0.0,0.0
