cell_id,Pellorneum malaccense,Pellorneum malaccense malaccense,Pellorneum malaccense saturatum,Pellorneum malaccense poliogene
836431fffffffff,8.0,0.0,0.0,0.0
836433fffffffff,1.0,0.0,0.0,0.0
836434fffffffff,51.0,2.0,0.0,0.0
836435fffffffff,1.0,0.0,0.0,0.0
836500fffffffff,108.0,0.0,0.0,0.0
836501fffffffff,4.0,0.0,0.0,0.0
836502fffffffff,60.0,0.0,0.0,0.0
836503fffffffff,8.0,0.0,0.0,0.0
836504fffffffff,2.0,0.0,0.0,0.0
836505fffffffff,73.0,0.0,0.0,0.0
836509fffffffff,1.0,0.0,0.0,0.0
83650dfffffffff,1.0,0.0,0.0,0.0
836518fffffffff,36.0,1.0,0.0,0.0
83651bfffffffff,16.0,0.0,0.0,0.0
83651cfffffffff,54.0,0.0,0.0,0.0
83651dfffffffff,3.0,0.0,0.0,0.0
836520fffffffff,8.0,0.0,0.0,0.0
836522fffffffff,57.0,0.0,0.0,0.0
836526fffffffff,382.0,0.0,0.0,0.0
83652cfffffffff,2.0,0.0,0.0,0.0
836802fffffffff,42.0,0.0,0.0,0.0
836810fffffffff,4.0,0.0,0.0,0.0
836811fffffffff,35.0,0.0,0.0,2.0
836812fffffffff,11.0,0.0,0.0,0.0
836818fffffffff,240.0,0.0,0.0,3.0
83681afffffffff,83.0,0.0,0.0,1.0
83681cfffffffff,101.0,0.0,0.0,2.0
83681dfffffffff,3.0,0.0,0.0,0.0
83681efffffffff,20.0,0.0,0.0,0.0
836888fffffffff,4.0,0.0,0.0,0.0
83688afffffffff,5.0,0.0,0.0,0.0
836896fffffffff,1.0,0.0,0.0,0.0
8368a1fffffffff,2.0,0.0,0.0,0.0
8368a5fffffffff,3.0,0.0,0.0,0.0
8368a6fffffffff,1.0,0.0,0.0,0.0
8368acfffffffff,2.0,0.0,0.0,0.0
8368b0fffffffff,1.0,0.0,0.0,0.0
8368b5fffffffff,2.0,0.0,0.0,0.0
838c1afffffffff,11.0,0.0,0.0,0.0
838c92fffffffff,1.0,0.0,0.0,0.0
838c96fffffffff,21.0,0.0,3.0,0.0
838cadfffffffff,20.0,0.0,0.0,0.0
838cd5fffffffff,6.0,0.0,0.0,0.0
838d9afffffffff,3.0,0.0,0.0,0.0
