cell_id,Pteroglossus inscriptus,Pteroglossus inscriptus humboldti,Pteroglossus inscriptus inscriptus
8466415ffffffff,3.0,0.0,0.0
84665abffffffff,8.0,0.0,0.0
8466de1ffffffff,22.0,0.0,0.0
8466debffffffff,2.0,0.0,0.0
8466e57ffffffff,7.0,0.0,0.0
8466ec7ffffffff,3.0,0.0,0.0
848af45ffffffff,1.0,1.0,0.0
848b2e9ffffffff,3.0,0.0,0.0
848b44dffffffff,2.0,2.0,0.0
848b5cdffffffff,3.0,0.0,3.0
848b617ffffffff,2.0,0.0,0.0
848b849ffffffff,3.0,0.0,3.0
848f705ffffffff,2.0,1.0,0.0
848f72bffffffff,30.0,0.0,0.0
848f763ffffffff,1.0,0.0,0.0
