cell_id,Campylorhynchus turdinus,Campylorhynchus turdinus turdinus/hypostictus,Campylorhynchus turdinus unicolor
8466415ffffffff,124.0,0.0,0.0
846641dffffffff,20.0,0.0,0.0
8466529ffffffff,9.0,0.0,0.0
846652dffffffff,3.0,0.0,0.0
8466537ffffffff,2.0,0.0,0.0
84665abffffffff,4.0,0.0,0.0
84665bdffffffff,6.0,0.0,0.0
84665e9ffffffff,2.0,0.0,0.0
8466727ffffffff,1.0,0.0,0.0
8466c01ffffffff,20.0,0.0,0.0
8466c03ffffffff,4.0,0.0,0.0
8466c0dffffffff,65.0,0.0,0.0
8466c15ffffffff,6.0,0.0,0.0
8466c19ffffffff,7.0,0.0,0.0
8466c1dffffffff,10.0,0.0,0.0
8466c21ffffffff,392.0,0.0,0.0
8466c23ffffffff,134.0,0.0,0.0
8466c25ffffffff,1.0,0.0,0.0
8466c27ffffffff,31.0,0.0,0.0
8466c29ffffffff,302.0,0.0,0.0
8466c2bffffffff,30.0,0.0,0.0
8466c2dffffffff,86.0,0.0,0.0
8466c33ffffffff,2.0,0.0,0.0
8466c35ffffffff,5.0,0.0,0.0
8466c37ffffffff,14.0,0.0,0.0
8466c39ffffffff,2.0,0.0,0.0
8466c4bffffffff,16.0,0.0,0.0
8466c53ffffffff,2.0,0.0,0.0
8466c57ffffffff,56.0,0.0,0.0
8466c5bffffffff,6.0,0.0,0.0
8466c5dffffffff,83.0,0.0,0.0
8466c67ffffffff,7.0,0.0,0.0
8466cb3ffffffff,3.0,0.0,0.0
8466cc5ffffffff,4.0,0.0,0.0
8466ce1ffffffff,58.0,0.0,0.0
8466ce5ffffffff,2.0,0.0,0.0
8466ce9ffffffff,65.0,0.0,0.0
8466cedffffffff,17.0,0.0,0.0
8466d13ffffffff,28.0,0.0,0.0
8466d19ffffffff,3.0,0.0,0.0
8466d1bffffffff,79.0,0.0,0.0
8466d81ffffffff,25.0,1.0,0.0
8466d8bffffffff,1.0,0.0,0.0
8466d8dffffffff,9.0,0.0,0.0
8466da1ffffffff,14.0,0.0,0.0
8466da3ffffffff,1.0,0.0,0.0
8466da5ffffffff,1.0,0.0,0.0
8466da7ffffffff,42.0,0.0,0.0
8466da9ffffffff,13.0,0.0,0.0
8466dabffffffff,3.0,0.0,0.0
8466dadffffffff,174.0,0.0,0.0
8466db1ffffffff,21.0,0.0,0.0
8466db5ffffffff,15.0,0.0,0.0
8466dc1ffffffff,6.0,0.0,0.0
8466dc3ffffffff,769.0,11.0,0.0
8466dc7ffffffff,89.0,0.0,0.0
8466dc9ffffffff,149.0,0.0,0.0
8466dcbffffffff,36.0,0.0,0.0
8466dcdffffffff,12.0,0.0,0.0
8466dd1ffffffff,3.0,0.0,0.0
8466dd3ffffffff,2.0,0.0,0.0
8466dd5ffffffff,37.0,0.0,0.0
8466dd7ffffffff,1.0,0.0,0.0
8466dd9ffffffff,1.0,0.0,0.0
8466ddbffffffff,16.0,0.0,0.0
8466dddffffffff,36.0,0.0,0.0
8466de1ffffffff,632.0,0.0,0.0
8466de3ffffffff,129.0,4.0,0.0
8466de7ffffffff,57.0,0.0,0.0
8466de9ffffffff,24.0,0.0,0.0
8466debffffffff,104.0,0.0,0.0
8466dedffffffff,10.0,0.0,0.0
8466e03ffffffff,69.0,0.0,0.0
8466e0bffffffff,2.0,0.0,0.0
8466e13ffffffff,2.0,0.0,0.0
8466e15ffffffff,68.0,0.0,0.0
8466e17ffffffff,10.0,0.0,0.0
8466e1dffffffff,24.0,0.0,0.0
8466e37ffffffff,11.0,0.0,0.0
8466e39ffffffff,32.0,0.0,0.0
8466e3bffffffff,86.0,0.0,0.0
8466e3dffffffff,1.0,0.0,0.0
8466e53ffffffff,3.0,0.0,0.0
8466e57ffffffff,53.0,0.0,0.0
8466e59ffffffff,42.0,0.0,0.0
8466e81ffffffff,2.0,0.0,0.0
8466e8dffffffff,5.0,0.0,0.0
8466e9dffffffff,2.0,0.0,0.0
