cell_id,Onychognathus fulgidus,Onychognathus fulgidus fulgidus,Onychognathus fulgidus hartlaubii/intermedius
835883fffffffff,6.0,0.0,0.0
835890fffffffff,2.0,0.0,0.0
835894fffffffff,3.0,0.0,0.0
8358d0fffffffff,1.0,0.0,0.0
8358d2fffffffff,1.0,0.0,0.0
8358d3fffffffff,2.0,0.0,0.0
8358e4fffffffff,2.0,0.0,0.0
836a96fffffffff,1.0,0.0,0.0
836ac0fffffffff,5.0,0.0,0.0
836ac1fffffffff,45.0,0.0,0.0
836ac8fffffffff,4.0,0.0,0.0
836accfffffffff,3.0,0.0,0.0
836acdfffffffff,1.0,0.0,0.0
836adcfffffffff,36.0,0.0,0.0
836aeafffffffff,3.0,0.0,0.0
837508fffffffff,16.0,0.0,4.0
83750cfffffffff,2.0,0.0,0.0
83750dfffffffff,237.0,0.0,26.0
837513fffffffff,1.0,0.0,0.0
837518fffffffff,1.0,0.0,0.0
837519fffffffff,7.0,0.0,0.0
837529fffffffff,76.0,0.0,10.0
83752afffffffff,26.0,0.0,0.0
83752bfffffffff,22.0,0.0,4.0
83752efffffffff,3.0,0.0,0.0
8375a0fffffffff,1.0,0.0,0.0
8375a8fffffffff,5.0,0.0,0.0
8375b0fffffffff,1.0,0.0,0.0
838212fffffffff,1.0,0.0,0.0
838230fffffffff,1.0,0.0,0.0
838283fffffffff,1.0,0.0,0.0
83828dfffffffff,4.0,0.0,0.0
8382a0fffffffff,2.0,0.0,0.0
8382a3fffffffff,10.0,0.0,0.0
8382a5fffffffff,2.0,0.0,0.0
8382a8fffffffff,1.0,0.0,0.0
8382d0fffffffff,13.0,0.0,0.0
8382d2fffffffff,2.0,0.0,1.0
8382e3fffffffff,104.0,0.0,0.0
8382f0fffffffff,4.0,0.0,1.0
838313fffffffff,3.0,0.0,0.0
838398fffffffff,2.0,0.0,0.0
8383a8fffffffff,5.0,0.0,0.0
8383acfffffffff,1.0,0.0,0.0
