cell_id,Camarhynchus pallidus,Camarhynchus pallidus pallidus/productus,Camarhynchus pallidus striatipecta
836c58fffffffff,1.0,0.0,0.0
836c59fffffffff,267.0,0.0,25.0
836c5afffffffff,13.0,0.0,0.0
836c5bfffffffff,680.0,0.0,0.0
838fa4fffffffff,95.0,0.0,4.0
