cell_id,Myrmotherula axillaris,Myrmotherula axillaris [axillaris Group],Myrmotherula axillaris luctuosa
845f5b5ffffffff,2.0,0.0,0.0
845f5b9ffffffff,4.0,4.0,0.0
846610bffffffff,1.0,0.0,0.0
8466113ffffffff,3.0,1.0,0.0
84661c7ffffffff,2.0,0.0,0.0
84661cdffffffff,5.0,0.0,0.0
84661ebffffffff,5.0,0.0,0.0
8466a01ffffffff,4.0,0.0,0.0
8466a51ffffffff,2.0,0.0,0.0
8466d01ffffffff,4.0,0.0,0.0
8466d35ffffffff,2.0,2.0,0.0
8466da1ffffffff,2.0,0.0,0.0
8466dadffffffff,19.0,4.0,0.0
8466debffffffff,56.0,5.0,0.0
846d68bffffffff,2.0,0.0,0.0
846d69bffffffff,5.0,5.0,0.0
846d69dffffffff,3.0,0.0,0.0
8480619ffffffff,8.0,8.0,0.0
8481803ffffffff,3.0,0.0,3.0
848180bffffffff,2.0,0.0,2.0
848181dffffffff,2.0,0.0,2.0
8481839ffffffff,2.0,0.0,2.0
8481857ffffffff,36.0,0.0,36.0
848b5cdffffffff,3.0,3.0,0.0
848b849ffffffff,3.0,3.0,0.0
848f295ffffffff,2.0,0.0,0.0
848f2bbffffffff,5.0,0.0,0.0
848f2cdffffffff,46.0,0.0,0.0
848f2e3ffffffff,1.0,0.0,0.0
84a8917ffffffff,1.0,0.0,0.0
