cell_id,Hafferia zeledoni,Hafferia zeledoni zeledoni,Hafferia zeledoni berlepschi
836611fffffffff,18.0,0.0,2.0
836613fffffffff,65.0,12.0,0.0
836618fffffffff,5.0,0.0,0.0
83661afffffffff,12.0,0.0,2.0
83661bfffffffff,765.0,0.0,223.0
83661cfffffffff,1.0,0.0,0.0
83661dfffffffff,1.0,0.0,0.0
83661efffffffff,32.0,0.0,2.0
8366a0fffffffff,12.0,0.0,0.0
8366a2fffffffff,3.0,0.0,0.0
8366a9fffffffff,2.0,0.0,0.0
8366b4fffffffff,1713.0,0.0,0.0
8366b5fffffffff,124.0,15.0,0.0
8366d0fffffffff,1187.0,0.0,130.0
8366d2fffffffff,34.0,0.0,11.0
8366d3fffffffff,2591.0,0.0,612.0
8366f0fffffffff,666.0,0.0,88.0
8366f1fffffffff,79.0,0.0,13.0
8366f3fffffffff,3.0,0.0,0.0
8366f5fffffffff,9.0,0.0,0.0
83679afffffffff,8.0,0.0,0.0
836d68fffffffff,108.0,0.0,0.0
836d69fffffffff,1823.0,0.0,0.0
838f0dfffffffff,167.0,0.0,21.0
838f29fffffffff,32.0,0.0,0.0
838f2afffffffff,5.0,0.0,0.0
838f2bfffffffff,15.0,0.0,0.0
838f2cfffffffff,12.0,0.0,2.0
838f2dfffffffff,2.0,0.0,0.0
