cell_id,Pyriglena maura,Pyriglena maura pacifica,Pyriglena maura castanoptera,Pyriglena maura picea,Pyriglena maura [maura Group]
8466c05ffffffff,1.0,0.0,0.0,0.0,0.0
8466c0dffffffff,301.0,0.0,0.0,0.0,0.0
8466c21ffffffff,73.0,0.0,0.0,0.0,0.0
8466c25ffffffff,2.0,0.0,0.0,0.0,0.0
8466c29ffffffff,48.0,0.0,0.0,0.0,0.0
8466c2dffffffff,104.0,0.0,0.0,0.0,0.0
8466c45ffffffff,12.0,0.0,0.0,0.0,0.0
8466c47ffffffff,65.0,0.0,0.0,0.0,0.0
8466c4bffffffff,5.0,0.0,0.0,0.0,0.0
8466c4dffffffff,8.0,0.0,0.0,0.0,0.0
8466c61ffffffff,10.0,0.0,0.0,0.0,0.0
8466c63ffffffff,296.0,0.0,0.0,0.0,0.0
8466c67ffffffff,11.0,0.0,0.0,0.0,0.0
8466c6bffffffff,15.0,0.0,0.0,0.0,0.0
8466d07ffffffff,2.0,0.0,0.0,0.0,0.0
8466d0bffffffff,3.0,0.0,0.0,0.0,0.0
8466d11ffffffff,3.0,0.0,0.0,0.0,0.0
8466d19ffffffff,2.0,0.0,0.0,0.0,0.0
8466d1bffffffff,15.0,0.0,0.0,0.0,0.0
8466d23ffffffff,2.0,0.0,0.0,0.0,0.0
8466d35ffffffff,2.0,0.0,0.0,0.0,0.0
8466da7ffffffff,8.0,0.0,0.0,0.0,0.0
8466dadffffffff,18.0,0.0,0.0,0.0,0.0
8466de1ffffffff,1132.0,0.0,127.0,0.0,0.0
8466de7ffffffff,5.0,0.0,0.0,0.0,0.0
8466de9ffffffff,14.0,0.0,1.0,0.0,0.0
8466debffffffff,2.0,0.0,0.0,0.0,0.0
8466dedffffffff,5.0,0.0,0.0,0.0,0.0
8466e03ffffffff,2.0,0.0,0.0,0.0,0.0
8466e27ffffffff,3.0,0.0,0.0,0.0,0.0
848b001ffffffff,3.0,0.0,0.0,0.0,0.0
848b043ffffffff,2.0,0.0,0.0,0.0,0.0
848b05dffffffff,6.0,0.0,0.0,0.0,0.0
848b065ffffffff,1.0,0.0,0.0,0.0,0.0
848b0c9ffffffff,10.0,0.0,0.0,0.0,0.0
848b105ffffffff,2.0,0.0,0.0,0.0,0.0
848b11bffffffff,8.0,0.0,0.0,0.0,0.0
848b11dffffffff,2.0,0.0,0.0,0.0,0.0
848b1c5ffffffff,1.0,0.0,0.0,0.0,0.0
848b1cdffffffff,2.0,0.0,0.0,0.0,0.0
848b1edffffffff,1.0,0.0,0.0,0.0,0.0
848b205ffffffff,50.0,0.0,0.0,0.0,0.0
848b207ffffffff,1.0,0.0,0.0,0.0,0.0
848b213ffffffff,4.0,0.0,0.0,0.0,0.0
848b223ffffffff,27.0,0.0,0.0,0.0,0.0
848b229ffffffff,112.0,0.0,0.0,0.0,0.0
848b22dffffffff,3.0,0.0,0.0,0.0,0.0
848b235ffffffff,1.0,0.0,0.0,0.0,0.0
848b269ffffffff,6.0,0.0,0.0,0.0,0.0
848b2a7ffffffff,4.0,0.0,0.0,0.0,0.0
848b2c5ffffffff,19.0,0.0,0.0,0.0,0.0
848b2cdffffffff,6.0,0.0,0.0,0.0,0.0
848b2edffffffff,1.0,0.0,0.0,0.0,0.0
848b315ffffffff,38.0,0.0,0.0,0.0,0.0
848b319ffffffff,2.0,0.0,0.0,0.0,0.0
848b35dffffffff,1.0,0.0,0.0,0.0,0.0
848b363ffffffff,6.0,0.0,0.0,0.0,0.0
848b611ffffffff,1.0,0.0,0.0,0.0,0.0
848b617ffffffff,440.0,0.0,0.0,0.0,5.0
848b639ffffffff,7.0,0.0,0.0,0.0,0.0
848b63bffffffff,1.0,0.0,0.0,0.0,0.0
848b6c5ffffffff,6.0,0.0,0.0,0.0,0.0
848b6cbffffffff,2.0,0.0,0.0,0.0,0.0
848b709ffffffff,9.0,0.0,0.0,0.0,0.0
848b74bffffffff,8.0,0.0,0.0,0.0,0.0
848b751ffffffff,8.0,0.0,0.0,0.0,0.0
848b759ffffffff,4.0,0.0,0.0,0.0,0.0
848b75bffffffff,44.0,0.0,0.0,0.0,0.0
848b75dffffffff,8.0,0.0,0.0,0.0,0.0
848b849ffffffff,3.0,0.0,0.0,0.0,0.0
848b9d5ffffffff,2.0,0.0,0.0,0.0,0.0
848ba47ffffffff,2.0,0.0,0.0,0.0,0.0
848ba55ffffffff,2.0,0.0,0.0,0.0,0.0
848ba63ffffffff,19.0,0.0,0.0,0.0,0.0
848ba65ffffffff,2.0,0.0,0.0,0.0,0.0
848bac1ffffffff,1.0,0.0,0.0,0.0,0.0
848bb53ffffffff,4.0,0.0,0.0,0.0,0.0
848bb59ffffffff,162.0,0.0,0.0,0.0,0.0
848e643ffffffff,47.0,0.0,0.0,0.0,0.0
848e649ffffffff,2.0,0.0,0.0,0.0,0.0
848e64bffffffff,21.0,0.0,0.0,0.0,0.0
848e651ffffffff,9.0,0.0,0.0,0.0,0.0
848e657ffffffff,1.0,0.0,0.0,0.0,0.0
848f0d1ffffffff,63.0,0.0,0.0,0.0,0.0
848f0d5ffffffff,2.0,0.0,0.0,0.0,0.0
848f0dbffffffff,22.0,0.0,0.0,0.0,0.0
848f28dffffffff,3.0,0.0,0.0,0.0,0.0
848f295ffffffff,13.0,0.0,0.0,0.0,0.0
848f29bffffffff,2.0,0.0,0.0,0.0,0.0
848f2a1ffffffff,2.0,2.0,0.0,0.0,0.0
848f2a9ffffffff,247.0,25.0,0.0,0.0,0.0
848f2abffffffff,11.0,5.0,0.0,0.0,0.0
848f2b9ffffffff,40.0,9.0,0.0,0.0,0.0
848f2bbffffffff,13.0,0.0,0.0,0.0,0.0
848f2bdffffffff,11.0,1.0,0.0,0.0,0.0
848f2c3ffffffff,3.0,0.0,0.0,0.0,0.0
848f2cdffffffff,73.0,4.0,0.0,0.0,0.0
848f2e7ffffffff,4.0,0.0,0.0,0.0,0.0
848f2ebffffffff,1.0,0.0,0.0,0.0,0.0
